	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
10x44	0.24787562	0.06472579	0.04153945	0.052074075	0.04541864	0.006641652	0.14774759	0.0045020306	0.07509692	1.6529808e-10	0.31437823	1.6535673e-10	1.6494565e-10	1.6521236e-10
10x46	0.34228796	1.8475516e-10	1.8418164e-10	1.8405837e-10	0.06734132	0.0865101	1.8421888e-10	1.8413282e-10	1.8496212e-10	1.8348949e-10	0.32702902	1.8476608e-10	0.17683162	1.8454031e-10
10x48	0.6042447	1.9148713e-10	1.918915e-10	0.022167532	1.9228866e-10	0.06905912	1.9227728e-10	0.05915175	1.9288006e-10	1.9191126e-10	1.924189e-10	0.0150796	0.23029721	1.9152512e-10
11x43	0.5491966	1.9051416e-10	1.9052288e-10	0.019114027	1.8996082e-10	0.094048396	1.9021644e-10	1.900275e-10	0.05541196	1.90354e-10	1.8962523e-10	1.9028755e-10	0.282229	1.9012357e-10
11x45	0.20595741	1.6204033e-10	1.6185284e-10	0.034577884	1.6242961e-10	0.06846009	1.624228e-10	1.6233731e-10	1.6281268e-10	0.06129522	0.59840715	0.031302262	1.6305196e-10	1.6218939e-10
11x47	1.550792e-10	1.5533763e-10	0.32483867	1.557521e-10	0.17429942	0.0022099894	0.006380497	0.2664597	1.5536578e-10	0.08251087	1.5508718e-10	0.062431253	1.5514044e-10	0.08086955
11x49	0.3850282	0.03498196	1.6521486e-10	1.6515246e-10	1.6610209e-10	0.011589072	0.06394294	1.6498466e-10	1.6626692e-10	0.04123893	1.6597985e-10	0.038551036	0.42466784	1.661436e-10
11x51	0.23877828	1.9378837e-10	1.9402656e-10	0.034839194	0.014978032	0.12115609	1.9375991e-10	1.9410319e-10	1.9397957e-10	1.9307485e-10	0.38768646	1.9377248e-10	0.20256197	1.9298722e-10
12x42	0.23509623	1.6142632e-10	1.6094641e-10	0.042269066	0.11644801	0.091324575	0.0027175439	0.029042933	1.6120356e-10	0.10021866	1.6006411e-10	0.026845777	0.3560372	1.6145928e-10
12x44	0.24794582	0.054182272	1.6752265e-10	1.679411e-10	1.6678968e-10	0.056214187	0.029780535	1.6666374e-10	0.06426218	0.09351959	0.45409542	1.6769433e-10	1.6778712e-10	1.6783608e-10
12x46	0.31930068	1.690035e-10	1.6883919e-10	0.040530056	1.6883114e-10	0.07249356	1.6824157e-10	1.6898835e-10	0.015479655	1.6873519e-10	0.552196	1.6903154e-10	1.6885497e-10	1.6881825e-10
12x48	1.5599763e-10	0.04294617	0.3292527	1.5672773e-10	0.17139404	1.557482e-10	0.015737183	0.193888	1.5660281e-10	0.08002347	1.5665183e-10	0.11400951	1.5623258e-10	0.052749045
12x50	0.3624985	0.06662589	0.050297048	0.026725078	1.7087319e-10	0.08535497	0.051685173	1.7140525e-10	1.7198261e-10	1.7148898e-10	1.708484e-10	1.7169614e-10	0.3568134	1.7154034e-10
12x52	0.14241911	0.034981806	0.24392083	1.7512114e-10	1.750343e-10	0.08748816	1.7391419e-10	1.7459552e-10	1.7435924e-10	1.7448566e-10	1.7481311e-10	1.7472213e-10	0.49119008	1.743599e-10
13x15	1.6457517e-10	0.008734667	0.034274552	1.6380104e-10	1.6347798e-10	0.14274454	0.017948441	1.6429541e-10	1.6383635e-10	1.640377e-10	0.6027396	1.6351948e-10	0.19355829	1.6399485e-10
13x17	0.2832173	1.69408e-10	1.6921779e-10	0.02110655	1.6909035e-10	0.048933383	0.01658998	0.035330348	1.6915132e-10	0.030270323	0.35279578	0.028618798	0.18313755	1.6854457e-10
13x19	0.21000575	0.07200793	0.028829087	1.7744305e-10	0.023695024	0.0859077	1.7688075e-10	0.018656213	1.7756764e-10	1.7704177e-10	0.10191	0.021075644	0.43791267	1.7765604e-10
13x41	0.322155	0.06848371	0.09465059	0.03355029	0.03492903	1.5550922e-10	0.19554418	1.5599017e-10	1.5635297e-10	0.1453648	1.5608868e-10	0.10532241	1.5637772e-10	1.5646782e-10
13x43	0.2494327	0.036903225	1.749919e-10	1.7515653e-10	1.7457151e-10	0.084866725	0.21720105	1.7384716e-10	1.7512813e-10	0.021428354	1.7447664e-10	0.14223418	0.24793388	1.7469742e-10
13x45	1.5395166e-10	1.538844e-10	0.042616006	1.5425557e-10	0.006910585	0.11996245	0.028625814	0.03581573	1.5378554e-10	0.07658414	0.6894853	1.5413204e-10	1.5383217e-10	1.5357594e-10
13x47	0.43657976	1.827855e-10	0.056417555	1.8294874e-10	1.8191808e-10	0.10894104	1.8276702e-10	1.8260604e-10	0.0525065	1.8215625e-10	1.8263982e-10	0.011254309	0.3343008	1.8275378e-10
13x49	0.4087934	0.080287814	1.6669584e-10	0.06032635	1.6751592e-10	0.039988846	0.10099008	1.6716709e-10	1.6749292e-10	1.6695453e-10	1.6718366e-10	0.006194891	0.3034186	1.670039e-10
13x51	0.43150204	0.055643108	0.079721965	1.63845e-10	1.6332519e-10	0.012260381	0.026982183	1.6340153e-10	0.008879454	0.0396714	1.6287194e-10	0.031715073	0.29701084	0.01661353
13x53	0.17245516	1.7102864e-10	0.042453974	0.016345816	0.009168424	0.094124295	0.014759531	1.7029558e-10	1.7065846e-10	0.093413554	0.33778307	1.7077634e-10	0.21949618	1.7082066e-10
13x55	0.10294749	1.6964648e-10	1.6949575e-10	1.6925089e-10	1.6910891e-10	0.11290248	1.696769e-10	1.6933065e-10	0.032095253	0.04843238	0.6798096	0.02381277	1.6975393e-10	1.6942368e-10
