	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
49x37	1.8130847e-10	0.06055024	1.8124623e-10	0.060412377	0.09388853	1.8230367e-10	0.10188002	1.8247136e-10	1.8209378e-10	0.09109708	0.51762325	1.821445e-10	1.8128081e-10	0.07454851
49x39	2.3080245e-10	2.3090502e-10	0.08579631	0.06451851	2.2962392e-10	0.1468922	0.012068699	2.2971328e-10	0.07065145	0.08794317	2.2946847e-10	0.041601695	0.43520698	0.055321056
49x41	1.7669367e-10	1.7774152e-10	1.7692164e-10	0.09183115	1.7736088e-10	1.7732942e-10	0.12552392	1.7720399e-10	1.7727834e-10	0.1189213	0.5490792	0.062283617	1.7630551e-10	0.052360814
49x43	2.2519313e-10	2.2493044e-10	2.2403e-10	0.029840685	0.008845786	0.07863731	0.016249835	0.068175465	0.08106244	0.12877806	0.25202116	0.1946186	0.14177056	2.2501237e-10
50x32	0.3389302	0.025233366	2.6910277e-10	2.6834265e-10	2.6942218e-10	0.116300456	0.15064394	2.682976e-10	0.14381775	0.038683996	2.685961e-10	0.031879757	0.15451056	2.6942065e-10
50x34	0.2215119	0.0995285	2.0602686e-10	0.10609575	2.0499985e-10	2.0513323e-10	0.20611879	0.023543654	2.0557545e-10	2.0611528e-10	2.0464785e-10	2.0590742e-10	0.16977528	0.17342605
50x36	2.050832e-10	0.07094759	2.0501945e-10	0.09177872	2.0616803e-10	0.050226297	0.071943335	2.059652e-10	0.08128113	0.07516272	0.45025682	2.0590865e-10	2.0548531e-10	0.108403474
50x38	0.2275569	2.3102135e-10	0.0071736914	2.310152e-10	2.3064008e-10	0.06010726	0.120794706	2.2989519e-10	0.028661443	0.12217533	2.2970233e-10	0.07313088	0.20160155	0.15879823
50x40	0.2609106	0.11958623	0.00296102	0.04812843	0.04132746	2.1076382e-10	0.069335245	2.112887e-10	2.1134108e-10	0.21285808	2.1138988e-10	0.027983317	0.21690957	2.1191225e-10
50x42	2.004827e-10	2.0154627e-10	2.0069195e-10	0.04131748	0.005570767	0.08388605	2.0154048e-10	2.0051978e-10	0.070993856	0.015312982	0.7509984	0.031920448	2.0120364e-10	2.0075322e-10
51x33	0.21525243	0.10344502	2.0890625e-10	0.071440965	2.0941891e-10	2.0817954e-10	0.16276546	2.0889829e-10	2.0824109e-10	0.04590089	0.2861072	2.0953916e-10	2.0917458e-10	0.11508808
51x35	2.1326677e-10	2.1368332e-10	2.1405697e-10	0.050253395	0.013272572	0.13161497	0.18597277	2.1330868e-10	2.140088e-10	0.117840216	0.50104606	2.1394717e-10	2.1422851e-10	2.1428205e-10
51x37	2.2086027e-10	0.17897244	2.203255e-10	2.2107734e-10	0.056842677	0.044463757	0.16226049	2.2045539e-10	0.1327971	0.031623464	0.33993226	0.053107776	2.204373e-10	2.2040367e-10
51x39	2.1936859e-10	0.12193182	2.1889922e-10	0.104361705	0.046115402	2.188967e-10	0.16705517	0.053083025	0.16535981	0.039136667	0.27964228	0.023314111	2.1904081e-10	2.1977567e-10
