	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
4x48	0.40219408	1.7550975e-10	1.760022e-10	1.7521207e-10	1.7559547e-10	0.019076545	1.7562829e-10	1.7541404e-10	0.08217858	1.7569061e-10	0.4136787	1.7484383e-10	0.08287217	1.7637354e-10
5x27	0.31054628	0.060756452	0.044583615	0.0043120915	1.5182196e-10	1.5234904e-10	1.5146794e-10	0.049632873	0.0071582273	1.5210978e-10	1.5129324e-10	0.03227587	0.49073452	1.5222616e-10
5x29	1.3930887e-10	0.025784831	1.3868268e-10	0.02572425	0.029780464	0.034123875	1.3914131e-10	0.0056438833	0.03267048	1.3832709e-10	0.8312891	0.01498312	1.3924724e-10	1.3899967e-10
5x31	0.19490606	0.05443307	0.045127247	0.07194699	0.05584429	1.457331e-10	0.037223358	1.4597179e-10	1.4654646e-10	1.458602e-10	1.4638052e-10	1.4640426e-10	0.52057076	0.019948246
5x33	0.15623109	0.05603433	0.0790382	0.011913194	1.503678e-10	1.5007783e-10	0.10858158	1.501096e-10	0.059861924	1.5060145e-10	1.497313e-10	1.5073363e-10	0.5283397	1.5041571e-10
5x37	1.3118528e-10	1.3145154e-10	0.035020176	1.3088187e-10	1.3108872e-10	1.31007e-10	1.3037982e-10	1.3059412e-10	1.3123208e-10	1.3067981e-10	0.9387202	0.026259618	1.3060059e-10	1.3085566e-10
5x39	0.08101792	0.017794434	1.3504457e-10	0.08917295	0.07189346	1.3514455e-10	1.3525826e-10	1.3533155e-10	0.010189741	0.056161266	0.67377025	1.348024e-10	1.3506028e-10	1.347019e-10
5x41	0.059883684	0.07780086	1.4128095e-10	0.1000305	1.408698e-10	1.4133944e-10	0.022882499	0.03073129	0.07480137	1.4113066e-10	0.3727652	1.4121952e-10	0.24005187	0.021052707
5x43	1.4684502e-10	0.020330036	1.4702102e-10	0.021411924	0.0059706317	0.04608352	0.12782711	1.4655961e-10	0.04131202	1.4658451e-10	0.69813764	1.462307e-10	1.4730536e-10	0.038927115
5x45	0.110197015	1.6140854e-10	1.6051055e-10	0.071789496	1.6074217e-10	0.025324417	0.063760675	1.608897e-10	0.15027846	1.6116397e-10	0.17011638	1.6133313e-10	0.35862577	0.049907807
5x47	1.5013649e-10	1.504828e-10	0.012376624	1.5028347e-10	0.06080357	0.08977555	0.074553885	1.50042e-10	1.503087e-10	1.4988498e-10	0.76249033	1.5022986e-10	1.501591e-10	1.4939862e-10
5x49	0.16929679	1.7120899e-10	1.7011074e-10	1.7071888e-10	1.6991973e-10	0.08019785	0.00020821234	1.7071432e-10	0.032504793	0.03194011	0.6858522	1.7061341e-10	1.7099883e-10	1.7083322e-10
5x51	0.2721027	1.5778291e-10	1.5777629e-10	0.010004249	0.020632368	1.5758352e-10	0.079652816	0.005514525	0.055874527	0.03933332	0.198654	1.5795062e-10	0.31823152	1.5753061e-10
6x24	1.3596108e-10	1.3620868e-10	1.3586075e-10	0.10157889	0.012682311	1.3568129e-10	0.020699803	0.008284956	1.3600412e-10	0.033450738	0.79065776	0.032645535	1.3562178e-10	1.3588952e-10
6x26	1.4902968e-10	1.4906974e-10	0.036176838	0.058136147	0.0060820556	1.4816663e-10	0.07801079	0.008870517	0.069608875	1.4881493e-10	0.12752926	0.04294969	0.5683056	0.004330183
6x28	0.15130733	0.051691115	1.5620039e-10	0.04639278	1.5667422e-10	1.5675253e-10	0.06005994	0.01998202	1.5704879e-10	0.07521359	1.563515e-10	0.05034811	0.5291106	0.0158945
6x30	0.08319165	0.034772806	0.012872371	1.4461927e-10	0.019777697	1.4396592e-10	1.4414038e-10	1.4369213e-10	0.06392993	1.4396674e-10	0.64006835	1.4383142e-10	0.09528307	0.050104126
6x32	0.28750408	0.068740256	0.07809056	0.03220365	1.3647544e-10	1.3630558e-10	0.033147566	0.0133185955	1.3648768e-10	1.3626346e-10	1.3574153e-10	1.3640024e-10	0.4869953	1.3636434e-10
