	dist_type_ambigious	dist_type_central	dist_type_portal
2x32	1641.2963930990645	963.8034291285749	369.28857279910505
2x34	1665.3790259277316	971.2141370470262	241.82907186688684
2x36	1693.0133874249193	989.13938855957	115.1178960891831
2x38	1731.6212634407098	920.2786534523115	3.6055512754640144
2x40	1752.800011410315	824.4923771630637	68.27942589096675
2x42	1758.5269119351	740.535009300708	190.77237745543795
2x44	1773.7505377025261	669.3983642047534	318.0983652897327
2x48	1825.3364977450046	581.9777744897135	545.9636709525645
3x29	1552.2858757329461	934.6854230167495	513.4144914199442
3x31	1578.7772547132797	912.062070256186	437.2358859929044
3x33	1594.9664103046184	907.4782917513784	312.27143641389915
3x35	1622.6615944182568	921.7574789498591	188.44800343861402
3x37	1656.2834781522154	937.1239832594188	83.8400858778184
3x39	1695.5654690987312	833.0526153851267	0.509901951359283
3x41	1696.3334106242203	738.360914458505	122.019834453256
3x43	1707.3711752281636	655.42499952321	249.72891302370283
3x45	1725.6107846209122	586.784270409492	376.71445419574786
3x47	1753.3673317362793	538.9525025454468	461.8339528445263
3x49	1788.9986612627745	519.346522083281	545.3809769326392
4x28	1475.6232073263147	898.2640202078674	514.9666494055706
4x30	1517.3902101964409	864.8930858782488	429.2922664106587
4x32	1528.1911431493118	849.756653401431	367.1892836126891
4x36	1582.8749855879332	877.5821443033125	160.50800603085187
4x38	1624.8399921223013	852.5482977520977	39.80452235613406
4x40	1638.500012206286	748.8550527304998	58.30514557052432
4x42	1643.108350048773	654.1497152793081	184.80110930403006
4x44	1659.1342109666714	571.8109215466243	313.4414299354828
4x46	1682.1550017759957	506.28277671672754	378.05826270563125
4x48	1715.255928425843	468.5566134417483	460.53848916241526
5x27	1400.8859196951048	869.0958290085163	529.800302000669
5x29	1446.2087574067582	823.6004917434179	428.4733013852787
5x31	1465.5311289767951	799.3302759185341	346.93787628334843
5x33	1483.4441276974337	794.2522773023694	294.7786966522512
5x37	1548.594785604033	824.1598206658706	123.38237313327994
5x39	1581.1046771166039	765.3446282557941	42.63801121065572
5x41	1582.0918968252129	662.771280307166	133.872215190457
5x43	1592.2527594574926	567.2306849950908	255.52817848527
5x45	1612.5256990200185	487.86056409593084	295.30006772772674
5x47	1641.7984925075305	428.5835857799502	374.57321046759336
5x49	1681.185397271818	404.76701940746113	474.5190617878276
5x51	1728.22867989164	415.4204737371523	584.3305314631441
6x24	1291.3824723915066	915.0890065999045	535.5484011739742
6x26	1325.5043606114618	846.4653625518293	546.6176085711107
6x28	1368.6346188811679	790.9208051379101	445.2117698354345
6x30	1401.7589093706522	751.8376420478028	342.92483141353273
6x32	1413.8761473339878	734.8531553990906	263.5244960150764
6x34	1438.5920060948483	740.6464473687834	227.11442050208964
6x38	1515.6087159949957	773.4490157728561	117.94481760552259
6x40	1522.9	681.9498588606057	118.81081600595125
6x42	1527.5493641777996	577.4421702646938	198.08548659606532
6x44	1544.381850450205	482.9551739033343	215.30002322340792
6x46	1570.151473584635	404.754308192019	288.2881371128546
6x48	1604.0021228165504	354.85153233429884	387.3282974428798
6x50	1649.2927726756097	348.60758741025705	501.42462045655503
7x23	1222.0239359357902	910.0224722499988	479.13557580292445
7x25	1251.408694232224	831.0335251961859	483.45973979226017
7x27	1291.8002477163411	765.1227875315176	474.9541872644138
7x29	1341.9821198510806	714.3271029437425	360.0755615145244
7x31	1349.6187091175047	684.0291368063204	256.99311274818234
7x33	1367.8843299051275	676.9729241262164	183.653859202577
7x37	1438.1208050786277	707.391864527717	201.77177701551815
7x39	1465.6226833670391	710.2977192698846	158.20003160555947
7x41	1466.2363520251433	597.8587124062003	164.0458472500903
7x43	1478.04108873874	492.864139494851	141.60176552571644
7x45	1499.6783188404104	396.6079424318176	202.515826542026
7x47	1531.3379378830787	323.9615409273142	303.60480892107114
7x49	1572.2452893871236	288.805557425753	420.7401216903377
7x51	1621.9117269444723	302.08185976652106	541.1466067527361
8x22	1156.5510883657496	914.7012736407443	434.01799501863957
8x24	1179.4642258245904	825.1752904686373	420.5742027276519
8x26	1215.4437049900748	748.5249494839832	432.1400236034611
8x28	1263.4150426522551	685.5400571811977	395.19105506071355
8x30	1287.2375266437814	640.239213107101	275.9772635562575
8x32	1300.0588448220335	619.755435635703	170.55439015164606
8x34	1327.2574166302484	626.9915868654061	113.04711407196558
8x38	1409.4339076380984	661.2811353728458	216.8574185957214
8x40	1407.300031976124	628.8005884221163	145.7401111568122
8x42	1412.9224324073843	513.2182771492065	85.51257217508996
8x44	1431.7339033493618	407.3371699219209	117.00499989316693
8x46	1459.3611273430577	312.1219313024957	221.24217500286895
8x48	1496.307147613751	245.47887892851378	340.7968309711817
8x50	1543.997571241613	234.48773955155949	465.57974612304605
9x23	1109.5990717371747	829.0607336015859	365.60210612084813
9x25	1141.5740230050787	741.2299575705233	369.268262920062
9x27	1184.4081728863575	664.9196342416127	392.4068297061099
9x29	1228.6166692667	606.519843038956	309.8549983460004
9x31	1234.8249835503004	570.1087089319018	194.42618136454755
9x33	1255.4286319819219	562.2739990431712	85.06850180883636
9x35	1289.7862303498202	583.8413483130498	70.53311279108556
9x39	1350.9816616075882	621.8620827804184	129.55095522611916
9x41	1351.7234184551216	548.6671121909894	67.79970501410736
9x43	1364.411734045116	430.62208489579325	32.3632507637908
9x45	1388.249606518943	322.0660957008666	141.2386986629376
9x47	1421.6805302176717	226.57698470939172	266.58118838357683
9x49	1466.3170496178514	175.25036376567095	394.312173284062
9x51	1520.7368542913662	196.46521320579893	522.8263382806955
10x22	1039.3047916756661	835.7126599495786	318.5339071433368
10x24	1065.1105905022257	738.1047147932329	302.086030792554
10x26	1105.9595833483247	651.509631548145	317.2005674648139
10x28	1158.2064107921353	578.7832841401001	320.8147284648881
10x30	1168.4203738381148	524.888912056637	218.1581307217313
10x32	1183.4535267597118	500.9293862412146	114.60911831089183
10x34	1212.4378128382505	509.4120630687892	0.22360679775018233
10x36	1253.1815072047625	529.0889244730039	74.44118483742743
10x40	1288.5	588.1200982792545	38.73306081372863
10x42	1295.817537309941	464.7852084565513	0.5385164807133829
10x44	1315.1571236928307	344.42627658179623	80.45035736402919
10x46	1345.2826394479341	231.39356084385733	205.26514560441115
10x48	1387.6279976996716	137.37197676382175	333.4310423460899
10x50	1438.3929435310781	117.695624387655	461.2390486504802
11x21	974.4000205254512	856.0226632513884	285.22447300328196
11x23	994.7780858060756	750.2447867196413	248.05330072385652
11x25	1029.221088979428	652.2883181538665	250.133264481156
11x27	1077.3619818798136	565.8263337809578	285.3009638960233
11x29	1109.446889220029	496.229180923492	236.1325898727235
11x31	1116.8955994183164	452.3244189738156	131.73526483064418
11x33	1139.7040756266515	443.2301659409025	68.79956395210638
11x35	1177.3847119782047	470.4756741851805	7.507329751649656
11x37	1225.258576791038	476.9660155608573	106.39257492889251
11x39	1231.8332232895816	511.5868352489146	85.80495323697784
11x41	1234.8699850591559	514.6234351445722	16.633700730745655
11x43	1247.9274217677885	388.91882186389466	67.41698599017923
11x45	1273.1633398743463	265.07864870637894	162.42872282943088
11x47	1310.0767611098213	145.73235742277677	281.118338071354
11x49	1358.2978318469038	56.2298852924314	405.2438771900201
11x51	1417.7988926501528	106.53121608242344	531.4686256026786
12x20	913.3422140687466	883.6945173531406	269.0074348414928
12x22	925.6157410070335	772.0969498709342	209.84875505944743
12x24	954.1248608017715	665.0994286570992	187.07284677365655
12x26	998.6416023779502	567.2178153055488	206.21942197571985
12x28	1054.6581484063922	482.4261705173133	278.5379866373704
12x30	1053.1172251938528	416.0020312450408	154.64504518412454
12x32	1070.1188812463781	386.15439917214445	47.47230771723642
12x34	1101.034649772658	395.5711061237915	18.997368238784773
12x36	1150.1377526192243	417.2397991563124	34.00661700316567
12x38	1175.255074441289	435.22441337774245	114.66773739810182
12x40	1173.9000681489033	489.9534365631086	76.11681811531537
12x42	1181.2013968836982	445.8757001676588	92.52859017622612
12x44	1203.1972947110544	318.3163992005437	150.75785220014262
12x46	1237.0793547707437	190.77245608315664	246.4360566150987
12x48	1280.3758354483264	64.42421904842898	360.80670725472976
12x50	1336.5224165722025	23.378836583543166	481.0448731667352
12x52	1401.5662845545337	150.15874932883568	603.5150785191704
13x19	856.6949573798132	889.6410793123258	281.13386491136214
13x21	860.7514159151873	801.8184333126794	185.1291441129676
13x23	881.9819612667824	688.2372991926547	135.07249905143524
13x25	920.707749505781	579.8687437687946	134.97095983951502
13x27	974.9470652296976	481.35868123468987	192.33351242048295
13x29	994.8522905436766	397.17663576801675	212.04546682256586
13x31	1003.0688959388582	341.2360033759626	85.26552644533429
13x33	1027.8170265178526	328.0841965105908	0.20000000000004547
13x35	1068.9491101076794	360.4377893617703	0.4472135954999579
13x37	1117.5003624160486	363.9173807335946	38.12951612596241
13x39	1118.346440062291	408.9737888911707	93.39999999999986
13x41	1118.6094939700806	482.6603360542486	130.8319532835921
13x43	1133.361416318731	383.29218619742284	171.644108550221
13x45	1162.4140269284433	256.6752228011107	235.74513780776087
13x47	1202.6401789396527	130.68588294073672	332.8654382779927
13x49	1254.0512987912418	34.511737133908504	442.607568846264
13x51	1318.1415174403694	101.11112698412578	560.9469315363085
14x18	806.4510152513915	842.0229450555371	318.60703068199854
14x20	800.0209247263474	830.8404660342441	200.55941762978853
14x22	811.8380195580888	724.617947611015	104.61725479097586
14x24	843.5376992168162	608.5325381604503	72.36608321582693
14x26	893.7296962728718	499.2301773731231	104.66025988884208
14x28	940.1633156000079	399.1724689905355	208.3724070024627
14x30	939.3450111646944	316.53728058476776	167.14140719761826
14x32	957.4079694675618	273.26840285697125	58.388526270150145
14x34	992.4395195678172	285.64383417115795	0.4472135954995512
14x36	1041.2742818297204	300.236789884251	0.360555127546071
14x38	1061.2690752113715	326.96796479165965	29.172761268004766
14x40	1059.600075500186	394.94267938524973	56.820066877820764
14x42	1065.832679176239	459.47241484119553	149.32414406250595
14x44	1090.15283790852	335.5470309807554	247.83101097320335
14x46	1125.3653317923029	215.06587362945314	319.13246466005324
14x48	1174.5184204600625	112.76045406080966	415.3260405994311
14x50	1233.1715938992431	103.69079033356842	522.2820885307099
