	dist_type_central	dist_type_portal
17x33	1096.5020109420684	691.0793442145407
17x35	1041.761095453271	619.1802483929858
18x34	1020.151763219571	609.2746671247704
18x36	971.9105565842978	544.6411020112232
19x33	1002.1131323358654	606.2221787430743
19x35	943.8333380422624	528.7819683007351
19x37	891.9839068054983	460.7692372543982
19x39	859.5418896132986	422.86624362793486
20x32	992.9218952163357	567.0954857870056
20x34	921.0155101842747	524.4612187759928
20x36	863.4382027684435	443.29733813773333
20x38	818.2727479269977	384.24639230577037
20x40	789.8100087995845	356.18541519832047
20x42	790.2786154262305	380.4017481558148
21x31	988.0203439201034	535.7170895164721
21x33	911.3173870831168	497.54173694274107
21x35	839.020774474625	437.28693097324526
21x37	785.3659147174645	358.97077875504004
21x39	746.0998927757594	309.43214118769214
21x41	731.8625349066584	307.13151905983204
21x43	738.5188555480488	353.8848682834574
22x30	987.3196037757987	509.48012718849003
22x32	900.7513807927244	456.1414802448905
22x34	824.9056006598571	430.34201514609265
22x36	760.7550591353303	354.054035423973
22x38	709.1536152343862	278.3868710984768
22x40	677.3298310276906	242.3825488767703
22x42	676.5048189037532	274.8096977910351
22x44	694.4636851556745	350.09171655439087
23x31	903.9933904625628	432.73068992157215
23x33	817.1232036847316	384.06630937899223
23x35	744.4081205897743	367.68362759307064
23x37	679.3601842910724	267.1521289452883
23x39	638.402294795374	202.98839868327426
23x41	618.533507580632	196.41003029377075
23x43	623.5098234991971	262.0978824790463
23x45	654.9921297237088	363.3143129578023
23x47	706.0760440632438	472.0510353764729
24x30	916.271471781153	415.99568507377575
24x32	819.3818950892189	353.8630949957906
24x34	733.3670363467394	316.92745226628756
24x36	658.6060810530068	279.7659200117125
24x38	602.1483621168454	180.45179411687738
24x40	568.0153607077893	132.52263957528172
24x42	557.7299167159674	173.89381817649522
24x44	581.8096080334186	277.08197343024693
24x46	625.1341695988149	392.02950144089937
24x48	691.1888381621914	503.11590115996125
25x29	908.2034628870339	412.98998777210056
25x31	830.2457527744422	331.89005709722613
25x33	734.0656986946059	275.4658781047119
25x35	647.4014596832475	258.8846268127945
25x37	576.1733766844835	197.14654447897348
25x39	521.088188313648	91.33290754158637
25x41	502.2262936167321	92.4026514771086
