	dist_type_central	dist_type_portal
2x34	757.4990032996744	1150.4487559209233
3x33	678.1588383262434	1065.5217548224907
3x35	738.1664107774073	1149.2987644646628
4x32	601.5131087515882	981.1283402287389
4x34	656.2515523791163	1064.2556553760944
5x31	528.0352734429774	897.513927468538
5x33	575.9188310864648	979.5246296035643
5x35	644.6552256826902	1069.072289417325
6x30	456.33874479382087	811.495563758669
6x32	493.5322583175288	890.986694625683
6x34	558.683604556282	981.3019769673351
7x29	392.86834945055074	728.0744055383351
7x31	416.2642550111648	805.9036729039025
7x33	474.6112935866572	895.1499762609617
7x35	556.9174624663876	993.3047165900304
8x28	332.53044973355446	646.1226663722609
8x30	343.58563706883905	720.7622978486041
8x32	391.6056434731246	809.5446744930141
8x34	471.6677008233657	908.0260018303441
9x27	279.7997319512654	563.7047897614495
9x29	277.33852959875577	635.3338177682658
9x31	310.14262847922083	723.2149403877108
9x33	385.6710645096414	822.3600002432024
9x35	483.6306958827158	928.3708580088024
10x24	320.97110461846853	436.65873402463836
10x26	242.04877607622802	480.7146866905567
10x28	213.73516322776644	550.7316224804962
10x30	229.57449771261594	637.2022049553814
10x32	298.9544614151127	736.9803050285675
10x34	397.74931803838484	843.4000948541567
11x25	236.42387781271134	401.40783500076327
11x27	163.64855636393474	465.543177374559
11x29	159.04732000257027	551.8277358016721
11x31	213.5063465098871	651.8636053654169
11x33	313.6453570515591	759.8015596193521
11x35	426.14185431614214	848.3970061239016
12x24	260.25604699987275	324.9720141796829
12x26	149.51829319518063	381.6997773119601
12x28	98.86607102540285	467.02515992181833
12x30	127.40753509898869	565.8507577091333
12x32	228.5588326886537	675.588883863552
12x34	345.65064733050946	790.985442343916
13x23	306.5425908417948	254.9422679745356
13x25	181.7839651894522	298.18519413277386
13x27	64.2365160948193	380.01227611749607
13x29	45.854116500048214	481.08647871250764
13x31	145.48487893935922	592.3452118486314
13x33	269.1685345652424	710.3433676750985
13x35	393.80322497409816	737.0423190021043
14x24	245.09202353401864	216.58554891774293
14x26	117.83259311412942	292.7618827648162
14x28	0.28284271247452253	394.5165142297596
14x30	66.20030211411452	507.02335251938854
14x32	194.20000000000027	626.0618499796968
14x34	321.3030500944554	708.1237533086994
14x36	448.4016057063133	668.3874624796606
15x23	315.76043133996365	143.50418112375675
15x25	191.59710331839557	206.2630601925609
15x27	74.94191083766155	310.12366888065793
15x29	42.232807152733834	426.59161970202837
15x31	141.43213920463793	547.2612264723313
15x33	263.81213012293443	671.4636550104557
15x35	388.90937247641676	631.9978639204405
16x22	391.79612045041995	90.8944442746638
16x24	271.9342751475068	120.13846178472578
16x26	160.4651052409838	227.17405221547642
16x28	87.8785525597687	347.45624184924344
16x30	128.12045113876263	471.29189468948033
16x32	224.09553766195378	596.7108261126158
16x34	341.1528836167152	603.5861910282573
16x36	463.26732023746297	556.9671534300743
17x21	470.66617681749767	100.17709319001011
17x23	354.5957980574502	34.40610410959067
17x25	244.89887709011657	148.94112930953622
17x27	163.68399433053924	273.6082052863183
17x29	148.97113814427283	401.1847454727062
17x31	213.5488936988439	527.5487939518015
17x33	309.293469054877	586.9770438441351
17x35	422.81330395341166	523.5433983921484
17x37	541.5097598381773	486.3673714385041
18x20	543.6627355263555	133.99988805965458
18x22	429.6100673866942	18.14965564411609
18x24	323.34527984802867	86.2819216290413
18x26	238.27188252078744	213.27093097747783
18x28	196.01186188595844	340.3460738718755
18x30	222.44893796105234	468.8423295736
18x32	299.3159033529628	582.2418827257275
18x34	395.69585542433987	505.5678094974006
18x36	487.3383321677047	449.83535877029476
18x38	590.408621210768	423.7550471675824
19x21	513.178497211253	48.791085251303684
19x23	408.95961903346887	38.79652046253645
19x25	321.22000249050484	160.6477201830143
19x27	264.26428059804084	284.0063555626881
19x29	248.05751349233483	410.27006958831424
19x31	251.56478290889586	536.8048434952874
19x33	310.4276083082818	496.7660415125009
19x35	400.980810014644	422.16940912387287
19x37	506.41263807294536	375.99303185032556
20x20	579.3320723039593	84.80005896224361
20x22	493.2395969506097	0.31622776601676605
20x24	388.24019627029844	105.6515499176422
20x26	297.1640119529951	230.7380549454297
20x28	219.6764211288956	357.7162702478043
20x30	184.24562410000388	484.39266096835115
20x32	226.23909918491108	503.37931026215193
20x34	314.8925689818673	411.55355666061234
20x36	422.687224789205	342.0284929651328
20x38	538.0630910962024	309.3494625823682
21x19	549.5319553947703	157.30661143130627
21x21	506.8114047651255	44.47920862605354
21x23	409.3555911429572	74.29939434477251
21x25	303.55523385374175	183.99396729240908
21x27	213.16033871243482	304.1580674583532
21x29	139.34762287172313	429.1812670655606
21x31	143.60981860583206	493.7276374682704
21x33	229.78000348159114	418.98025013119627
21x35	341.66653333330737	326.0760954133251
21x37	457.40321380593736	266.04454514235
21x39	581.2486989232752	251.1000796495293
22x18	525.8618830073158	238.4674401254812
22x20	467.53443723430655	130.99866411532608
22x22	435.48787583582623	92.45804453913138
22x24	324.72931804812424	161.26540236516976
22x26	214.720003725782	269.8071162886558
22x28	125.63988220306456	386.15460634310733
22x30	66.65808278070983	431.4182425442853
22x32	145.14716669642593	435.26876754483516
22x34	259.59840138182676	329.6400006067222
22x36	382.4142387516451	238.55198594855545
22x38	509.1459515698816	192.9025660793551
22x40	601.8144647646815	202.74676322940397
23x17	517.5426552468886	320.8002493764616
23x19	443.29137144771937	216.74879469099693
23x21	392.16956791673664	149.67421287583247
23x23	366.39379088625384	166.8868179335924
23x25	243.27961279153678	247.52327163319399
23x27	129.02402876983788	354.4917488461475
23x29	46.768044645890136	380.6810344632364
23x31	60.644950325645375	376.6075012529622
23x33	183.16399755410455	352.4018303017166
23x35	309.5426949549934	243.36121301472807
23x37	437.7607680000573	155.64732570783204
