	dist_type_ambigious	dist_type_central	dist_type_portal
2x34	1729.1848773338263	757.4990032996744	1150.4487559209233
3x33	1650.733961000379	678.1588383262434	1065.5217548224907
3x35	1703.9312339410885	738.1664107774073	1149.2987644646628
4x32	1573.9252904760124	601.5131087515882	981.1283402287389
4x34	1624.6735364373978	656.2515523791163	1064.2556553760944
5x31	1498.4796461747487	528.0352734429774	897.513927468538
5x33	1546.7347865746085	575.9188310864648	979.5246296035643
5x35	1602.404992503456	644.6552256826902	1069.072289417325
6x30	1421.6437844973684	456.33874479382087	811.495563758669
6x32	1465.9711081736912	493.5322583175288	890.986694625683
6x34	1520.4924761405432	558.683604556282	981.3019769673351
7x29	1348.053537512513	392.86834945055074	728.0744055383351
7x31	1388.6766110221631	416.2642550111648	805.9036729039025
7x33	1440.2052214875491	474.6112935866572	895.1499762609617
7x35	1500.8662365447497	556.9174624663876	993.3047165900304
8x28	1277.0726291014148	332.53044973355446	646.1226663722609
8x30	1312.8717721087614	343.58563706883905	720.7622978486041
8x32	1360.608753462949	391.6056434731246	809.5446744930141
8x34	1420.061132486908	471.6677008233657	908.0260018303441
9x27	1206.2276277718067	279.7997319512654	563.7047897614495
9x29	1237.4478009192953	277.33852959875577	635.3338177682658
9x31	1282.0653844480787	310.14262847922083	723.2149403877108
9x33	1338.3651108722163	385.6710645096414	822.3600002432024
9x35	1403.7430142301687	483.6306958827158	928.3708580088024
10x24	1119.4983028124695	320.97110461846853	436.65873402463836
10x26	1134.5010401052966	242.04877607622802	480.7146866905567
10x28	1162.9605840268189	213.73516322776644	550.7316224804962
10x30	1202.1431071216105	229.57449771261594	637.2022049553814
10x32	1255.0461226584464	298.9544614151127	736.9803050285675
10x34	1318.0908618149206	397.74931803838484	843.4000948541567
11x25	1068.4686471768837	236.42387781271134	401.40783500076327
11x27	1090.6055428063805	163.64855636393474	465.543177374559
11x29	1126.1351828266445	159.04732000257027	551.8277358016721
11x31	1175.2692287301663	213.5063465098871	651.8636053654169
11x33	1235.3937874216463	313.6453570515591	759.8015596193521
11x35	1305.9727715385186	426.14185431614214	872.9773651132085
12x24	1004.7279283467739	260.25604699987275	324.9720141796829
12x26	1020.9832123987152	149.51829319518063	381.6997773119601
12x28	1052.8819971867692	98.86607102540285	467.02515992181833
12x30	1095.458570645189	127.40753509898869	565.8507577091333
12x32	1153.1709066742883	228.5588326886537	675.588883863552
12x34	1222.2014441163128	345.65064733050946	790.985442343916
13x23	944.3999999999999	306.5425908417948	254.9422679745356
13x25	953.9498991037212	181.7839651894522	298.18519413277386
13x27	978.971056773386	64.2365160948193	380.01227611749607
13x29	1018.4648251167048	45.854116500048214	481.08647871250764
13x31	1071.8058826112122	145.48487893935922	592.3452118486314
13x33	1138.3302244955107	269.1685345652424	710.3433676750985
13x35	1213.830704834904	393.80322497409816	829.4023028663474
14x24	891.0053310727158	245.09202353401864	216.58554891774293
14x26	910.0661074889009	117.83259311412942	292.7618827648162
14x28	943.4623892874586	0.28284271247452253	394.5165142297596
14x30	991.3101835449891	66.20030211411452	507.02335251938854
14x32	1053.7654577751164	194.20000000000027	626.0618499796968
14x34	1128.046829701675	321.3030500944554	747.6427288484789
14x36	1209.9652887583181	448.4016057063133	870.4118565368925
15x23	832.6082211940978	315.76043133996365	143.50418112375675
15x25	841.3298104786255	191.59710331839557	206.2630601925609
15x27	868.8984348012141	74.94191083766155	310.12366888065793
15x29	912.9474300308863	42.232807152733834	426.59161970202837
15x31	971.0421463561713	141.43213920463793	547.2612264723313
15x33	1043.0828538519845	263.81213012293443	671.4636550104557
15x35	1125.5665684445325	388.90937247641676	796.2721268511165
16x22	777.1456748898495	391.79612045041995	90.8944442746638
16x24	776.5714712761472	271.9342751475068	120.13846178472578
16x26	796.8564801769512	160.4651052409838	227.17405221547642
16x28	834.8862437482125	87.8785525597687	347.45624184924344
16x30	888.7292332313594	128.12045113876263	471.29189468948033
16x32	957.9700465045869	224.09553766195378	596.7108261126158
16x34	1039.9546576654195	341.1528836167152	724.4292166940811
16x36	1128.7733209108019	463.26732023746297	850.8897754703603
17x21	727.5182815572401	470.66617681749767	100.17709319001011
17x23	716.7075972807877	354.5957980574502	34.40610410959067
17x25	728.9616313634072	244.89887709011657	148.94112930953622
17x27	759.327235123303	163.68399433053924	273.6082052863183
17x29	809.1133418749192	148.97113814427283	401.1847454727062
17x31	874.810453755555	213.5488936988439	527.5487939518015
17x33	954.3895693059518	309.293469054877	655.4258539300996
17x35	1043.7274021505805	422.81330395341166	775.9628148307107
17x37	1139.068400053307	486.3673714385041	802.3557938969469
18x20	690.1919805387482	543.6627355263555	133.99988805965458
18x22	667.7827565907943	429.6100673866942	18.14965564411609
18x24	668.2915306959978	323.34527984802867	86.2819216290413
18x26	691.8720185120945	238.27188252078744	213.27093097747783
18x28	736.7515524245605	196.01186188595844	340.3460738718755
18x30	799.517560782751	222.44893796105234	468.8423295736
18x32	875.9218058708211	299.3159033529628	596.1410990696753
18x34	965.2906349903122	395.69585542433987	706.5442732058622
18x36	1060.6279507914169	449.83535877029476	742.0229443891878
18x38	1161.5480790737852	423.7550471675824	762.8747865803405
19x21	619.9480381451334	513.178497211253	48.791085251303684
19x23	607.9001316005778	408.95961903346887	38.79652046253645
19x25	621.7564555354452	321.22000249050484	160.6477201830143
19x27	658.4462088887747	264.26428059804084	284.0063555626881
19x29	716.3043557036352	248.05751349233483	410.27006958831424
19x31	791.8056832329506	251.56478290889586	536.8048434952874
19x33	878.4864825368686	310.4276083082818	630.8842207568674
19x35	974.2947244032476	400.980810014644	677.0443190811072
19x37	1076.847881550593	375.99303185032556	694.0550122288578
20x20	579.7220454666184	597.5552275731508	84.80005896224361
20x22	552.4010318600065	493.2395969506097	0.31622776601676605
20x24	553.1197429128705	388.24019627029844	105.6515499176422
20x26	582.17372836637	297.1640119529951	230.7380549454297
20x28	634.1404655121764	219.6764211288956	357.7162702478043
20x30	706.4401248513562	184.24562410000388	484.39266096835115
20x32	792.8037146734368	226.23909918491108	559.9713653393359
20x34	888.1936331679034	314.8925689818673	597.7726407255522
20x36	991.9237319471692	342.0284929651328	627.215983533583
20x38	1099.8525764846852	309.3494625823682	652.6650672435288
21x19	549.6058314828908	646.7232561150091	157.30661143130627
21x21	506.85264130711585	525.4813031878487	44.47920862605354
21x23	490.60004076640666	409.3555911429572	74.29939434477251
21x25	509.06323772199465	303.55523385374175	183.99396729240908
21x27	554.2861445138243	213.16033871243482	304.1580674583532
21x29	622.3198213137678	139.34762287172313	429.1812670655606
21x31	706.705157756755	143.60981860583206	493.7276374682704
21x33	803.0057596306518	229.78000348159114	521.9824230757199
21x35	908.8879028791175	326.0760954133251	564.9456788046085
21x37	1015.6425060029734	266.04454514235	582.3721318881938
21x39	1130.012145952423	251.1000796495293	622.1222146813277
22x18	525.8618830073158	691.8374953701193	238.4674401254812
22x20	467.7675170423869	567.0312601612012	130.99866411532608
22x22	435.48787583582623	443.32030181348557	92.45804453913138
22x24	436.9825282548489	324.72931804812424	161.26540236516976
22x26	473.1524912752757	214.720003725782	269.8071162886558
22x28	537.3778744980109	125.63988220306456	386.15460634310733
22x30	621.0044283255957	66.65808278070983	431.4182425442853
22x32	717.6423203797281	145.14716669642593	445.3359406111301
22x34	822.81318049725	259.59840138182676	493.91044734850453
22x36	933.7949721432432	238.55198594855545	511.5132940598903
22x38	1049.7577815858288	192.9025660793551	543.838946748024
22x40	1167.1257215912947	202.74676322940397	601.8144647646815
23x17	517.5426552468886	744.7944682930988	320.8002493764616
23x19	443.29137144771937	618.7917581868716	216.74879469099693
23x21	392.63032231349615	491.3082230128047	149.67421287583247
23x23	374.00001336898373	366.39379088625384	166.8868179335924
23x25	395.7081879365147	243.27961279153678	247.52327163319399
23x27	453.5835094004189	129.02402876983788	354.4917488461475
23x29	534.3611606395059	46.768044645890136	380.6810344632364
23x31	631.762621559712	60.644950325645375	376.6075012529622
23x33	738.3228629806881	183.16399755410455	412.8157579356678
23x35	850.7792193042799	243.36121301472807	446.9327466185486
23x37	967.6602141247721	155.64732570783204	469.69318709131795
23x39	1086.1211028241742	133.4198261129133	518.8418352446149
23x41	1205.6797667705969	186.28821755548583	593.1638053691408
24x18	433.21039922882727	677.7836306668964	302.7904390828746
24x20	361.12560141867516	548.6562676211763	225.2982467752469
24x22	322.3206478027739	422.129127163715	205.0658430846057
24x24	323.14592678850215	292.8267235072646	248.79688502873185
24x26	371.0733754933111	167.1037103118897	332.71076027083967
24x28	449.93271719224845	44.5067410624503	346.53693886799414
24x30	546.1998626876428	4.548626166217816	316.3742878300951
24x32	654.3029879192057	118.62040296677503	335.31626861815096
24x34	769.7205272045172	247.5521965162095	386.3711816375541
24x36	884.8832973901137	158.6885314066518	398.0586012134394
24x38	1005.8193177703439	77.49903225202216	437.50988560259975
24x40	1128.0165114039776	100.98638522097917	508.2482169176789
25x17	437.60388480908153	739.7576359862734	387.48672235316644
25x19	348.0510882040163	613.8310516746443	306.3481026544802
25x21	282.5139996531144	485.61338531799146	263.60189680652917
25x23	258.6000193348793	357.9326333264403	258.6023395099123
25x25	289.3503067218007	230.01391262269306	288.908636077221
25x27	363.4295667663819	104.7341873506448	328.80001520681213
25x29	460.996854653044	0.31622776601655034	268.66354423330284
25x31	570.5302796521846	90.22859857052002	263.1049220368176
25x33	686.7746355246385	196.61993795136868	312.9172414553086
25x35	805.6592828237011	193.8057790676013	332.7615963418854
25x37	927.4263582624769	72.4240981994251	360.6547518056569
25x39	1050.7387306081375	19.007366992826512	423.77715842173455
25x41	1174.1721338883838	127.7951485777143	512.266532188079
