	dist_type_ambigious	dist_type_portal
11x37	600.4464006054161	787.1460347356139
11x39	608.115951114588	885.5865909102283
12x34	572.3181370531603	616.4823192922892
12x36	545.170404552558	701.5256018136474
12x38	546.6671747965117	799.2462699318654
12x40	566.3506422703164	902.5406639038487
13x33	535.6357064274188	529.8858461970844
13x35	498.92115609583027	617.4802992808758
13x37	485.59070213503884	712.8204051512556
13x39	496.5837895058596	817.6805366400744
13x41	535.8177395346293	926.1489351070917
14x20	745.7100777111704	289.25130941795226
14x22	718.9326115847018	323.0605206458999
14x32	498.77795660995264	444.3217865466425
14x34	460.6557282830638	528.5918084874188
14x36	429.6443645621339	634.5629046832158
14x38	429.7748480309195	734.756299734817
14x40	456.5718563380797	844.6861310569747
14x42	519.4049672461749	957.4578424139623
15x21	672.5411883297556	245.23713014142035
15x23	655.9283649911779	309.7780172962568
15x25	668.1380845304359	304.31578992881697
15x27	650.9318397497543	281.10044468125614
15x31	477.1595225917639	361.1263075434964
15x33	421.81750793441455	444.3390709807098
15x35	384.80254676911886	542.5922962962156
15x37	368.62170310495827	651.2065417361838
15x39	388.82701809416466	767.6422669447013
15x41	433.1489928419551	873.8573396155691
15x43	511.8567182327493	936.0936384785446
15x45	583.2987570705085	1010.163174937594
16x20	634.9623295912916	174.86554835072565
16x22	602.6910983248383	226.98052779919257
16x24	603.7288132928556	291.9532154301437
16x26	626.1406631101354	229.59035258477206
16x28	564.9937521778448	229.61955491638767
16x30	467.9655222342772	278.40820749396033
16x32	391.7911816261309	358.32601077789496
16x34	348.71846810858744	455.50957179844204
16x36	313.08212979983364	569.7143319243428
16x38	314.0930435396493	676.4673236749875
16x40	351.7690151221393	794.8503255330528
16x42	426.76092838965485	854.0578961639545
16x44	515.3753292504405	927.2893453501987
16x46	548.592836263836	1005.6224440613884
17x19	586.8883454286683	119.67008815907164
17x21	559.8244367656703	138.4832119789254
17x23	540.1379175729102	225.40002218278505
17x25	554.9343024178626	206.6452999707468
17x27	585.0664235794085	165.4004836752298
17x29	478.70251722755745	196.6298553119541
17x31	384.2621240767815	270.1417775909533
17x33	311.43803557048045	371.48277214428145
17x35	276.7688204982632	480.3567216142605
17x37	253.2987564122651	597.9968729015231
17x39	275.12842455842326	719.9800344454005
17x41	340.179614321611	771.8925896781235
17x43	434.55644052297737	844.1002902499204
17x45	471.63030012924315	919.6301104248381
17x47	524.6872211136841	1003.8575994631909
18x18	529.2018518486116	119.98416562196843
18x20	531.3208446880284	58.44518799696003
18x22	496.60290977802373	148.74357128965278
18x24	485.84599411747735	210.71385811094618
18x26	523.3404245804064	126.11502686040212
18x28	501.2928585168551	121.14755465959686
18x30	395.25771339722144	195.58594018998394
18x32	303.04351172727644	293.4119459054113
18x34	243.15676013633671	404.6388636797015
18x36	206.4937045045197	521.3381340358676
18x38	200.13018263120637	640.5513952837822
18x40	260.93558592112345	695.8055619208573
18x42	349.91313207709146	762.0309704992311
18x44	407.6344440794963	844.3614391953247
18x46	452.6429608422073	928.5862641672018
18x48	521.388770496642	1017.3249480868933
19x17	471.7413804193987	160.69079002855136
19x19	472.73681895955593	28.991378028648345
19x21	451.07241103840516	54.55749261100618
19x23	431.0390237553904	131.49387818449955
19x25	453.6871388963985	133.43170537769487
19x27	496.74367635632774	54.8003649622883
19x29	418.8588306339023	105.50980997044763
19x31	310.6849851537727	210.6061727490437
19x33	215.24702088530736	321.04934200212915
19x35	173.6101955531413	441.5251974689556
19x37	148.18751634331417	565.7677438666861
19x39	179.0609393474748	620.512707363838
19x41	268.9087763536179	684.4457100457275
19x43	343.777733426701	762.606012302552
19x45	368.79940347023336	838.6676338097233
19x47	435.89540029690613	930.4154985811448
19x49	495.68135934287454	1037.4817636951504
20x16	426.97646305153626	223.45491715332633
20x18	416.3000480422744	100.33907514024617
20x20	429.71833798431265	5.731491952362769
20x22	381.275818797888	46.96221885728995
20x24	379.5804130879251	149.46802333609682
20x26	413.4402496129276	54.094731721305344
20x28	460.17164189028426	23.19353358158257
20x30	334.3652045294187	128.93366511505053
20x32	227.54702810627938	241.40598584127954
20x34	138.77971753826267	362.2317076126826
20x36	97.16995420396162	488.5284024496426
20x38	99.76878269278426	545.4940971266326
20x40	177.10138339380657	594.1394617427798
20x42	287.7244688934188	676.7105511221176
20x44	297.9768615178032	757.8073699826364
20x46	355.2962144464813	849.1558160903099
20x48	426.2513460389304	940.4782878939843
20x50	435.084187255754	1050.5561622302732
21x15	401.700049788396	295.3298664205839
21x17	363.93588721092067	182.16731320409815
21x19	358.1446216265155	92.21697240746947
21x21	339.35387134965754	0.49999999999986355
21x23	314.10445714761835	69.26622553597107
21x25	339.01884903350134	124.52702517927581
21x27	400.4497971032073	12.175385004179716
21x29	385.10160996807065	43.407948580876294
21x31	265.94198615487534	159.6857539043482
21x33	140.25922429558767	286.65562963249135
21x35	62.13034685240356	413.44767504486003
21x37	33.136837507523126	470.9446358118968
21x39	99.37529874168938	520.1083060286579
21x41	212.92310818696976	588.4320266606841
21x43	229.00799112694722	671.3880100210309
21x45	268.49068885158755	758.691801721885
21x47	352.987818486701	857.7105572394457
21x49	373.16939853101564	963.3766656920857
21x51	400.3437647822182	1077.2949131969392
22x14	393.2193789731118	374.10784541359186
22x16	328.2740471008938	258.1306839567896
22x18	301.9000000000001	165.48235555490496
22x20	325.3203498092301	68.94294742756522
22x22	276.7168227629105	0.4472135954999579
22x24	264.65942265485285	117.51089311208557
22x26	318.95574928193395	93.55623977052532
22x28	403.2778818631146	0.22360679775018233
22x30	315.04313990309305	88.88295674649908
22x32	183.99828803551398	218.2942280501251
22x34	59.36345677266407	338.94545283865403
22x36	18.9274932307477	402.5819792290758
22x38	10.007996802557447	437.44480794724274
22x40	140.2142646095613	502.24400444405524
22x42	176.10295284293184	588.6712580039899
22x44	196.06073038729613	683.3293568989993
22x46	275.07440811533166	779.9426453272063
22x48	326.86893397813105	884.0278841756069
22x50	331.20609897766053	1001.9703987643547
22x52	384.90694979436256	1103.3308479327495
23x15	309.5128591835886	341.8031743562367
23x17	248.90345517891038	260.16519751880736
23x19	252.92291315734911	150.3595690337
23x21	247.59371962955734	57.09684754870468
23x23	207.74224413922153	73.39782013111846
23x25	233.7855855265674	182.7011220545731
23x27	319.51608723192646	68.6333009551484
23x29	376.7295581713757	19.353552645444797
23x31	250.87431115999098	141.38359169295433
23x33	126.69352785363584	267.0753638956615
23x35	1.6552945357246078	341.6552941196726
23x37	35.42160357747789	361.1203262072076
23x39	101.34742226618316	425.5407148558175
23x41	150.2086548771407	501.4170320202537
23x43	115.7138712514621	594.4006224761208
23x45	194.02417375162312	699.3618376777505
23x47	282.6192668591437	803.7796028763111
23x49	265.10611083111587	917.1739475148647
23x51	302.54594692376895	1017.77858594097
23x53	382.1690332823947	1105.4200875685226
24x14	316.8773422004167	431.4559653081644
24x16	227.1600316957186	335.4550342445318
24x18	189.50023746686966	233.1864918900748
24x20	221.47550654643524	136.01470508735426
24x22	167.16892653839685	107.30074557056926
24x24	157.64342675798457	162.6138063019251
24x26	231.71516998245914	144.12119899584528
24x28	340.05814208749644	17.77470112266321
24x30	322.0873328772801	71.20007022468474
24x32	197.84640507221732	197.20040567909618
24x34	77.10752233083323	288.6686162366807
24x36	68.80588637609476	288.93987263788966
24x38	95.76956719125354	337.17889910253894
24x40	169.097427538091	420.53292380026573
24x42	66.81616570860676	504.91127933529094
24x44	104.25900440729343	610.1995902981255
24x46	212.0953087647158	713.9554748021759
24x48	207.01896048429964	834.471119931661
24x50	225.24768589266347	936.0818981264406
24x52	296.58337782148215	1019.9343606330752
24x54	396.8210301886733	1112.7794615286534
25x13	337.506992520155	515.5400760367712
25x15	229.41054901638668	421.3713326746373
25x17	142.78389264899593	315.75788192854344
25x19	141.8616579629603	221.22190217064872
25x21	165.76398885161979	161.08662265998393
25x23	89.56517180243675	177.53118035995814
25x25	142.1979254419698	221.51805795465074
25x27	253.36718414190906	106.94545338629403
25x29	299.70668994868964	39.472775428135414
25x31	278.28345261621274	139.22313026218043
25x33	164.65615688458186	255.24625364537644
25x35	99.00611092250821	228.17364002005138
25x37	144.14676548573698	257.5198827275283
25x39	164.50583576274713	332.95280446333544
25x41	84.900530033681	419.3872911760679
25x43	17.204650534085285	522.8439537758852
25x45	135.39146945062706	632.4215761657728
25x47	181.66609480032304	752.9770049609749
25x49	148.1672365943293	846.9008973900075
25x51	210.27622309714442	933.6590866049557
25x53	308.6964204521977	1023.424877555749
25x55	401.7071196780061	1127.2010512770116
26x14	257.987693504942	518.4988428145235
26x16	139.62696730932734	413.4347469674025
26x18	66.40007530116222	311.16100334071416
26x20	128.99961240251847	244.70901086801047
26x22	76.72001042752801	234.5999999999999
26x24	47.89008248061392	262.3818972414064
26x26	168.02217115607087	203.09123565530848
26x28	230.4236316005805	121.50082304247964
26x30	251.13920442654887	124.72249195714488
26x32	264.0395424931652	217.29629541250836
26x34	190.97039037505257	167.03918701909433
26x36	179.85883353341322	163.69361624693857
26x38	159.11520983237253	232.9709209322055
26x40	88.55834235124301	320.438730493054
26x42	9.838699100998872	422.58726909361593
26x44	60.34608520857052	535.6773749188967
26x46	189.55856614777377	662.3549275124328
26x48	88.95774277711837	746.4562143890289
26x50	105.42959736241077	828.5819211158306
26x52	209.76606017180208	923.0845031740054
26x54	312.1537121355439	1020.2448431626599
27x13	312.24959567627934	598.8492381225846
27x15	183.83323964941704	497.7447739554882
27x17	62.28523099419309	404.9830243355887
27x19	47.658472489159784	324.0082252042378
27x21	138.91270640225827	293.0889626035074
27x23	12.467958934805539	297.2181858500588
27x25	82.72411982003794	290.8746809194641
27x27	185.50309970456001	200.1969030729496
27x29	173.9513150280848	164.5729625424541
27x31	239.71124295702108	206.72222909014914
27x33	270.62860159266256	155.5893312537847
27x35	230.46131996497795	96.94338554022144
27x37	196.47597817545017	151.3288141762831
27x39	78.32477258185918	233.16940193773317
27x41	51.845346946471345	341.60377632573085
27x43	67.33112207590216	459.292151032434
27x45	145.7075495641872	580.3644458441612
27x47	105.66366452096922	663.7166639462959
27x49	25.0	744.9060343425874
27x51	123.78937757336055	835.3234164082796
27x53	243.55050810868806	937.2729858477733
27x55	277.784754801267	1042.3056029783206
28x14	254.33334425513294	588.4600666145495
28x16	121.5625353470385	487.12611303439695
28x18	0.3605551275464494	406.8699177869999
28x20	95.92648226636899	357.08975062300533
28x22	92.4247261288882	346.80012975776134
28x24	8.21340367935253	365.7527306801687
28x26	121.37236093938343	282.0819916265484
28x28	114.2420675583209	228.56651110781752
28x30	153.0372830391339	228.5095402822385
28x32	258.62623610144436	165.00463629849895
28x34	295.58636639736966	79.14606749548544
28x36	256.59549879138564	64.70123646422842
28x38	128.85340507724237	147.41641699620857
28x40	5.590169943749531	260.0447076946578
28x42	79.76778798487553	383.63798039297444
28x44	138.57820896519058	503.95765695145496
28x46	162.44660661275725	584.295901063836
28x48	42.761898928835976	652.6035396778047
28x50	39.54870415070539	748.6187948482193
28x52	164.52370649848646	846.0046394671841
28x54	202.20200295743842	958.8924079374077
29x13	316.80697593329603	666.3835682247875
29x15	191.35542845709904	568.2310269599856
29x17	79.15181615098913	489.35203075086946
29x19	68.76074461493295	426.5820436914806
29x21	167.18746962616555	396.63692465528226
29x23	47.08640992898046	407.5690493646447
29x25	40.071560987812745	371.2604611320738
29x27	82.91447400785938	304.32780024177885
29x29	73.26834241335051	273.1143533394029
29x31	179.04851297902474	201.5608344892428
29x33	293.52294629210854	86.7774164169456
29x35	327.7128316071861	0.31622776601712554
29x37	206.9078297213518	59.43778259659441
29x39	95.16270277792646	178.9188084020237
29x41	44.441647134191626	308.04197765888995
29x43	146.00085616187343	435.30753496809604
29x45	222.10276900570165	498.7270195206992
29x47	119.80525864919287	573.097286680019
29x49	20.903827400741687	663.0287851971439
29x51	103.75572273373687	763.6483811283831
29x53	135.6544507194656	871.1888027287771
30x14	271.16948574646085	654.285939020548
30x16	163.05980497964546	570.5882052759241
30x18	106.80018726575359	506.40387044334494
30x20	161.64467204334335	463.15267461173113
30x22	119.60342804451712	458.3018437667474
30x24	28.751347794494915	454.82132755621757
30x26	89.14757427995421	378.3496927446881
30x28	2.6076809620809898	335.7680747182496
30x30	113.31593003633708	257.40959578073216
30x32	231.5060474372108	135.56050309732518
30x34	357.1761470199265	8.221921916437642
30x36	278.31789378334963	0.22360679775038572
30x38	165.04896243236436	124.22061020619728
30x40	91.02466698648256	248.79929662279997
30x42	122.83521482050678	379.80664817772765
30x44	229.95697423648633	425.15951124254536
30x46	194.75689974940562	497.9428180022279
