	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
62x44	0.052322462	1.7968667e-10	1.7877085e-10	0.008946753	1.7887421e-10	1.7974562e-10	1.7959553e-10	0.015552554	0.03464066	1.7858308e-10	0.22494578	1.7875311e-10	0.62204474	0.041547038
62x46	0.09579956	1.847389e-10	1.8470614e-10	1.8468922e-10	1.847611e-10	0.010379081	1.8530213e-10	1.8480868e-10	0.10036247	1.8468535e-10	0.36265898	1.8491904e-10	0.43079993	1.8388956e-10
63x21	0.2062138	1.8367087e-10	1.8343563e-10	1.8282958e-10	1.8332334e-10	1.8404926e-10	1.8333488e-10	1.8342163e-10	0.07004089	1.8335693e-10	0.10921402	1.8352626e-10	0.6145313	1.8306442e-10
63x23	0.19799103	1.7678213e-10	1.7678178e-10	1.7632817e-10	1.7669144e-10	1.7756918e-10	1.7732686e-10	1.7722372e-10	0.09386407	1.775177e-10	1.768651e-10	1.7707168e-10	0.7081449	1.7702136e-10
63x25	0.13735771	1.8214422e-10	1.8210325e-10	1.8207268e-10	1.8195222e-10	1.8127984e-10	0.03212931	1.8146389e-10	0.06614578	1.8175866e-10	1.8196263e-10	0.036656525	0.7277106	1.8205532e-10
63x27	1.6612059e-10	1.651948e-10	1.6493473e-10	1.6517589e-10	1.6559859e-10	1.6532875e-10	1.6577525e-10	1.6601447e-10	0.06740652	1.6559322e-10	0.38275105	1.6585053e-10	0.5498424	1.6560554e-10
63x29	1.6767675e-10	1.6711034e-10	1.6708197e-10	1.6688707e-10	1.6696187e-10	1.6777432e-10	1.6733488e-10	1.669259e-10	0.10116175	1.6663103e-10	0.51518524	1.670756e-10	0.383653	1.6662878e-10
63x31	0.0073257163	1.8114099e-10	1.8142035e-10	1.8047194e-10	1.8040312e-10	0.05115378	1.8035805e-10	1.8045715e-10	1.8201096e-10	1.8136605e-10	0.2429124	1.8033569e-10	0.6986081	1.8123325e-10
63x33	0.03986495	1.9273445e-10	1.928157e-10	1.928352e-10	0.008681867	1.9355079e-10	0.018101547	1.925478e-10	0.21032493	1.9225128e-10	0.2142778	0.003421678	0.5053273	1.9259773e-10
63x35	0.031974286	1.8443662e-10	1.8485324e-10	1.8446863e-10	0.026180618	1.8402724e-10	1.8408236e-10	1.8472883e-10	0.13736457	1.8469959e-10	0.07369392	1.847542e-10	0.7307866	1.846221e-10
63x37	1.9416235e-10	0.0077384575	1.9376464e-10	1.9344819e-10	1.9323468e-10	0.02979685	1.9342199e-10	1.9313186e-10	0.108972564	1.9256834e-10	0.18858707	1.935903e-10	0.6341323	0.030772708
63x39	1.9140163e-10	1.9076564e-10	0.015538705	1.9003062e-10	1.9004981e-10	1.9157877e-10	1.9103837e-10	1.9128449e-10	0.13497469	1.9028958e-10	0.28039798	1.9063069e-10	0.526642	0.042446565
63x41	0.031431228	1.943924e-10	1.9395502e-10	1.9480997e-10	1.9452705e-10	1.9514951e-10	1.9412008e-10	1.947368e-10	0.1638764	1.9478322e-10	0.1522763	1.9457083e-10	0.6524161	1.950178e-10
63x43	0.15905197	1.9493891e-10	1.94697e-10	1.9379966e-10	1.9459565e-10	0.052690193	1.9486715e-10	1.9487126e-10	1.9494076e-10	1.9448432e-10	1.9463982e-10	1.948285e-10	0.76432663	0.023931282
63x45	0.17195693	1.8105363e-10	1.8050296e-10	0.011783901	1.8022157e-10	1.8084861e-10	1.8039936e-10	1.8031816e-10	0.064004555	1.805646e-10	0.16936569	1.8080963e-10	0.58288896	1.808869e-10
64x20	0.18475533	1.8682862e-10	1.8690918e-10	1.8618583e-10	1.8630732e-10	1.871093e-10	1.8680013e-10	1.8674527e-10	1.8732177e-10	1.8685394e-10	0.35567296	1.8606407e-10	0.45957172	1.8593599e-10
64x22	1.7811844e-10	1.7833024e-10	1.7790829e-10	1.7789334e-10	1.7796699e-10	1.7685169e-10	1.7838295e-10	0.026184725	0.12878557	1.7769226e-10	1.7786586e-10	1.7803421e-10	0.81884444	0.026185295
64x24	0.14189616	0.011600042	0.02398387	1.7654828e-10	1.7689919e-10	1.7739926e-10	1.768226e-10	1.7673325e-10	0.08261498	1.7687017e-10	1.7725821e-10	1.774402e-10	0.73990494	1.7724064e-10
64x26	0.09549107	1.7664292e-10	1.7550446e-10	1.7575771e-10	1.7564544e-10	1.766446e-10	1.7649979e-10	1.7634198e-10	0.10040225	1.7623843e-10	0.06703547	1.7636922e-10	0.7370712	1.7637461e-10
64x28	0.09009293	1.9198952e-10	1.9170558e-10	1.914958e-10	1.914465e-10	1.9132859e-10	1.9068704e-10	1.9110721e-10	0.15197583	1.9038976e-10	1.920137e-10	1.9073214e-10	0.75793123	1.914885e-10
64x30	1.7060096e-10	1.6969907e-10	1.6921876e-10	0.0036070885	1.6992709e-10	1.7032753e-10	1.6997508e-10	1.7036586e-10	0.16195595	1.6951177e-10	0.3845054	1.7053102e-10	0.4499315	1.6948559e-10
64x32	1.9211674e-10	0.01497171	1.909783e-10	1.917788e-10	1.917982e-10	1.9118643e-10	0.043696303	1.9103659e-10	0.11569417	1.9077806e-10	0.009074035	1.9145975e-10	0.7619464	0.054617483
64x34	0.14456943	2.0171745e-10	2.0129928e-10	2.0037877e-10	0.02659393	2.0161706e-10	0.027565438	2.0100425e-10	0.16558477	2.0117337e-10	2.0129161e-10	2.0055045e-10	0.6356864	2.007349e-10
64x36	0.26999435	1.8716906e-10	1.8683378e-10	1.8758292e-10	1.8757218e-10	0.03876836	1.8809991e-10	1.8744986e-10	1.8844502e-10	1.8747097e-10	1.875357e-10	1.8749456e-10	0.6912373	1.8776405e-10
64x38	0.28283033	1.7759946e-10	1.7805907e-10	1.776547e-10	1.7799488e-10	1.783262e-10	1.7750262e-10	1.7835104e-10	1.7896237e-10	1.7868233e-10	1.7862373e-10	1.7847387e-10	0.7171697	1.7808012e-10
64x40	0.1302441	2.0398899e-10	2.0312707e-10	2.034842e-10	2.042931e-10	2.0381438e-10	2.0366904e-10	2.0404349e-10	0.17271332	2.0412717e-10	0.28936073	2.0431142e-10	0.4076818	2.0421867e-10
64x42	1.8381477e-10	1.8251446e-10	1.8240902e-10	1.8311246e-10	1.8362695e-10	0.08914343	1.8277957e-10	1.8294176e-10	1.8400279e-10	1.8314285e-10	0.4627296	1.8285419e-10	0.44812703	1.8235786e-10
64x44	0.06069191	1.8033497e-10	1.796069e-10	1.7911257e-10	1.7973405e-10	1.8006208e-10	1.7938813e-10	1.8011771e-10	0.10215932	1.792291e-10	0.11434858	1.791956e-10	0.72280025	1.8013455e-10
64x46	0.097077906	1.9589169e-10	1.9614331e-10	1.9535512e-10	1.9577777e-10	0.01162123	1.9605167e-10	1.9635217e-10	0.12633266	1.9624809e-10	0.21461631	1.958887e-10	0.5503519	1.9557064e-10
65x21	0.0867769	1.83441e-10	1.8314315e-10	1.8243365e-10	1.829574e-10	1.8341055e-10	1.8268366e-10	1.8267111e-10	0.08293633	1.8304395e-10	0.3725656	1.830038e-10	0.45772117	1.8272234e-10
65x23	0.27405617	1.8295405e-10	1.8264862e-10	1.8255912e-10	1.8370726e-10	1.840966e-10	1.828487e-10	1.8356051e-10	0.032985587	1.8322716e-10	0.1448239	1.8282639e-10	0.5481343	1.8273992e-10
65x25	0.0016788376	1.7371428e-10	1.7277188e-10	1.72851e-10	0.114303656	1.7311196e-10	0.0033827461	1.7317701e-10	0.10388005	1.7307927e-10	1.731496e-10	1.7319685e-10	0.7316717	0.045082986
65x27	1.8019292e-10	1.799144e-10	1.793477e-10	1.7957807e-10	1.7959591e-10	1.794709e-10	1.7885339e-10	1.7902713e-10	0.08803327	1.7882133e-10	0.40764722	1.7967744e-10	0.5043195	1.7972233e-10
65x29	0.0841103	1.8515697e-10	0.074516065	1.8438445e-10	1.8457869e-10	1.8468434e-10	1.8481719e-10	1.8477912e-10	0.15754491	1.843057e-10	1.8443334e-10	1.8494167e-10	0.6838287	1.8457096e-10
65x31	0.12781441	1.8842337e-10	1.8847944e-10	1.8860241e-10	1.8852835e-10	1.8951041e-10	1.8843846e-10	1.8874206e-10	0.1733858	1.8920739e-10	1.8840611e-10	1.8900792e-10	0.6987998	1.8818631e-10
65x33	0.041794095	1.8386498e-10	1.8374544e-10	1.8454836e-10	1.8438687e-10	1.8502877e-10	1.8388742e-10	1.8406571e-10	0.088990636	1.8415525e-10	0.25352305	1.8386816e-10	0.61569226	1.8405903e-10
65x35	0.03241593	1.9151376e-10	1.9045009e-10	1.9110871e-10	1.909291e-10	1.9141953e-10	1.9146518e-10	1.9063434e-10	0.14693207	1.9041377e-10	0.27266318	1.9149476e-10	0.54798883	1.911499e-10
65x37	0.0030347016	1.9628249e-10	1.963027e-10	1.9611819e-10	1.9571575e-10	1.959933e-10	1.9598584e-10	1.963896e-10	0.21716958	1.9592863e-10	1.9701576e-10	0.024997907	0.7547978	1.9689367e-10
65x39	0.21038018	1.9200105e-10	0.034770284	1.9094414e-10	1.9199556e-10	1.9219229e-10	0.04581171	1.9145141e-10	0.075899586	1.9147187e-10	1.9214318e-10	1.9111794e-10	0.6331383	1.9213402e-10
65x41	0.14964166	1.9136712e-10	1.911796e-10	1.9060904e-10	1.9085608e-10	0.032328736	0.036183685	1.9133062e-10	1.9081092e-10	1.909511e-10	0.3176941	1.9129633e-10	0.4641518	1.9103198e-10
65x43	1.7522608e-10	1.7444478e-10	1.7478115e-10	1.7369807e-10	0.03163003	0.0074473433	1.7481283e-10	1.7497427e-10	0.070188515	1.7442114e-10	0.6068023	1.7504204e-10	0.28393182	1.7413859e-10
65x45	0.10775846	1.713252e-10	1.7091167e-10	1.7075104e-10	1.7107574e-10	0.00024529707	1.7176659e-10	1.7069274e-10	0.06370523	1.7147558e-10	0.31861967	1.7166146e-10	0.50967133	1.7095243e-10
