	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
13x35	1.4909159e-10	0.03791	1.4905548e-10	1.4849956e-10	1.4841972e-10	0.037037794	0.17179069	0.09841777	0.08747619	0.062917195	0.22213292	0.08640593	0.19591144	1.4876947e-10
13x37	0.5720475	1.741722e-10	0.053180076	0.050455786	1.7423202e-10	0.06756691	0.15706362	1.7416724e-10	0.0040607527	1.739312e-10	1.7424233e-10	1.745327e-10	1.7426227e-10	0.09562545
13x39	1.4043755e-10	1.403374e-10	0.03357405	0.084236175	0.09910782	0.05372551	0.1582084	1.4053991e-10	1.4071747e-10	0.07024665	0.3880242	0.11287716	1.3965676e-10	1.3993486e-10
13x41	0.097570576	0.13418785	1.5413835e-10	0.04523225	0.085802756	0.050058685	0.05637803	0.030935623	0.09177196	0.05670085	0.19977501	1.5384319e-10	0.15158649	1.546254e-10
14x26	0.2762497	0.17298779	0.011892268	0.030969935	0.0983722	0.07287074	0.07706987	0.014477996	0.0018943868	0.023523765	1.598472e-10	1.5991276e-10	0.21969132	1.5924922e-10
14x28	0.30991262	0.14379796	0.06470868	0.05218341	0.19130106	1.4562893e-10	0.15496366	1.4512429e-10	1.456645e-10	0.037148286	1.4532232e-10	1.4564477e-10	1.453531e-10	0.045984253
14x30	0.5350352	0.12747549	1.6560725e-10	1.6623893e-10	0.09822805	0.03744603	0.12859413	1.6641183e-10	1.66482e-10	1.6662557e-10	1.6513696e-10	0.07322109	1.6634646e-10	1.6567392e-10
14x36	0.16423005	0.06938531	0.0393309	0.012757156	0.06612545	0.11408518	0.100340545	1.6448883e-10	0.066431195	0.093483046	1.6373163e-10	1.644126e-10	0.2738311	1.6429974e-10
14x38	0.071126156	0.03669217	0.10070116	0.008792836	0.04447546	0.053260885	0.1323242	0.010462112	1.3823291e-10	0.072353326	1.3782879e-10	0.1848892	0.2849224	1.3812539e-10
14x40	0.034863494	1.4565778e-10	1.4525217e-10	0.06673984	0.19302174	0.036304165	0.14133026	1.4519344e-10	0.09918815	0.030630492	0.3710483	1.4571946e-10	1.4545928e-10	0.026873557
14x42	1.3782041e-10	0.061510663	0.023149712	0.067880675	0.114193216	0.025712365	0.17220098	0.07823144	0.055173215	0.076739736	0.08702283	1.3795426e-10	0.22847506	0.009710094
15x23	0.055053208	0.049927883	0.070148	0.056509014	0.09468875	0.046396192	0.1347133	0.03569921	0.042688847	0.074286915	0.3398887	1.371229e-10	1.3705753e-10	1.3718619e-10
15x25	1.3517053e-10	0.025113225	0.012622257	0.05554176	0.123095684	0.07113178	0.10085075	0.07707886	1.3501258e-10	0.09578925	1.3427476e-10	0.12010481	0.31867164	1.3430702e-10
15x27	1.3875143e-10	0.048441965	1.3839566e-10	0.10066986	0.19760846	0.044896014	0.17474633	0.019178724	0.018955162	0.021590587	0.20575999	0.06165546	0.10649744	1.3845956e-10
