gene_id	gene_biotype	gene_name	species
PBANKA_0104700	protein_coding	ELO-B-pb	p.berghei
PBANKA_0104800	protein_coding	PBANKA-0104800-pb	p.berghei
PBANKA_0104900	protein_coding	PBANKA-0104900-pb	p.berghei
PBANKA_0105000	protein_coding	PEX4-pb	p.berghei
PBANKA_0105100	protein_coding	PBANKA-0105100-pb	p.berghei
PBANKA_0105200	protein_coding	PTB-pb	p.berghei
PBANKA_0105300	protein_coding	PBANKA-0105300-pb	p.berghei
PBANKA_0105400	protein_coding	PBANKA-0105400-pb	p.berghei
PBANKA_0105500	protein_coding	GLP2-pb	p.berghei
PBANKA_0105600	protein_coding	PBANKA-0105600-pb	p.berghei
PBANKA_0105700	protein_coding	PBANKA-0105700-pb	p.berghei
PBANKA_0105800	protein_coding	PBANKA-0105800-pb	p.berghei
PBANKA_0105900	protein_coding	UROD-pb	p.berghei
PBANKA_0106000	protein_coding	PBANKA-0106000-pb	p.berghei
PBANKA_0106100	protein_coding	COQ2-pb	p.berghei
PBANKA_0106200	protein_coding	SAS6-pb	p.berghei
PBANKA_0106300	protein_coding	PBANKA-0106300-pb	p.berghei
PBANKA_0106400	protein_coding	PBANKA-0106400-pb	p.berghei
PBANKA_0106500	protein_coding	PBANKA-0106500-pb	p.berghei
PBANKA_0106600	protein_coding	DPH7-pb	p.berghei
PBANKA_0106700	protein_coding	PBANKA-0106700-pb	p.berghei
PBANKA_0106800	protein_coding	PBANKA-0106800-pb	p.berghei
PBANKA_0106900	protein_coding	PBANKA-0106900-pb	p.berghei
PBANKA_0106950	protein_coding	SAM50-pb	p.berghei
PBANKA_0107000	protein_coding	PBANKA-0107000-pb	p.berghei
PBANKA_0107100	protein_coding	PBANKA-0107100-pb	p.berghei
PBANKA_0107200	protein_coding	PBANKA-0107200-pb	p.berghei
PBANKA_0107300	protein_coding	CCT6-pb	p.berghei
PBANKA_0107400	protein_coding	OAT-pb	p.berghei
PBANKA_0107500	protein_coding	PBANKA-0107500-pb	p.berghei
PBANKA_0107600	protein_coding	NUP637-pb	p.berghei
PBANKA_0107700	protein_coding	ZIP1-pb	p.berghei
PBANKA_0107800	protein_coding	PBANKA-0107800-pb	p.berghei
PBANKA_0107900	protein_coding	PBANKA-0107900-pb	p.berghei
PBANKA_0108000	protein_coding	CLS-pb	p.berghei
PBANKA_0108100	protein_coding	PBANKA-0108100-pb	p.berghei
PBANKA_0108200	protein_coding	PBANKA-0108200-pb	p.berghei
PBANKA_0108300	protein_coding	DHHC2-pb	p.berghei
PBANKA_0108400	protein_coding	PBANKA-0108400-pb	p.berghei
PBANKA_0108500	protein_coding	PBANKA-0108500-pb	p.berghei
PBANKA_0108600	protein_coding	SLU7-pb	p.berghei
PBANKA_0108700	protein_coding	RBM25-pb	p.berghei
PBANKA_0108800	protein_coding	H3-pb	p.berghei
PBANKA_0108900	protein_coding	PBANKA-0108900-pb	p.berghei
PBANKA_0109000	protein_coding	PBANKA-0109000-pb	p.berghei
PBANKA_0109100	protein_coding	TK-pb	p.berghei
PBANKA_0109200	protein_coding	SPT5-pb	p.berghei
PBANKA_0109300	protein_coding	PBANKA-0109300-pb	p.berghei
PBANKA_0109400	protein_coding	SDH3-pb	p.berghei
PBANKA_0109500	protein_coding	ApiAP2-pb	p.berghei
PBANKA_0109600	protein_coding	PBANKA-0109600-pb	p.berghei
PBANKA_0109700	protein_coding	SWIB-pb	p.berghei
PBANKA_0109800	protein_coding	PBANKA-0109800-pb	p.berghei
PBANKA_0109900	protein_coding	BTP1-pb	p.berghei
PBANKA_0110000	protein_coding	PBANKA-0110000-pb	p.berghei
PBANKA_0110100	protein_coding	PBANKA-0110100-pb	p.berghei
PBANKA_0110200	protein_coding	PBANKA-0110200-pb	p.berghei
PBANKA_0110300	protein_coding	PBANKA-0110300-pb	p.berghei
PBANKA_0110400	protein_coding	EIF3L-pb	p.berghei
PBANKA_0110500	protein_coding	LRR6-pb	p.berghei
PBANKA_0110600	protein_coding	TMEM234-pb	p.berghei
PBANKA_0110700	protein_coding	PBANKA-0110700-pb	p.berghei
