	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
8x22	1.5799657e-10	0.09139653	1.5830968e-10	0.06419974	0.043436434	1.5889111e-10	0.026120499	0.07224787	0.18143429	0.0151881	0.4501684	1.5837825e-10	0.055808216	1.5878235e-10
8x24	1.6061594e-10	1.6145324e-10	1.6056387e-10	0.05679057	1.6144523e-10	0.016950624	1.6134886e-10	0.086450875	0.20810623	0.0015578737	0.5865306	0.022934549	1.6112653e-10	0.020678751
9x21	1.8514554e-10	0.06568714	1.8494223e-10	0.06424812	1.845923e-10	0.052877817	1.8500186e-10	0.028795237	0.26273134	1.8507915e-10	1.8462996e-10	0.09884517	0.42681515	1.8418887e-10
9x23	1.5282647e-10	0.013320378	1.5281831e-10	0.06953277	0.013344381	1.5332544e-10	0.027909068	0.017776094	0.18133612	0.032175668	0.6041357	1.5299212e-10	1.5298862e-10	0.04046979
9x25	1.8362267e-10	1.838852e-10	0.008461745	0.017186739	1.831627e-10	0.11291791	1.8368537e-10	1.8405748e-10	0.1466524	1.830279e-10	0.7147812	1.8338993e-10	1.8387851e-10	1.8332696e-10
9x27	1.8423336e-10	1.8428924e-10	1.8400687e-10	0.033467136	1.8479894e-10	0.044592366	1.8375362e-10	1.8474149e-10	0.28034094	1.8402228e-10	0.6227449	0.018854579	1.8416065e-10	1.8346892e-10
10x18	1.6496361e-10	1.6507379e-10	1.6475042e-10	0.06432659	1.6430887e-10	1.6474447e-10	1.6433897e-10	0.072659284	0.26396972	1.6473031e-10	0.4959996	1.646499e-10	0.08742255	0.015622206
10x20	1.6516025e-10	1.6571401e-10	0.04225629	0.032516398	0.026575124	1.6500312e-10	0.00524705	0.05600398	0.3458076	1.6490465e-10	0.17061788	1.6524153e-10	0.3209757	1.6559301e-10
10x22	1.5757305e-10	0.048996214	1.5773333e-10	0.019878916	0.07032431	1.5749974e-10	0.024402445	0.03448628	0.12873499	0.037912924	0.6007038	1.5807908e-10	1.5785763e-10	0.03456015
10x24	1.5435725e-10	0.036491882	1.5421804e-10	0.064389035	1.553686e-10	0.005269547	1.548804e-10	0.020239195	0.21459202	1.5439021e-10	0.65901834	1.54511e-10	1.5471181e-10	1.5462125e-10
10x26	1.7204238e-10	0.00302693	1.7152763e-10	0.10147952	0.06758948	0.011924447	0.020964252	0.018795274	0.27043012	0.0033082792	0.3672526	1.7158393e-10	0.1352291	1.7197808e-10
10x28	1.6936946e-10	0.13625598	1.6929681e-10	0.03127319	0.010955514	0.048187114	0.011823866	0.13124278	0.14348675	1.6912864e-10	0.3272808	0.015908621	0.14358535	1.6887237e-10
11x17	1.8373023e-10	1.8360902e-10	0.020316914	0.01937759	1.8310155e-10	0.04435825	1.8261294e-10	0.13997093	0.2709179	1.8236512e-10	0.50505847	1.8373339e-10	1.8367943e-10	1.8253599e-10
11x19	1.9173872e-10	0.028011557	1.9174602e-10	1.9157678e-10	1.9131569e-10	1.9137408e-10	1.9085318e-10	1.9092236e-10	0.4517818	1.9084881e-10	0.3601749	0.02522124	0.13481052	1.9137665e-10
11x21	1.5584434e-10	1.5607281e-10	0.003435095	0.11312964	0.0019049364	0.0035499437	1.5606803e-10	1.5618418e-10	0.19585799	0.014720801	0.6235254	1.5595941e-10	1.5601416e-10	0.043876242
11x23	1.5673876e-10	0.05280701	0.014447356	0.034503937	1.5715876e-10	1.5696824e-10	0.054310344	0.044058863	0.22401091	1.5609793e-10	0.5758616	1.5702573e-10	1.5689161e-10	1.5610477e-10
11x25	1.8962729e-10	1.8987482e-10	1.9016515e-10	1.9030992e-10	0.060862683	0.088866085	1.902453e-10	0.086476795	0.26631743	1.9013974e-10	1.8930708e-10	1.8911475e-10	0.43761185	0.059865158
