	dist_type_central	dist_type_portal
15x51	383.1759908971332	590.4607014865596
15x53	345.18044556434535	643.0212593686152
16x50	370.02676930189784	517.1839227972965
16x52	304.0917131393092	565.38143761535
17x45	318.5297631305433	485.0880435549819
17x47	383.0195947990128	451.1033251927987
17x49	372.7334302152142	447.4431919249638
17x51	285.96908923867943	482.90860418923995
17x53	232.03312263554082	546.7501897576259
17x55	242.3104001069703	628.2710641116621
18x44	254.09260123033883	466.97392860843934
18x46	306.99838761791557	412.2977201004147
18x48	385.9830566229556	389.61663208851843
18x50	291.39974262171194	412.78445949429823
18x52	204.20570511129188	467.6553966330338
18x54	177.2891987685656	548.5043846679805
18x56	233.84819862466347	646.364123385573
19x45	224.14827681693194	385.5604362483265
19x47	307.4966178675792	341.2971872137242
19x49	304.7954395984296	343.4004368081088
19x51	205.69686434168102	385.3894134508626
19x53	125.21249937606058	462.9705930186063
19x55	145.97893683679172	557.9529101994183
20x42	144.18588696540297	452.66695262632095
20x44	142.9506907993101	372.6774745004048
20x46	223.82129031886151	302.07113400654464
20x48	330.85200619007907	275.9000724900229
20x50	220.7398921808197	302.10941726467246
20x52	119.25875229935934	375.681048231076
20x54	67.91325349296692	475.944545089026
21x41	145.4726091056318	458.4337247629147
21x43	74.401680088557	369.4761291342107
21x45	138.17213901507077	288.42735653886916
21x47	247.70290672497183	227.34275884663643
21x49	260.1977132874151	228.7672397875185
21x51	142.10151301094564	289.9059157726866
21x53	31.886360720533666	381.7249533368236
21x55	85.22581768454907	498.2995484645756
22x42	56.743986465527456	369.0375048690848
22x44	55.939699677420734	286.0511317929013
22x46	176.0159651849801	204.27731151549833
22x48	301.40625408242624	164.80027305802594
22x50	185.0083511628594	207.94251609519412
22x52	61.21478579559027	303.28245910372067
22x54	37.388768366984586	416.27193035322506
22x56	167.10454811285084	546.0457215288844
23x41	93.72432981888922	387.84487878532013
23x43	10.807404868885222	282.3547414158295
23x45	115.59260356960604	203.7372081874095
23x47	238.90353701860545	122.22642922052465
23x49	236.75269797829122	125.20479224055268
23x51	113.42455642408284	218.8390504457557
23x53	0.3162277660166941	337.009347051384
23x55	115.87100586428014	457.34963649269486
24x40	141.40905204406081	423.68445805811626
24x42	15.805062480104008	305.13079162877
24x44	49.582759100316366	197.85613460289758
24x46	173.964191717721	123.77212933451528
24x48	294.39999999999964	50.06755436407896
24x50	167.0007485013166	135.57746862956247
24x52	38.301174916704305	259.23846165258755
24x54	68.83320419681192	384.18720697076833
24x56	187.50853313916167	494.0846587377514
25x41	93.85547400125354	346.58310691665264
25x43	32.73973121453516	224.811231925809
25x45	117.92595134235752	111.69749325745823
25x47	243.26358132692238	41.84698316485871
25x49	235.41038634690665	59.600755028774955
25x51	108.00675904775555	189.10066102475722
25x53	35.21150380202489	298.9806849948673
25x55	149.5717219263057	413.06524908299923
26x40	192.7162940698058	409.75135143157206
26x42	96.15258706867932	281.7355497625385
26x44	55.004454365078544	155.3057951269042
26x46	158.5598309787195	28.73360402037967
26x48	282.1024636546093	3.4058772731854408
26x50	202.0824831597236	93.82606247733091
26x52	108.6452023791203	200.8436705500078
26x54	123.52186041345098	323.11955991552105
26x56	218.78548854985806	441.3935772074625
27x39	191.804614125938	426.00329810929856
27x41	132.2824629344342	345.9685679364527
27x43	7.940403012441726	217.52068867121548
27x45	85.0338756026091	93.73025125326404
27x47	212.8033834317492	31.113983994339588
