	dist_type_ambigious	dist_type_parasite	dist_type_portal
11x37	600.4464006054161	272.4259165351194	787.1460347356139
11x39	608.115951114588	257.2718601013333	885.5865909102283
12x34	572.3181370531603	345.4623713228402	616.4823192922892
12x36	545.170404552558	252.67641362026617	701.5256018136474
12x38	546.6671747965117	202.0539531907256	799.2462699318654
12x40	566.3506422703164	221.5049660842843	902.5406639038487
13x33	535.6357064274188	310.82247344746474	529.8858461970844
13x35	498.92115609583027	259.0268711929323	617.4802992808758
13x37	485.59070213503884	168.47946462403053	712.8204051512556
13x39	496.5837895058596	145.99815067321904	817.6805366400744
13x41	535.8177395346293	212.9099574937724	926.1489351070917
14x20	745.7100777111704	318.35910541399613	289.25130941795226
14x22	718.9326115847018	242.46504902768956	323.0605206458999
14x32	498.77795660995264	285.2063288217845	444.3217865466425
14x34	460.6557282830638	237.06475908493857	528.5918084874188
14x36	429.6443645621339	166.689771731801	634.5629046832158
14x38	429.7748480309195	86.00476730972511	734.756299734817
14x40	456.5718563380797	127.70379790750182	844.6861310569747
14x42	519.4049672461749	235.56977734845364	957.4578424139623
15x21	672.5411883297556	229.0778252035756	245.23713014142035
15x23	655.9283649911779	167.44796206583092	309.7780172962568
15x25	668.1380845304359	185.82061241961281	304.31578992881697
15x27	650.9318397497543	264.9918111942329	281.10044468125614
15x31	477.1595225917639	286.0856689874556	361.1263075434964
15x33	421.81750793441455	201.59119524423662	444.3390709807098
15x35	384.80254676911886	179.26070400397296	542.5922962962156
15x37	368.62170310495827	85.06797282173818	651.2065417361838
15x39	388.82701809416466	48.8615390670412	767.6422669447013
15x41	433.1489928419551	155.8212116497625	873.8573396155691
15x43	511.8567182327493	267.5296245278268	936.0936384785446
15x45	583.2987570705085	313.5727028936034	1010.163174937594
16x20	634.9623295912916	248.03177215832648	174.86554835072565
16x22	602.6910983248383	140.32875685332633	226.98052779919257
16x24	603.7288132928556	111.860091185373	291.9532154301437
16x26	626.1406631101354	177.23072532718493	229.59035258477206
16x28	564.9937521778448	287.0141808343274	229.61955491638767
16x30	467.9655222342772	307.56776489092584	278.40820749396033
16x32	391.7911816261309	197.28236109698176	358.32601077789496
16x34	348.71846810858744	122.72640302722137	455.50957179844204
16x36	313.08212979983364	136.27479590885434	569.7143319243428
16x38	314.0930435396493	17.83928249678195	676.4673236749875
16x40	351.7690151221393	85.35713209802684	794.8503255330528
16x42	426.76092838965485	207.935302438042	854.0578961639545
16x44	515.3753292504405	233.93744890461633	927.2893453501987
16x46	548.592836263836	308.1592120966045	1005.6224440613884
17x19	586.8883454286683	289.13859998277627	119.67008815907164
