	dist_type_4	dist_type_central	dist_type_parasite	dist_type_portal
6x42	478.89273329212267	1200.2890693495463	524.6016107485755	479.43471922671614
7x41	391.0973791781274	1143.6214233740113	475.3455164404098	391.5009067677877
7x43	514.3367865513804	1150.351133350161	472.73452380802473	514.7717261077964
8x34	58.631390909648346	1172.1463389867324	202.41106689111638	59.01050753891204
8x36	85.46075122534334	1128.1471269298167	310.46278359893654	86.12746368029202
8x38	190.87653077316787	1100.1744634375038	418.7001910675468	191.4357594599298
8x40	313.55103252899704	1086.135926116064	430.88890679617157	314.01600277692876
8x42	435.0262980556464	1087.3787196740607	412.2327983069759	435.41782232701513
8x44	561.0815003188042	1102.8019994541178	428.6061712108214	561.4412257752366
9x33	66.4988721708871	1145.5472491346657	117.57933491902382	66.77200011981056
9x35	1.2041594578790407	1097.3931155242408	217.69347716456733	1.6278820596097752
9x37	110.64628326337967	1057.5995461421112	336.2585314902808	111.14135144040696
9x39	239.20443139707925	1033.9278311371638	400.1681646508126	239.68846447002824
9x41	365.5254437108314	1026.1252603849102	359.2818531459666	366.2041097530177
9x43	493.82403748703877	1037.2152042850123	359.7957476124475	494.5686807714377
9x45	617.8197957333515	1060.7808916076872	399.0580158322846	618.6133687530524
10x32	127.38685175480231	1125.1586599231239	42.56771076766991	127.96722236572917
10x34	11.88486432400463	1067.2557566019493	134.59513364159963	12.531959144523146
10x36	43.68672567268034	1017.6438129325994	257.0866196440416	44.24624277834253
10x38	167.9185814613739	988.2048623640748	381.52175560510324	168.68565439894425
10x40	295.9554189400833	972.1959730424726	324.28168310899076	296.82285963180163
10x42	427.0361577196949	973.306056695426	297.8296157201294	427.94658545196984
10x44	549.0757689062596	986.426378398307	315.45681162403196	549.9885453352645
10x46	678.3549881883382	1021.3839092133771	383.6236306590095	679.2973502082872
11x31	206.43178049903054	1113.4892365892	45.80043667914068	206.81557001347826
11x33	95.67282790845071	1043.7947547291085	60.004083194396024	96.3788877296269
11x35	40.6158835925061	988.4431445460077	187.40024012791454	41.05423242492797
11x37	121.49259236677788	948.1444246527001	312.30025616384006	122.25894650290446
11x39	244.89224160842664	918.8385113827129	301.3987558036694	245.4624411187993
11x41	369.5695063178239	910.1131907625555	246.29579777170366	369.9540782313395
11x43	494.2170575769316	922.1815981681698	245.46792051101082	494.77722259619037
11x45	620.4985092649298	949.4155044025771	300.88004254187416	621.1553750874253
11x47	746.05062830883	988.5728804696191	387.9076436472991	746.7598944774686
12x30	289.40001727712473	1102.0141423774924	124.29227650984608	289.8154067678254
12x32	184.69715753091586	1026.8650544253612	48.0815973112375	185.4034519635488
12x34	101.57834414874081	963.7349013084457	130.51421378531924	102.15360982363778
12x36	121.93067702592326	910.5749227823046	252.60500786801518	122.47893696468797
12x38	208.47066939979868	875.6442314090807	306.13529688684997	208.9880857848125
12x40	324.08895383829446	853.7517496321748	217.3238367045822	324.7088696047586
12x42	445.1886903325379	858.9245426694943	183.1528596555346	445.74944755994966
12x44	567.1914403444399	881.2908316781696	220.0989095838506	567.6204101333922
12x46	689.6023274322677	913.5983636149969	302.60431259319506	690.0347599940169
12x48	751.140286497802	967.7511715311949	416.44366966013564	751.6887188191665
13x31	269.63695963276234	1018.3854329280244	118.4258839950117	270.30628923500814
13x33	180.27015837348117	942.5944674142745	124.31946750207722	180.60545395972952
13x35	147.9252851949254	887.3668294454103	213.93571464344143	148.19544527413794
13x37	205.1638369693844	836.2557025216627	330.6000604960618	205.4716525460389
13x39	295.1554505680017	804.755329277166	219.07519257095254	295.54008188399774
13x41	404.6033366150115	796.5060326199671	138.81736202651294	405.4896546152568
13x43	519.8780241556667	805.6333905691843	131.84369533656118	520.4593740149178
13x45	624.6714496437306	839.1729380765325	218.38411114364527	625.3485588054073
13x47	671.8937118324594	885.0872047431259	327.2924685965139	672.3414013728443
13x49	724.1541410500945	947.3246645158143	452.5859255434268	724.5473207458572
14x30	351.2012101345892	1010.2134873381962	198.69446393898338	351.38254082979125
14x32	263.3210397974307	931.3861551472622	163.1961090222437	263.5286891402909
14x34	215.0508079501214	859.8473411018956	208.02031150827582	215.384423763651
14x36	228.8083258974638	800.2001312171849	308.8417879756559	229.19696769372845
14x38	292.4266916681858	762.6789429373277	243.62013463587078	292.59591589767655
14x40	383.29500388082295	742.757739777917	130.94067358922504	383.6673819860115
14x42	485.2662877225247	743.438208595711	68.2097500361934	486.0590190501562
14x44	553.6223261393998	766.8980897094476	133.68500289860503	554.2467681457421
14x46	591.2903263203281	805.3882604061224	246.43914056009854	591.7949391469988
14x48	642.1591780859321	862.9144859138707	369.60439661887136	642.6244704335494
15x29	334.1653632559782	1018.3300496400957	280.19437895860807	334.51530607731524
15x31	312.5519796769811	927.1789147731951	223.99272309608625	312.5948496056837
15x33	289.98931014780527	840.5884843370147	237.80033641691946	290.61486541469276
15x35	271.1048874513331	777.4194877927872	293.5286357410468	271.24575572716344
15x37	307.2377743702752	724.2541335746726	295.5517721144638	307.68953508366207
15x39	373.9142281326027	696.3026999804035	169.9724977753753	374.03001216479953
15x41	467.0386065412583	682.512314907211	48.44233685527536	467.35367763611345
15x43	484.06182456376376	694.6703174888071	48.36165836693391	484.82785604789666
15x45	516.6171599937423	731.3146313318227	169.8961153175669	517.2116491340851
15x47	565.3462744194925	783.2114720814553	297.82412595355703	565.8871000473506
15x49	621.2723879265842	847.534648259291	418.4721974038421	621.5813542892033
16x30	258.64670885205544	932.4998230562833	301.8312773719782	258.863516162475
16x32	258.98328131367856	840.2589719842329	280.7752481968452	259.50402694370655
16x34	316.68792209366	761.3451516887724	309.11234203764826	317.2945634579957
16x36	336.12866584092495	696.8788129940525	356.73418675534845	336.56244591457346
16x38	385.8991059849714	650.1066989348747	242.31450637549503	386.39917184176284
