	dist_type_central	dist_type_parasite	dist_type_portal
10x44	308.33600179025484	55.000818175732576	174.9225257078114
10x46	300.14333242635917	104.27665126959154	57.941522244414536
10x48	321.8590530030188	224.36231858313496	76.29711659034065
11x43	238.8589541968229	67.20119046564558	227.24656213021115
11x45	251.87814514165356	22.144976857066478	101.80176815753224
11x47	249.1218577323154	147.5943765866438	0.31622776601676605
11x49	301.02760670742475	276.08480581154777	74.2726059863258
11x51	390.10912575842167	253.43032573076144	188.6121151994221
12x42	182.14271876745428	141.2110831344336	298.153601353396
12x44	197.49091118327433	36.09238146756194	175.48065420438806
12x46	183.3504295059054	90.60783630569736	57.394947512825276
12x48	215.90785071414138	214.93115176725792	0.4472135954999579
12x50	303.3368095038914	260.63004431569243	117.10004269854083
12x52	410.7293634499486	167.8833225785098	229.36523276207308
13x15	1650.6536402286217	461.6873834100299	1183.3502609117893
13x17	1522.9833879593039	391.85966875911066	1090.8369264010087
13x19	1392.420697921429	352.8469923352045	1003.8216973148167
13x41	130.80003822629405	223.3397635890214	329.6253175955997
13x43	125.78688325894697	118.24017929621061	250.4011581442866
13x45	142.12628187636503	89.62075652436782	130.43266462048516
13x47	140.35558414256252	173.19898960444323	36.195165423023184
13x49	217.72976369803004	292.8604616536688	74.10971596221376
13x51	324.8613858247853	175.23618347818456	189.3814140827976
13x53	445.552477268391	87.88520922203004	159.91688466200182
13x55	567.506695995739	106.9628440160414	182.41943427168056
14x16	1575.329616302569	372.8034334605837	1092.3304445084368
14x18	1447.5199756825464	316.61219180568514	1004.3824371224339
14x20	1322.4966729636787	294.84987705610445	919.5304508280298
14x38	195.65645913181584	407.01603162529113	253.41043782764737
14x40	93.99430833832415	306.45086066121587	253.5715480885029
14x42	68.65777450514977	204.19669439048226	314.14756086909216
14x44	101.9482711967201	147.88593577483982	210.93091286011162
14x46	67.7213408018475	171.54410511585667	116.38290252438291
14x48	133.47194461758613	263.3179826749401	93.60961489077937
14x50	248.91309728497626	216.24923121250606	159.22289408247823
14x52	367.66513296748735	92.84314729693273	122.09524970284448
14x54	494.20097126573955	23.086792761230466	103.13874150870764
15x15	1637.2477454557693	376.7372824661768	1106.740882049633
15x17	1510.1798634599786	292.4743065638415	1009.832273201842
15x19	1379.2850793073924	239.99485411149942	914.9154769704137
15x21	1254.4093829368464	249.4956913455621	834.1520844546274
15x23	1125.952796523904	309.39957983164754	747.7000066871738
15x37	235.71781858824332	326.9539570031228	220.805547937546
15x39	115.47640451624709	385.47736639133547	194.4988431842204
15x41	13.900359707575781	292.0363333559712	227.72268222555266
15x43	15.990622251807393	220.23646382922166	295.90488336626015
15x45	58.14206738670365	203.6204803058868	202.54308183692672
15x47	50.35007447859449	258.1405237462729	146.13462970836176
15x49	167.92391134082123	281.18613052567156	168.982957720594
15x51	292.76722835727395	156.04758889518254	131.94335905986284
15x53	422.5539965495537	31.216662217475882	43.17267654431435
15x55	551.374147018157	66.85544106503245	98.39944105532317
16x14	1645.3080593007498	395.79667760101256	1123.7740030806906
16x16	1570.8999999999999	286.99060960247454	1017.3252233184822
16x18	1448.3	210.14254685807916	925.107285670154
16x20	1315.4000152045003	176.58142597679955	828.6129373839149
16x22	1188.1000042084	224.91513955267658	744.861879813969
16x38	170.7004686578216	307.5016260119611	143.63930520578253
16x40	37.701193615056624	376.18104683782246	146.1717482963106
16x42	10.607544484941018	300.4844754725275	231.35885546051637
16x44	30.239378300487967	259.91079238846555	285.46176626651754
16x46	9.100000000000083	277.35971228713095	221.3052416911991
16x48	102.53818800817596	333.9782627657073	205.43534262633605
16x50	229.38177782901596	232.25675447659208	179.6401959473435
16x52	360.5057835874485	113.58001584785923	48.54709054104029
16x54	486.72559004021974	60.6976111556297	20.400980368600024
17x13	1627.6425436808904	435.0294817595698	1151.0814263117966
