dist_parasite_px	dist_parasite_um
13x35_1	537.226395479597	1504.23390734287
13x37_1	574.970486199074	1609.91736135741
13x39_1	614.150600423056	1719.62168118456
13x41_1	511.57892841672	1432.42099956682
13x43_1	398.466686185934	1115.70672132062
13x45_1	297.342849249818	832.55997789949
13x47_1	224.298461876135	628.035693253178
13x49_1	209.968235692926	587.911059940192
13x51_1	262.22406449447	734.227380584516
14x18_1	70.7519611035624	198.105491089975
14x20_1	170.830559327071	478.3255661158
14x22_1	292.45370573819	818.870376066933
14x24_1	417.95173166288	1170.26484865606
14x26_1	522.647653778337	1463.41343057934
14x28_1	481.197527009439	1347.35307562643
14x30_1	472.586129716055	1323.24116320495
14x32_1	494.48642044044	1384.56197723323
14x34_1	544.52695066452	1524.67546186066
14x36_1	618.4670807731	1731.70782616468
14x38_1	591.456887693431	1656.07928554161
14x40_1	580.783539711655	1626.19391119263
14x42_1	487.393578127574	1364.70201875721
14x44_1	386.138330135717	1081.18732438001
14x46_1	305.957725838064	856.681632346579
14x48_1	264.821298237132	741.49963506397
14x50_1	279.953174656049	783.868889036936
14x52_1	341.554475889279	956.352532489982
15x17_1	20.5800874633708	57.6242448974383
15x19_1	93.0059137904683	260.416558613311
15x21_1	221.053703882111	618.950370869911
15x23_1	349.106301862341	977.497645214555
15x25_1	476.58007721683	1334.42421620713
15x27_1	552.709553020391	1547.58674845709
15x29_1	528.747520088747	1480.49305624849
15x31_1	535.684842048009	1499.91755773442
15x33_1	570.140517767331	1596.39344974853
15x35_1	605.696301788281	1695.94964500719
15x37_1	552.450721784305	1546.86202099605
15x39_1	524.005381651754	1467.21506862491
15x41_1	529.011795709699	1481.23302798716
15x43_1	471.403436559387	1319.92962236628
15x45_1	386.697297637312	1082.75243338447
15x47_1	332.977131346884	932.335967771275
15x49_1	322.4069012909	902.73932361452
15x51_1	355.963734107844	996.698455501964
16x16_1	86.8868804826136	243.283265351318
16x18_1	47.2704981991941	132.357394957743
16x20_1	161.213957212147	451.399080194012
16x22_1	287.574407762582	805.208341735231
16x24_1	414.792056336666	1161.41775774267
16x26_1	540.792936344402	1514.22022176432
16x28_1	593.345944622528	1661.36864494308
16x30_1	587.210711755159	1644.18999291444
16x32_1	604.908141786834	1693.74279700313
16x34_1	592.078136735347	1657.81878285897
16x36_1	524.672088070254	1469.08184659671
16x38_1	480.038435961122	1344.10762069114
16x40_1	465.584331781043	1303.63612898692
16x42_1	487.067644172758	1363.78940368372
16x44_1	471.961576825911	1321.49241511255
16x46_1	408.569259734503	1143.99392725661
16x48_1	379.106014196557	1061.49683975036
16x50_1	390.036318821722	1092.10169270082
17x17_1	90.4129415515279	253.156236344278
17x19_1	132.23169060403	370.248733691285
17x21_1	242.891848360541	680.097175409515
17x23_1	362.856404104985	1015.99793149396
17x25_1	487.446827869461	1364.85111803449
17x27_1	611.680055257649	1712.70415472142
17x29_1	644.052202853154	1803.34616798883
17x31_1	650.184043175469	1820.51532089131
17x33_1	590.041235847123	1652.11546037194
17x35_1	506.936287910029	1419.42160614808
17x37_1	444.908046679311	1245.74253070207
17x39_1	410.3419305896	1148.95740565088
17x41_1	415.192533651558	1162.53909422436
17x43_1	458.349844551081	1283.37956474303
17x45_1	487.597231329301	1365.27224772204
17x47_1	444.439152190713	1244.429626134
17x49_1	437.462284088583	1224.89439544803
17x51_1	463.082282105459	1296.63038989529
18x18_1	147.48864363062	412.968202165736
18x20_1	220.655840620637	617.836353737784
18x22_1	328.400274055915	919.520767356562
18x24_1	446.084588391036	1249.0368474949
18x26_1	567.132832764953	1587.97193174187
18x28_1	670.38923768211	1877.08986550991
18x30_1	695.997083327222	1948.79183331622
18x32_1	601.100532357109	1683.0814905999
18x34_1	505.811872142203	1416.27324199817
18x36_1	425.868383423799	1192.43147358664
18x38_1	371.177262234636	1039.29633425698
18x40_1	356.842262071072	999.158333799003
18x42_1	386.249919093843	1081.49977346276
18x44_1	450.870114334495	1262.43632013658
18x46_1	508.717220074178	1424.4082162077
18x48_1	488.091559033754	1366.65636529451
18x50_1	496.428776361726	1390.00057381283
19x17_1	198.950245036291	557.060686101614
19x19_1	227.09929546346	635.878027297689
19x21_1	308.699481697006	864.358548751617
19x23_1	390.695789585708	1093.94821083998
19x25_1	482.070088265182	1349.79624714251
19x27_1	585.787538276464	1640.2051071741
19x29_1	698.514888889278	1955.84168888998
19x31_1	621.489597660331	1740.17087344893
19x33_1	513.072558221544	1436.60316302032
19x35_1	418.970356946646	1173.11699945061
19x37_1	343.268713983666	961.152399154265
19x39_1	300.726536906871	842.03430333924
19x41_1	311.012298792186	870.83443661812
19x43_1	366.934599077274	1027.41687741637
19x45_1	450.587227959249	1261.6442382859
19x47_1	550.153769413607	1540.4305543581
19x49_1	545.785168358394	1528.1984714035
20x16_1	267.336043211536	748.5409209923
20x18_1	251.873341185605	705.245355319693
20x20_1	249.983079427388	699.952622396688
20x22_1	305.548506787384	855.535819004675
20x24_1	395.292005990508	1106.81761677342
20x26_1	501.350426348677	1403.78119377629
20x28_1	615.875604322821	1724.4516921039
20x30_1	654.596135032892	1832.8691780921
20x32_1	539.051509598109	1509.3442268747
20x34_1	429.941216912265	1203.83540735434
20x36_1	334.782392010093	937.390697628261
20x38_1	262.715530564906	735.603485581736
20x40_1	241.497411994414	676.192753584361
20x42_1	282.557410095718	791.160748268011
20x44_1	364.952654463562	1021.86743249797
20x46_1	465.82923909948	1304.32186947854
20x48_1	577.881164254382	1618.06725991227
20x50_1	611.221670100137	1711.42067628038
21x15_1	310.215489619716	868.603370935204
21x17_1	224.192439658433	627.738831043611
21x19_1	186.600428724052	522.481200427345
21x21_1	221.320627145325	619.69775600691
21x23_1	308.154798761921	862.833436533379
21x25_1	418.19862505752	1170.95615016106
21x27_1	534.006385729609	1495.2178800429
21x29_1	655.518428421353	1835.45159957979
21x31_1	574.48301106299	1608.55243097637
21x33_1	455.931069351497	1276.60699418419
21x35_1	345.369092421427	967.033458779995
21x37_1	248.30340311804	695.249528730512
21x39_1	187.87775280751	526.057707861028
21x41_1	202.138665277081	565.988262775828
21x43_1	278.035753096612	778.500108670513
21x45_1	381.384858115788	1067.87760272421
21x47_1	496.465144798706	1390.10240543638
21x49_1	614.776138118584	1721.37318673204
22x16_1	223.052392948383	624.546700255473
22x18_1	138.6110024493	388.110806858041
22x20_1	139.485949113163	390.560657516857
22x22_1	222.962171679413	624.294080702356
22x24_1	335.565805766917	939.584256147367
22x26_1	457.453746295732	1280.87048962805
22x28_1	580.230643796069	1624.64580262899
22x30_1	616.037742350256	1724.90567858072
22x32_1	492.547551003961	1379.13314281109
22x34_1	373.763949572454	1046.53905880287
22x36_1	257.423697432851	720.786352811983
22x38_1	157.041650526222	439.71662147342
22x40_1	124.533770520289	348.694557456809
22x42_1	191.261339533111	535.531750692711
22x44_1	298.830001840512	836.724005153432
22x46_1	417.271194788234	1168.35934540705
22x48_1	540.037406111836	1512.10473711314
23x15_1	253.652123980857	710.225947146399
23x17_1	140.90567767127	394.535897479557
23x19_1	67.5006666633745	189.001866657449
23x21_1	138.335389542951	387.339090720263
23x23_1	256.108824525825	717.104708672311
23x25_1	380.992663971368	1066.77945911983
23x27_1	507.533191032862	1421.09293489201
23x29_1	633.512628129858	1773.8353587636
23x31_1	543.889198274796	1522.88975516943
23x33_1	421.9397587334	1181.43132445352
23x35_1	293.781976982932	822.589535552209
23x37_1	173.049154866471	484.53763362612
23x39_1	73.7034598916493	206.369687696618
23x41_1	105.600804921175	295.68225377929
23x43_1	218.380516530207	611.46544628458
23x45_1	340.673758895516	953.886524907444
23x47_1	466.830761625667	1307.12613255187
24x16_1	180.423113818601	505.184718692084
24x18_1	55.7660290858152	156.144881440283
24x20_1	56.4145371336149	157.960703974122
24x22_1	182.456597578712	510.878473220393
24x24_1	310.867769316795	870.429754087026
24x26_1	437.627204364628	1225.35617222096
24x28_1	566.363310958611	1585.81727068411
24x30_1	603.314859754009	1689.28160731123
24x32_1	475.200610268968	1330.56170875311
24x34_1	348.739358260578	976.470203129619
24x36_1	221.883302661557	621.273247452358
24x38_1	93.4454386259703	261.647228152717
24x40_1	19.4905105115285	54.5734294322799
24x42_1	142.648729401983	399.416442325552
24x44_1	269.989647949695	755.971014259146
24x46_1	397.536136722186	1113.10118282212
24x48_1	524.073907001675	1467.40693960469
25x15_1	244.44805174106	684.454544874968
25x17_1	120.685086071146	337.91824099921
25x19_1	28.7569122125446	80.5193541951248
25x21_1	126.479247309589	354.141892466848
25x23_1	250.141100181478	700.395080508137
25x25_1	376.671010299439	1054.67882883843
25x27_1	503.081484453563	1408.62815646998
25x29_1	630.819823721481	1766.29550642015
25x31_1	539.595561508803	1510.86757222465
25x33_1	413.168161890531	1156.87085329349
25x35_1	286.425138561544	801.990387972324
25x37_1	159.62863151703	446.960168247685
25x39_1	44.6722508947108	125.08230250519
25x41_1	90.2033813113457	252.569467671768
25x43_1	211.114802891697	591.121448096751
25x45_1	335.195465363122	938.547303016742
25x47_1	463.294118244556	1297.22353108476
26x16_1	204.961289027953	573.891609278268
26x18_1	105.725871951949	296.032441465458
26x20_1	106.862996401935	299.216389925419
26x22_1	205.585140513608	575.638393438103
26x24_1	323.564274913038	905.979969756506
26x26_1	445.049491629863	1246.13857656362
26x28_1	570.567200249016	1597.58816069724
26x30_1	614.387117377961	1720.28392865829
26x32_1	488.725035168038	1368.43009847051
26x34_1	364.821408363051	1021.49994341654
26x36_1	243.233961444532	681.055092044689
26x38_1	134.355052007731	376.194145621646
26x40_1	92.7597434235347	259.727281585897
26x42_1	171.212178305166	479.394099254466
26x44_1	285.044031686335	798.123288721737
26x46_1	406.437129209427	1138.02396178639
26x48_1	529.9059727914	1483.73672381592
27x17_1	191.351117059713	535.783127767196
27x19_1	144.201248260894	403.763495130504
27x21_1	191.942699783034	537.439559392496
27x23_1	289.898827179415	811.716716102361
27x25_1	402.926941268513	1128.19543555184
27x27_1	521.991427132668	1461.57599597147
27x29_1	646.213246537085	1809.39709030384
27x31_1	564.894583086083	1581.70483264103
27x33_1	442.182598029366	1238.11127448222
27x35_1	325.403902865346	911.13092802297
27x37_1	219.984658556	615.957043956801
27x39_1	151.925014398551	425.390040315943
27x41_1	170.74381394358	478.082679042025
27x43_1	255.679037075784	715.901303812195
27x45_1	366.379980348272	1025.86394497516
27x47_1	484.808467335297	1357.46370853883
28x16_1	276.6706345097	774.67777662716
28x18_1	211.896201004171	593.309362811679
28x20_1	212.44408676167	594.843442932676
28x22_1	276.394446398621	773.904449916138
28x24_1	374.034543859254	1047.29672280591
28x26_1	483.619612919079	1354.13491617342
28x28_1	601.462301395524	1684.09444390747
28x30_1	567.555750565528	1589.15610158348
28x32_1	504.08572683622	1411.44003514142
28x34_1	409.43396292931	1146.41509620207
28x36_1	307.340023426823	860.552065595103
28x38_1	228.035479695595	638.499343147665
28x40_1	205.84484448244	576.365564550833
28x42_1	251.852357543065	705.186601120583
28x44_1	340.621197226479	953.739352234142
28x46_1	448.123576706248	1254.74601477749
28x48_1	562.839168857321	1575.9496728005
29x17_1	288.62440991711	808.148347767909
29x19_1	260.100173010323	728.280484428904
29x21_1	290.080850798532	812.226382235889
29x23_1	362.420874122891	1014.77844754409
29x25_1	458.198919684453	1282.95697511647
29x27_1	566.753359054889	1586.90940535369
29x29_1	563.190500630115	1576.93340176432
29x31_1	483.389739237398	1353.49126986471
29x33_1	427.888127902609	1198.08675812731
29x35_1	391.398134895914	1095.91477770856
29x37_1	308.989384930939	865.170277806629
29x39_1	264.599697656668	740.87915343867
29x41_1	274.862893093993	769.616100663182
29x43_1	335.851767897684	940.384950113516
29x45_1	426.093064951778	1193.06058186498
29x47_1	532.879911424704	1492.06375198917
30x16_1	366.944573471253	1027.44480571951
30x18_1	321.827189653081	901.116131028627
30x20_1	322.679794843123	903.503425560745
30x22_1	370.559860211545	1037.56760859233
30x24_1	448.620730684617	1256.13804591693
30x26_1	543.909450184495	1522.94646051659
30x28_1	570.537124120771	1597.50394753816
30x30_1	475.729355831653	1332.04219632863
30x32_1	400.462857204011	1121.29600017123
30x34_1	356.635051558312	998.578144363274
30x36_1	352.65124414923	987.423483617845
30x38_1	335.714938601189	940.001828083328
30x40_1	320.335839393596	896.94035030207
30x42_1	352.499432623657	986.998411346239
30x44_1	421.203727428901	1179.37043680092
30x46_1	512.0711278719	1433.79915804132
30x48_1	616.856612187954	1727.19851412627
31x17_1	393.452055529006	1101.66575548122
31x19_1	372.900120675765	1044.12033789214
31x21_1	396.111751908474	1109.11290534373
31x23_1	453.772564177254	1270.56317969631
31x25_1	534.431380066702	1496.40786418677
31x27_1	591.465713291988	1656.10399721757
31x29_1	484.952059486296	1357.86576656163
31x31_1	389.809825427733	1091.46751119765
31x33_1	319.290619968705	894.013735912374
31x35_1	290.430335881085	813.204940467038
31x37_1	311.385693312972	871.87994127632
31x39_1	376.571480598305	1054.40014567526
31x41_1	386.473246163302	1082.12508925724
31x43_1	431.544968688085	1208.32591232664
31x45_1	507.164864713635	1420.06162119818
31x47_1	598.732269048529	1676.45035333588
32x16_1	470.865925715591	1318.42459200365
32x18_1	434.135577901651	1215.57961812462
32x20_1	436.625755080939	1222.55211422663
32x22_1	473.100856055028	1324.68239695408
32x24_1	504.667583662751	1413.0692342557
32x26_1	549.216578409647	1537.80641954701
32x28_1	509.03583370918	1425.3003343857
32x30_1	399.224247760579	1117.82789372962
32x32_1	304.638441435088	852.987636018248
32x34_1	244.664770655687	685.061357835923
32x36_1	238.730685082584	668.445918231236
32x38_1	289.182658539547	809.711443910731
32x40_1	379.596061623405	1062.86897254553
32x42_1	459.016611899831	1285.24651331953
32x44_1	515.312177228523	1442.87409623986
32x46_1	592.042447802521	1657.71885384706
33x17_1	505.194081517193	1414.54342824814
33x19_1	480.822503633097	1346.30301017267
33x21_1	440.295094226588	1232.82626383445
33x23_1	436.981487022048	1223.54816366173
33x25_1	469.586679964413	1314.84270390036
33x27_1	529.36324957443	1482.2170988084
33x29_1	425.403808163491	1191.13066285777
33x31_1	313.578905540535	878.020935513498
33x33_1	219.540178555088	614.712499954246
33x35_1	176.110107603169	493.108301288874
33x37_1	207.599157031044	581.277639686922
33x39_1	295.978174871054	828.73888963895
33x41_1	402.942489693008	1128.23897114042
33x43_1	522.677051342414	1463.49574375876
33x45_1	597.476802896983	1672.93504811155
33x47_1	678.361150125802	1899.41122035224
34x18_1	463.932796857476	1299.01183120093
34x20_1	404.924153391718	1133.78762949681
34x22_1	379.792798773226	1063.41983656503
34x24_1	395.518520426035	1107.4518571929
34x26_1	448.280191398192	1255.18453591494
34x28_1	468.51271060666	1311.83558969865
34x30_1	346.705927264014	970.77659633924
34x32_1	230.501561816834	645.404373087136
34x34_1	140.983119556917	394.752734759367
34x36_1	130.000038461533	364.000107692292
34x38_1	208.163013045065	582.856436526183
34x40_1	320.108544090907	896.303923454539
34x42_1	440.80600041288	1234.25680115606
34x44_1	564.070066569748	1579.39618639529
34x46_1	677.280333392311	1896.38493349847
35x19_1	381.198386670248	1067.35548267669
35x21_1	329.382346217887	922.270569410083
35x23_1	325.350349623294	910.980978945224
35x25_1	366.561932011495	1026.37340963219
35x27_1	439.56506913084	1230.78219356635
35x29_1	392.362702101002	1098.61556588281
35x31_1	266.311284026794	745.671595275024
35x33_1	147.33499244918	412.537978857704
35x35_1	64.7297458669504	181.243288427461
35x37_1	123.836868500459	346.743231801286
35x39_1	240.862055957347	674.413756680571
35x41_1	365.260249685071	1022.7286991182
35x43_1	490.845882125948	1374.36846995265
35x45_1	617.941785284019	1730.23699879525
35x47_1	745.08206930512	2086.22979405434
36x20_1	298.892171192221	836.898079338218
36x22_1	264.781211569099	741.387392393477
36x24_1	286.894980785652	803.305946199827
36x26_1	354.236601722634	991.862484823374
36x28_1	449.002505560938	1257.20701557063
36x30_1	323.376498836882	905.45419674327
36x32_1	194.105538303264	543.49550724914
36x34_1	68.6947596254616	192.345326951292
36x36_1	40.3117848773779	112.872997656658
36x38_1	166.618666421263	466.532265979536
36x40_1	295.346457571443	826.97008120004
36x42_1	422.543204891524	1183.12097369627
36x44_1	549.324612592591	1538.10891525926
36x46_1	677.608043045535	1897.3025205275
37x19_1	290.326660849464	812.9146503785
37x21_1	220.022839723516	616.063951225844
37x23_1	212.897956777419	596.114278976774
37x25_1	269.777167306649	755.376068458618
37x27_1	362.684504769641	1015.516613355
37x29_1	387.262004332984	1084.33361213235
37x31_1	260.352779896816	728.987783711086
37x33_1	135.496273011474	379.389564432128
37x35_1	33.1354794744244	92.7793425283882
37x37_1	112.441495898979	314.83618851714
37x39_1	236.542110415884	662.317909164475
37x41_1	361.798231062564	1013.03504697518
37x43_1	489.510050969334	1370.62814271414
37x45_1	615.8655453912	1724.42352709536
37x47_1	743.349561108366	2081.37877110342
38x18_1	303.775525676444	850.571471894043
38x20_1	203.915472684149	570.963323515617
38x22_1	150.188814496952	420.528680591466
38x24_1	185.05083085466	518.142326393047
38x26_1	278.459566185111	779.68678531831
38x28_1	391.070134374897	1094.99637624971
38x30_1	335.17222438621	938.482228281388
38x32_1	215.423350637761	603.185381785732
38x34_1	115.822363988998	324.302619169195
38x36_1	103.218070123405	289.010596345533
38x38_1	196.698474828861	550.755729520811
38x40_1	313.722058516771	878.421763846958
38x42_1	435.545967723271	1219.52870962516
38x44_1	560.261831646598	1568.73312861047
38x46_1	686.021253315085	1920.85950928224
39x19_1	220.342506112642	616.959017115399
39x21_1	117.747399122018	329.692717541652
39x23_1	103.307308550751	289.260463942102
39x25_1	193.804282718417	542.651991611567
39x27_1	310.729753966369	870.043311105833
39x29_1	414.659088891103	1161.04544889509
39x31_1	299.044160618461	837.323649731691
39x33_1	200.575297581731	561.610833228847
39x35_1	148.589400698704	416.050321956371
39x37_1	186.523483776172	522.265754573282
39x39_1	281.792778473828	789.019779726719
39x41_1	395.002025311264	1106.00567087154
39x43_1	513.396386820165	1437.50988309646
39x45_1	635.861879656266	1780.41326303755
40x18_1	264.271413512699	739.959957835557
40x20_1	137.697785022127	385.553798061956
40x22_1	36.1765117168582	101.294232807203
40x24_1	109.75158313209	307.304432769851
40x26_1	235.009318964164	658.026093099659
40x28_1	360.338563020946	1008.94797645865
40x30_1	385.026232872515	1078.07345204304
40x32_1	287.036739808687	803.702871464325
40x34_1	218.088422434571	610.647582816799
40x36_1	211.729686156666	592.843121238664
40x38_1	271.286195741693	759.60134807674
40x40_1	366.218199984654	1025.41095995703
40x42_1	476.422102761827	1333.98188773311
41x19_1	195.680377145998	547.905056008794
41x21_1	66.8521503019909	187.186020845575
41x23_1	43.5690256948673	121.993271945628
41x25_1	167.643908329531	469.402943322686
41x27_1	295.045081301146	826.126227643209
41x29_1	422.825980753312	1183.91274610927
41x31_1	371.895859078856	1041.3084054208
41x33_1	296.909969519381	831.347914654268
41x35_1	263.830589583543	738.725650833922
41x37_1	286.891425455694	803.295991275944
41x39_1	357.250752273526	1000.30210636587
41x41_1	452.444781161194	1266.84538725134
41x43_1	559.684813086795	1567.11747664302
42x18_1	264.630780522599	740.966185463277
42x20_1	145.838335152319	408.347338426492
42x22_1	63.1064180571201	176.697970559936
42x24_1	129.11096003051	361.510688085429
42x26_1	244.243587428616	683.882044800126
42x28_1	368.21256089384	1030.99517050275
42x30_1	456.655165305288	1278.63446285481
42x32_1	377.975567993488	1058.33159038177
42x34_1	328.717888165521	920.410086863459
42x36_1	325.161190796196	910.451334229349
42x38_1	368.974579070158	1033.12882139644
42x40_1	445.534218663393	1247.4958122575
42x42_1	539.102634013228	1509.48737523704
42x44_1	645.681074525187	1807.90700867052
43x21_1	139.305204497176	390.054572592093
43x23_1	132.134212072423	369.975793802785
43x25_1	214.412336398818	600.354541916692
43x27_1	325.012307459271	910.03446088596
43x29_1	445.050300527929	1246.1408414782
43x31_1	460.627018313082	1289.75565127663
43x33_1	402.404970148233	1126.73391641505
43x35_1	378.539958260683	1059.91188312991
43x37_1	396.503972237354	1110.21112226459
43x39_1	451.896558960123	1265.31036508835
43x41_1	531.096243631981	1487.06948216955
43x43_1	624.912641894849	1749.75539730558
43x45_1	728.908457901265	2040.94368212354
44x18_1	314.052941396829	879.348235911121
44x20_1	221.380057819127	619.864161893556
44x22_1	178.472883094323	499.724072664106
44x24_1	212.319782403807	594.49539073066
44x26_1	298.57751087448	836.017030448544
44x28_1	407.415512713986	1140.76343559916
44x30_1	525.091687231859	1470.25672424921
44x32_1	479.835180035812	1343.53850410027
44x34_1	442.112791038667	1237.91581490827
44x36_1	439.206249955531	1229.77749987549
44x38_1	472.702073191984	1323.56580493756
44x40_1	534.956241201092	1497.87747536306
44x42_1	615.412195199283	1723.15414655799
44x44_1	710.265598209572	1988.7436749868
45x21_1	245.01220377769	686.034170577531
45x23_1	241.733758503028	676.854523808477
45x25_1	294.622283610728	824.942394110037
45x27_1	384.235266470948	1075.85874611865
45x29_1	490.762875531555	1374.13605148835
45x31_1	559.142602562173	1565.59928717408
45x33_1	512.864943235546	1436.02184105953
45x35_1	494.337637652647	1384.14538542741
45x37_1	507.350539568059	1420.58151079056
45x39_1	553.036789011364	1548.50300923182
45x41_1	618.463984400062	1731.69915632017
45x43_1	701.44994119324	1964.05983534107
45x45_1	795.669391141824	2227.87429519711
46x20_1	322.055305809421	901.75485626638
46x22_1	292.625989959881	819.352771887666
46x24_1	316.08002151354	885.024060237913
46x26_1	379.450128475404	1062.46035973113
46x28_1	471.372739983975	1319.84367195513
46x30_1	576.209215476462	1613.38580333409
46x32_1	586.695321269908	1642.74689955574
46x34_1	555.105440434518	1554.29523321665
46x36_1	553.405430042026	1549.53520411767
