dist_roi_px	dist_roi_um
13x51_1	395.780065187725	1365.44122489765
14x18_1	315.538967482623	1088.60943781505
14x20_1	234.1057026217	807.664674044866
14x22_1	201.605481076284	695.53890971318
14x24_1	237.674251865868	819.976168937244
14x26_1	308.795352944308	1065.34396765786
14x28_1	389.19951181881	1342.73831577489
14x30_1	473.321930613826	1632.9606606177
14x32_1	573.881189794543	1979.89010479117
14x34_1	647.102155768314	2232.50243740068
14x36_1	526.282177163544	1815.67351121423
14x38_1	410.232190350782	1415.3010567102
14x40_1	301.161285692567	1039.00643563936
14x42_1	209.915459173449	724.208334148399
14x44_1	154.47462574805	532.937458830772
14x46_1	185.826074596651	641.099957358446
14x48_1	273.72307173492	944.344597485474
14x50_1	367.040297515137	1266.28902642722
14x52_1	472.396295497753	1629.76721946725
15x17_1	333.816626308517	1151.66736076438
15x19_1	230.270493116248	794.433201251055
15x21_1	153.94914744811	531.12455869598
15x23_1	161.847489940376	558.373840294296
15x25_1	223.483713053099	771.018810033192
15x27_1	305.866065460031	1055.23792583711
15x29_1	389.240208611598	1342.87871971001
15x31_1	488.957718008418	1686.90412712904
15x33_1	600.295768767364	2071.0204022474
15x35_1	607.505069937692	2095.89249128504
15x37_1	493.050301693448	1701.02354084239
15x39_1	387.861882633496	1338.12349508556
15x41_1	294.093658551149	1014.62312200147
15x43_1	226.617739817518	781.831202370435
15x45_1	213.692302154289	737.238442432298
15x47_1	269.385541557078	929.380118371919
15x49_1	359.422049963549	1240.00607237424
15x51_1	451.150728692751	1556.47001398999
16x16_1	368.060497744596	1269.80871721886
16x18_1	251.378797833071	867.256852524095
16x20_1	144.198266286388	497.484018688038
16x22_1	87.2653424905901	301.065431592536
16x24_1	137.47890747311	474.30223078223
16x26_1	223.651514638287	771.597725502091
16x28_1	302.639405894209	1044.10595033502
16x30_1	404.024776467978	1393.88547881453
16x32_1	516.922682806626	1783.38325568286
16x34_1	636.054966178238	2194.38963331492
16x36_1	577.539955327768	1992.5128458808
16x38_1	472.787584439355	1631.11716631577
16x40_1	380.504099846506	1312.73914447045
16x42_1	306.052430148823	1055.88088401344
16x44_1	269.13626660114	928.520119773934
16x46_1	287.298172636026	991.178695594291
16x48_1	355.562329275755	1226.69003600135
16x50_1	444.570050723168	1533.76667499493
17x17_1	293.026449318146	1010.9412501476
17x19_1	171.019355629706	590.016776922487
17x21_1	55.6529424199654	192.002651348881
17x23_1	54.3908999741684	187.648604910881
17x25_1	145.362340377417	501.500074302088
17x27_1	216.885430584906	748.254735517926
17x29_1	320.607922547151	1106.09733278767
17x31_1	436.411147886944	1505.61846020996
17x33_1	557.815973238487	1924.46510767278
17x35_1	661.540172627483	2282.31359556482
17x37_1	557.602878400031	1923.72993048011
17x39_1	464.674186931015	1603.125944912
17x41_1	388.102099968552	1338.9522448915
17x43_1	336.281102650744	1160.16980414507
17x45_1	328.285028595579	1132.58334865475
17x47_1	365.929446751693	1262.45659129334
17x49_1	441.443371226707	1522.97963073214
17x51_1	530.866461551302	1831.48929235199
18x18_1	215.53677180472	743.601862726284
18x20_1	88.5990970608616	305.666884859972
18x22_1	0.583095189484624	2.01167840372195
18x24_1	77.111996472663	266.036387830687
18x26_1	140.078727864012	483.271611130842
18x28_1	246.130311014308	849.149572999363
18x30_1	365.711826442624	1261.70580122705
18x32_1	487.475999409202	1681.79219796175
18x34_1	612.851572568758	2114.33792536222
18x36_1	635.66790071546	2193.05425746834
18x38_1	542.022287364643	1869.97689140802
18x40_1	461.954976161097	1593.74466775579
18x42_1	403.685521167158	1392.7150480267
18x44_1	376.794718646639	1299.94177933091
18x46_1	392.816000183292	1355.21520063236
18x48_1	447.246654543106	1543.00095817372
18x50_1	524.830763198958	1810.6661330364
19x17_1	282.875591028989	975.920789050013
19x19_1	158.02243511603	545.177401150304
19x21_1	45.5342728063159	157.09324118179
19x23_1	26.2068693284793	90.4136991832537
19x25_1	54.660497619396	188.578716786916
19x27_1	165.450415532872	570.803933588408
19x29_1	289.850737449467	999.985044200663
19x31_1	416.041247955055	1435.34230544494
19x33_1	533.257583162209	1839.73866190962
19x35_1	648.076816434596	2235.86501669935
19x37_1	627.853971875627	2166.09620297091
19x39_1	546.143433541043	1884.1948457166
19x41_1	481.034146397114	1659.56780507004
19x43_1	441.13149966875	1521.90367385719
19x45_1	437.059320916509	1507.85465716196
19x47_1	469.382754263512	1619.37050220912
19x49_1	529.78906179724	1827.77226320048
20x16_1	357.168251668594	1232.23046825665
20x18_1	237.75487376708	820.254314496425
20x20_1	131.682724759173	454.305400419145
20x22_1	58.5003418793429	201.826179483733
20x24_1	0.412310562561667	1.42247144083775
20x26_1	91.1660572801084	314.522897616374
20x28_1	219.066565226189	755.779650030351
20x30_1	336.528899204808	1161.02470225659
20x32_1	449.047135610506	1549.21261785625
20x34_1	567.990008714942	1959.56553006655
20x36_1	689.787829698379	2379.76801245941
20x38_1	630.678880255237	2175.84213688057
20x40_1	561.811534235459	1938.24979311233
20x42_1	513.471995341518	1771.47838392824
20x44_1	491.428977574583	1695.42997263231
20x46_1	503.777609665217	1738.032753345
20x48_1	548.523144452447	1892.40484836094
20x50_1	614.79275369835	2121.03500025931
21x15_1	435.72290506697	1503.24402248105
21x17_1	320.362997239069	1105.25234047479
21x19_1	216.944969980869	748.460146433997
21x21_1	131.179342885989	452.568732956663
21x23_1	29.9162163383006	103.210946367137
21x25_1	41.7599090037324	144.071686062877
21x27_1	148.241761997084	511.434078889938
21x29_1	252.399306655149	870.777607960264
21x31_1	368.877662647117	1272.62793613255
21x33_1	491.00951110951	1693.98281332781
21x35_1	614.08648413721	2118.59837027337
21x37_1	715.010335589633	2466.78565778423
21x39_1	642.75473549403	2217.5038374544
21x41_1	587.955984747158	2028.44814737769
21x43_1	555.475183964145	1916.3893846763
21x45_1	551.372297091539	1902.23442496581
21x47_1	577.630193116669	1992.82416625251
21x49_1	627.68758152444	2165.52215625932
22x16_1	405.588917501452	1399.28176538001
22x18_1	304.699212338988	1051.21228256951
22x20_1	212.113483776963	731.791519030523
22x22_1	112.540348320058	388.2642017042
22x24_1	40.5093816294448	139.757366621584
22x26_1	65.2558809610292	225.132789315551
22x28_1	169.969409012328	586.394461092532
22x30_1	292.82366707628	1010.24165141317
22x32_1	417.822797367496	1441.48865091786
22x34_1	542.728007384915	1872.41162547796
22x36_1	670.21814359207	2312.25259539264
22x38_1	725.730996995443	2503.77193963428
22x40_1	667.56202708063	2303.08899342817
22x42_1	627.088271298388	2163.45453597944
22x44_1	611.225792976704	2108.72898576963
22x46_1	620.732833028832	2141.52827394947
22x48_1	657.044442941267	2266.80332814737
23x15_1	489.134746261191	1687.51487460111
23x17_1	391.917350981045	1352.11486088461
23x19_1	296.521061646555	1022.99766268061
23x21_1	195.858826709444	675.712952147582
23x23_1	68.8674814408076	237.592810970786
23x25_1	0.6403124237432	2.20907786191404
23x27_1	93.8676728165773	323.843471217192
23x29_1	220.720751176685	761.486591559562
23x31_1	349.160507503354	1204.60375088657
23x33_1	472.65183803726	1630.64884122855
23x35_1	603.950370477575	2083.62877814763
23x37_1	732.042628540169	2525.54706846358
23x39_1	745.625777451397	2572.40893220732
23x41_1	699.656437117533	2413.81470805549
23x43_1	672.099434607708	2318.74304939659
23x45_1	669.822073389643	2310.88615319427
23x47_1	691.865564976318	2386.9361991683
24x16_1	476.148821273349	1642.71343339306
24x18_1	381.112909778716	1314.83953873657
24x20_1	267.392221278032	922.50316340921
24x22_1	146.192373262082	504.363687754184
24x24_1	34.5827991926622	119.310657214685
24x26_1	52.5791783884078	181.398165440007
24x28_1	163.624570282095	564.504767473226
24x30_1	288.734514736289	996.134075840196
24x32_1	415.664311674698	1434.04187527771
24x34_1	541.614567750906	1868.57025874062
24x36_1	668.357389425747	2305.83299351883
24x38_1	797.298344410673	2750.67928821682
24x40_1	774.73432865725	2672.83343386751
24x42_1	740.829440559701	2555.86156993097
24x44_1	725.605960559862	2503.34056393152
24x46_1	734.930595362583	2535.51055400091
24x48_1	764.771508360504	2638.46170384374
25x15_1	561.555562700611	1937.36669131711
25x17_1	466.233085484074	1608.50414492006
25x19_1	346.789215518591	1196.42279353914
25x21_1	227.990350673005	786.566709821868
25x23_1	121.026319451597	417.540802108009
25x25_1	55.4044222061743	191.145256611301
25x27_1	136.880166569157	472.23657466359
25x29_1	243.407169163113	839.754733612738
25x31_1	364.998863011928	1259.24607739115
25x33_1	487.479363665787	1681.80380464696
25x35_1	612.32504440044	2112.52140318152
25x37_1	739.351945963491	2550.76421357404
25x39_1	851.343414845032	2937.13478121536
25x41_1	809.976944116312	2794.42045720128
25x43_1	787.527434442763	2716.96964882753
25x45_1	784.633035246414	2706.98397160013
25x47_1	803.55612125103	2772.26861831605
26x16_1	549.320243573819	1895.15484032968
26x18_1	429.553908141923	1481.96098308964
26x20_1	315.617648429235	1088.88088708086
26x22_1	210.479571455284	726.15452152073
26x24_1	129.89164715254	448.126182676264
26x26_1	130.229220991297	449.290812419974
26x28_1	218.694604414467	754.496385229911
26x30_1	324.530322158038	1119.62961144523
26x32_1	439.726687841436	1517.05707305296
26x34_1	558.940300926674	1928.34403819702
26x36_1	682.362777413892	2354.15158207793
26x38_1	808.835632251696	2790.48293126835
26x40_1	886.130221807156	3057.14926523469
26x42_1	855.193668124361	2950.41815502905
26x44_1	842.853783286283	2907.84555233768
26x46_1	849.43224567943	2930.54124759403
26x48_1	875.543454090087	3020.6249166108
27x17_1	512.090079966406	1766.7107758841
27x19_1	400.047247209627	1380.16300287321
27x21_1	296.233016390814	1022.00390654831
27x23_1	211.231934138757	728.750172778711
27x25_1	172.600463498798	595.471599070854
27x27_1	212.608678091935	733.499939417176
27x29_1	304.942224035964	1052.05067292408
27x31_1	408.434437823257	1409.09881049024
27x33_1	521.943531428449	1800.70518342815
27x35_1	638.745724056138	2203.67274799368
27x37_1	759.115966107946	2618.95008307241
27x39_1	884.52462373865	3051.60995189834
27x41_1	925.214488645741	3191.98998582781
27x43_1	903.502280019259	3117.08286606645
27x45_1	901.299223343724	3109.48232053585
27x47_1	917.050843737685	3163.82541089501
28x16_1	594.683815148857	2051.65916226356
28x18_1	484.542051838641	1671.67007884331
28x20_1	382.459527270533	1319.48536908334
28x22_1	294.150454699632	1014.81906871373
28x24_1	238.471465798322	822.72655700421
28x26_1	237.130196305743	818.099177254813
28x28_1	297.620731804759	1026.79152472642
28x30_1	389.174678004621	1342.65263911594
28x32_1	493.569468261561	1702.81466550239
28x34_1	602.361660466534	2078.14772860954
28x36_1	717.993795237814	2477.07859357046
28x38_1	838.858855827368	2894.06305260442
28x40_1	960.768702654286	3314.65202415729
28x42_1	968.327222585423	3340.72891791971
28x44_1	956.547541944466	3300.08901970841
28x46_1	962.72069677555	3321.38640387565
28x48_1	985.531800603106	3400.08471208072
29x17_1	569.451358765611	1964.60718774136
29x19_1	468.226120587051	1615.38011602533
29x21_1	378.926510025361	1307.29645958749
29x23_1	313.192416894151	1080.51383828482
29x25_1	287.000435539739	990.1515026121
29x27_1	312.778148213714	1079.08461133731
29x29_1	382.601542077394	1319.97532016701
29x31_1	475.879858787909	1641.78551281829
29x33_1	578.904871287157	1997.22180594069
29x35_1	686.0193145969	2366.7666353593
29x37_1	800.234865523866	2760.81028605734
29x39_1	919.217602094303	3171.30072722534
29x41_1	1036.27419633995	3575.14597737281
29x43_1	1017.25061317258	3509.51461544542
29x45_1	1014.65013674665	3500.54297177595
29x47_1	1029.47025211999	3551.67236981397
30x16_1	650.964607332841	2245.8278952983
30x18_1	552.101747868996	1904.75103014804
30x20_1	461.683278882829	1592.80731214576
30x22_1	390.691451147834	1347.88550646003
30x24_1	349.941366517307	1207.29771448471
30x26_1	350.418735229725	1208.94463654255
30x28_1	394.50248414934	1361.03357031522
30x30_1	469.856595143667	1621.00525324565
30x32_1	562.772156383025	1941.56393952144
30x34_1	663.943190340861	2290.60400667597
30x36_1	771.740435638823	2662.50450295394
30x38_1	885.666144774655	3055.54819947256
30x40_1	1001.83114844768	3456.3174621445
30x42_1	1082.13014466838	3733.3489991059
30x44_1	1071.40924954006	3696.36191091322
30x46_1	1076.630595887	3714.37555581016
30x48_1	1097.43194777626	3786.1402198281
31x17_1	637.662230338288	2199.93469466709
31x19_1	547.755876280666	1889.7577731683
31x21_1	473.302989637716	1632.89531425012
31x23_1	419.38423909346	1446.87562487244
31x25_1	402.100609300707	1387.24710208744
31x27_1	421.653518899108	1454.70464020192
31x29_1	476.458707549773	1643.78254104672
31x31_1	555.895044050583	1917.83790197451
31x33_1	649.777269531645	2241.73157988418
31x35_1	750.860692805264	2590.46939017816
31x37_1	856.520898752623	2954.99710069655
31x39_1	968.762550886439	3342.23080055822
31x41_1	1082.60203676143	3734.97702682694
31x43_1	1131.26878326948	3902.87730227969
31x45_1	1130.32827090187	3899.63253461143
31x47_1	1143.16793604439	3943.92937935316
32x16_1	723.808068482246	2497.13783626375
32x18_1	631.643016267892	2179.16840612423
32x20_1	554.511181131634	1913.06357490414
32x22_1	496.419600741147	1712.64762255696
32x24_1	464.152313362758	1601.32548110152
32x26_1	463.452532628747	1598.91123756918
32x28_1	497.046154798526	1714.80923405491
32x30_1	559.732078766261	1931.0756717436
32x32_1	641.477809436929	2213.0984425574
32x34_1	734.112695708227	2532.68880019338
32x36_1	834.889178274578	2880.36766504729
32x38_1	941.393015695358	3247.80590414899
32x40_1	1050.63303298535	3624.68396379947
32x42_1	1164.64056687031	4018.00995570257
32x44_1	1187.89470913882	4098.23674652893
32x46_1	1192.04809466733	4112.56592660227
33x17_1	719.149400333478	2481.0654311505
33x19_1	637.432882741391	2199.1434454578
33x21_1	574.946058339389	1983.56390127089
33x23_1	532.282650478108	1836.37514414947
33x25_1	517.20000966744	1784.34003335267
33x27_1	533.120108418357	1839.26437404333
33x29_1	576.82319648225	1990.04002786376
33x31_1	644.034261510986	2221.9182022129
33x33_1	727.465250029168	2509.75511260063
33x35_1	819.938759908324	2828.78872168372
33x37_1	921.544795438616	3179.32954426323
33x39_1	1027.04424442183	3543.3026432553
33x41_1	1135.3568822181	3916.98124365244
33x43_1	1246.38713889385	4300.03562918379
33x45_1	1245.03900742105	4295.38457560263
33x47_1	1257.88729622331	4339.71117197044
34x18_1	722.562550925524	2492.84080069306
34x20_1	653.453724451855	2254.4153493589
34x22_1	602.827147696585	2079.75365955322
34x24_1	575.928901862027	1986.95471142399
34x26_1	575.030547014679	1983.85538720064
34x28_1	602.036178314892	2077.02481518638
34x30_1	654.670909694329	2258.61463844543
34x32_1	726.208351645724	2505.41881317775
34x34_1	808.380504465564	2788.9127404062
34x36_1	901.559543236053	3110.38042416438
34x38_1	1004.55365212616	3465.71009983524
34x40_1	1108.59401044747	3824.64933604376
34x42_1	1215.92340630485	4194.93575175175
34x44_1	1299.93886010074	4484.78906734754
34x46_1	1303.52516277976	4497.16181159017
35x19_1	734.302124469214	2533.34232941879
35x21_1	679.358911033042	2343.78824306399
35x23_1	642.458909191864	2216.48323671193
35x25_1	630.100031740993	2173.84510950643
35x27_1	642.927562016126	2218.10008895564
35x29_1	679.014646381063	2342.60053001467
35x31_1	737.513728685779	2544.42236396594
35x33_1	809.854925279831	2793.99949221542
35x35_1	893.641729106246	3083.06396541655
35x37_1	987.633722591529	3407.33634294077
35x39_1	1090.8681542698	3763.49513223081
35x41_1	1193.51399237713	4117.62327370111
35x43_1	1297.99556239611	4478.08469026659
35x45_1	1357.75596113587	4684.25806591877
35x47_1	1367.90470793839	4719.27124238743
36x20_1	756.324619459132	2609.319937134
36x22_1	713.05882646525	2460.05295130511
36x24_1	690.382451978612	2381.81945932621
36x26_1	689.855760286163	2380.00237298726
36x28_1	711.060932691426	2453.16021778542
36x30_1	755.646054710802	2606.97888875227
36x32_1	819.105585379565	2825.9142695595
36x34_1	892.542531199494	3079.27173263826
36x36_1	979.908587573351	3380.68462712806
36x38_1	1073.53257053524	3703.68736834658
36x40_1	1175.45366986538	4055.31516103558
36x42_1	1277.34770520794	4406.84958296741
36x44_1	1382.67195314001	4770.21823833302
36x46_1	1416.8333211779	4888.07495806376
37x19_1	835.082253433756	2881.03377434646
37x21_1	786.933192844221	2714.91951531256
37x23_1	755.035323676979	2604.87186668558
37x25_1	744.600107440229	2568.87037066879
37x27_1	754.362147777843	2602.54940983356
37x29_1	785.906775641997	2711.37837596489
37x31_1	837.994850819503	2891.08223532728
37x33_1	901.849677052667	3111.3813858317
37x35_1	976.571021482821	3369.17002411573
37x37_1	1064.69830938158	3673.20916736646
37x39_1	1161.10790626884	4005.82227662749
37x41_1	1260.49139624196	4348.69531703476
37x43_1	1364.03822893642	4705.93188983064
37x45_1	1468.68886085515	5066.97656995027
37x47_1	1481.17654923375	5110.05909485644
38x18_1	915.211106794493	3157.478318441
38x20_1	861.691197587628	2972.83463167732
38x22_1	823.889361504323	2842.41829718991
38x24_1	804.877015450187	2776.82570330315
38x26_1	804.155911499754	2774.33789467415
38x28_1	823.879026313937	2842.38264078308
38x30_1	863.730293552334	2979.86951275555
38x32_1	918.322612157623	3168.2130119438
38x34_1	984.537668146832	3396.65495510657
38x36_1	1063.21971859066	3668.10802913778
38x38_1	1152.11878293863	3974.80980113829
38x40_1	1246.67121968866	4301.01570792586
38x42_1	1345.96117700326	4643.56606066125
38x44_1	1448.26065333558	4996.49925400775
38x46_1	1533.26845659852	5289.77617526489
39x19_1	938.542071513046	3237.97014672001
39x21_1	895.692497456577	3090.13911622519
39x23_1	869.60002299908	3000.12007934683
39x25_1	859.900052331665	2966.65518054424
39x27_1	868.532198597151	2996.43608516017
39x29_1	896.611933893365	3093.31117193211
39x31_1	940.931458715246	3246.2135325676
39x33_1	1000.17930892416	3450.61861578834
39x35_1	1068.67497865347	3686.92867635448
39x37_1	1149.11775288697	3964.45624746005
39x39_1	1238.41793026425	4272.54185941168
39x41_1	1333.25533938552	4599.73092088005
39x43_1	1431.62406028957	4939.10300799903
39x45_1	1534.71239325158	5294.75775671796
40x18_1	1017.99910608998	3512.09691601043
40x20_1	970.147143478761	3347.00764500173
40x22_1	936.859402471897	3232.16493852805
40x24_1	920.124236176833	3174.42861481007
40x26_1	918.841760043589	3170.00407215038
40x28_1	936.119052257778	3229.61073028933
40x30_1	971.634910859012	3352.14044246359
40x32_1	1020.80100411393	3521.76346419305
40x34_1	1080.57371798503	3727.97932704837
40x36_1	1152.59058646165	3976.43752329268
40x38_1	1234.51188734657	4259.06601134568
40x40_1	1323.46188838213	4565.94351491836
40x42_1	1418.43294518987	4893.59366090504
41x19_1	1045.9021990607	3608.3625867594
41x21_1	1007.78331500378	3476.85243676303
41x23_1	983.362120482582	3392.59931566491
41x25_1	974.800020517029	3363.06007078375
41x27_1	982.263203016381	3388.80805040652
41x29_1	1007.02900156848	3474.25005541124
41x31_1	1047.09346765224	3612.47246340024
41x33_1	1100.82938278373	3797.86137060386
41x35_1	1163.18002905827	4012.97110025104
41x37_1	1237.55520684938	4269.56546363035
41x39_1	1320.65184662726	4556.24887086406
41x41_1	1410.13477370073	4864.96496926751
41x43_1	1503.86052877253	5188.31882426524
42x18_1	1120.4018252395	3865.38629707627
42x20_1	1078.93726416321	3722.33356136309
42x22_1	1049.53114293955	3620.88244314145
42x24_1	1034.82667147692	3570.15201659537
42x26_1	1034.16368627022	3567.86471763224
42x28_1	1049.65370003635	3621.30526512541
42x30_1	1081.81807158135	3732.27234695567
42x32_1	1126.28749882079	3885.69187093174
42x34_1	1180.92491293901	4074.19094963957
42x36_1	1247.48362714707	4303.81851365738
42x38_1	1324.97850548603	4571.17584392681
42x40_1	1408.89600042019	4860.69120144965
42x42_1	1496.97282874473	5164.55625916932
42x44_1	1591.78599378183	5491.66167854731
43x21_1	1119.45787772475	3862.12967815039
43x23_1	1098.31882893812	3789.19995983651
43x25_1	1090.80037128707	3763.26128094038
43x27_1	1097.48986327893	3786.3400283123
43x29_1	1120.02543274695	3864.08774297699
43x31_1	1156.76127614992	3990.82640271724
43x33_1	1204.99608298119	4157.23648628509
43x35_1	1262.52227703118	4355.70185575758
43x37_1	1332.02349829123	4595.48106910474
43x39_1	1410.63195058102	4866.6802295045
43x41_1	1494.33089374476	5155.44158341941
43x43_1	1582.78173163579	5460.59697414349
43x45_1	1676.59355241513	5784.24775583221
44x18_1	1228.60785037375	4238.69708378943
44x20_1	1189.31725372165	4103.14452533968
44x22_1	1163.38118000937	4013.66507103234
44x24_1	1150.28852467544	3968.49541013027
44x26_1	1149.54414008336	3965.92728328761
44x28_1	1163.68182936746	4014.70231131774
44x30_1	1192.58940126097	4114.43343435035
44x32_1	1232.91816435642	4253.56766702964
44x34_1	1283.32424585527	4427.46864820069
44x36_1	1344.72433234474	4639.29894658935
44x38_1	1416.30725833062	4886.26004124064
44x40_1	1495.31153275831	5158.82478801616
44x42_1	1578.53253688355	5445.93725224823
44x44_1	1668.45162351205	5756.15810111658
45x21_1	1230.81216276083	4246.30196152488
45x23_1	1212.60348424372	4183.48202064082
45x25_1	1205.0000373444	4157.25012883817
45x27_1	1211.42822321424	4179.42737008911
45x29_1	1231.96436636779	4250.27706396889
45x31_1	1265.1909144473	4364.90865484319
45x33_1	1310.27808117208	4520.45938004369
