	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
9x49	1109.4913609397777	230.3889754306831	310.2232744331087	50.539885239283805	1134.6737328412958
9x51	1185.4487293847847	241.12629470881032	335.25078672540064	61.1121100928452	1225.9262987635107
10x44	912.2917570602071	286.5802679878711	286.3516195169847	363.3885661382317	863.73274222991
10x46	965.757837141382	278.0766081496246	312.03237011566586	235.47611343828459	957.6497271967451
10x48	1030.0082572484553	195.92245915157343	259.7887795883416	111.4280485335717	1053.3789489068024
10x50	1104.5892811357533	172.125767972143	263.1844980237248	26.82685221937168	1143.9608734567805
10x52	1188.3467507423916	228.42942017174582	322.6716597409819	127.61269529321916	1209.3440370713372
11x41	805.3683008412983	218.36414540853536	220.37263895502085	341.30528856142854	694.4005328338969
11x43	837.6044710959941	212.41056941687245	212.74221489868904	403.18785944023637	778.0610837202952
11x45	884.6960268928532	270.8628066014233	270.73503652094985	310.577945128111	871.0829237219613
11x47	946.4050137229833	190.8398543281772	227.2189472733291	191.92355248900517	967.5233588911434
11x49	1019.9424346501131	117.30801336652137	195.81156758475728	97.43084727128253	1058.0544267664118
11x51	1104.1440576301627	144.82023339298976	239.52056279159004	110.1694149934549	1134.4006787727164
12x40	741.1447362020457	205.98718406735878	209.45577098757613	254.6949547988731	610.090911258314
12x42	764.16184804006	149.47484738242733	150.80228778105436	365.50777009524717	692.6808283762443
12x44	806.0281198568696	185.89386756964316	185.65971560896034	317.63364116541544	784.378945408404
12x46	866.350789230321	199.01329101343956	229.8001087902266	253.00571139798402	883.7800009052027
12x48	935.2036141931874	108.00462953040459	149.41084298001917	181.0441934998192	971.6929556192122
12x50	1017.0298422366966	60.15396911260303	155.06031084710233	142.27332849132344	1058.822978594628
13x37	689.9574262228068	201.33864507341843	273.26626209614676	93.80431759785894	468.7791057630448
13x39	681.4412740654911	225.14175534538228	226.98284076114646	169.26786464063395	527.031697338974
13x41	695.016093338852	121.90393759021883	125.16616955072152	282.98581236521386	607.2633448513092
13x43	729.107433784624	103.93291105323668	103.49227024275778	327.7206890020827	698.890728225808
13x45	783.5254813980206	195.43126668985187	196.70937954251195	231.34515339639145	797.5440928249673
13x47	851.7755807723065	112.36120326874382	143.29075336531648	179.77497044917013	886.7733870612042
13x49	931.872104958615	16.67393174989016	77.97448300566013	202.41941606476382	985.0665053690537
13x51	1020.9963026377717	59.62591718372154	157.50317457118146	211.59879489259876	1023.512115218965
14x36	651.7663384986984	148.36495543085636	207.92585216850745	57.56005559413551	398.4366449010433
14x38	630.905452504573	163.80992033451452	251.96644617885133	83.53017418873252	446.59947380175
14x40	632.4634376784163	147.429305092305	148.23022633727555	202.85610663719262	523.4472275215526
14x42	657.1883900374381	45.481644649242554	47.922646003742024	323.70446397910575	611.3818610328574
14x44	704.3693988242248	108.13995561308502	110.88845746965733	248.94627934556485	711.537946985261
14x46	770.2425916553823	151.81715976792592	185.19354740379032	151.6273392235053	802.439312347046
14x48	849.5557956956095	30.25970918564789	61.804935078033736	129.89245551609224	900.9342095846956
14x50	937.7058067432453	0.4242640687117034	75.78772987759982	202.82351934625353	953.4840218902466
15x33	676.6270538487208	215.19379637898473	220.67118071918674	226.60002206531217	336.689723632902
15x35	620.5091860722126	119.49916317698604	158.21014506029616	102.40043945218167	330.01492390496526
15x37	581.6612502135586	90.74034383889013	169.8428979969432	2.6476404589751024	366.0890738604474
15x39	572.5452733190625	164.381537892794	200.8155621459649	132.20094553368395	439.9191857602941
15x41	585.8539493764636	72.76434566461764	76.89895968086928	256.2000195160026	526.3953362255409
15x43	623.6197960296001	21.317832910500258	41.376925937048824	283.75949323326586	624.6871617057615
15x45	687.3464701298756	142.18709505436848	167.3749383868446	164.84468447602413	716.2442111458912
15x47	762.423950305865	94.38686349275505	126.52146063020282	73.99378352267145	812.7602844627683
15x49	852.0402866062144	29.615029967906697	29.398129192178395	117.24013817801476	881.8020469470457
16x32	666.9490235392807	254.09643838511394	140.57738082636197	295.7431317883815	304.55377193526925
16x34	594.6632072021943	132.76720227526047	142.6770128647216	171.4279148796949	270.7613894188017
16x36	543.5007727685398	36.385299229221616	93.83970375059805	65.17430475271665	287.9786276792082
16x38	516.4068551055456	77.5476627629746	171.58857770842462	87.3581135327454	352.62904021081437
16x40	518.4584554233829	126.69952643952507	152.20239814142192	201.84491571501164	441.6031816008578
16x42	548.3380435461321	7.8746428490441005	62.46767163901674	325.0544723580957	539.3557360406951
16x44	601.1231155096267	76.53757247260981	122.41323457861898	213.13845265460665	626.0806657292653
16x46	678.6724172971818	173.8972397710785	203.66946261037748	82.4999999999998	729.1580418537535
16x48	762.3485816868819	89.46820664347742	106.8436240493552	27.823730878514798	810.9187135588869
16x50	861.5071096630603	97.08810431767658	111.51008922963017	151.1320614561983	842.9503544100328
17x33	584.9818629667074	179.87823659353538	129.2106032800715	255.78463597331233	228.288808310876
17x35	515.6379543827237	59.47856756849459	60.030825414948076	151.04601947750885	215.84276684660983
17x37	470.6676959384399	8.141252974819375	85.75709883152548	105.39677414418358	266.50118198612176
17x39	456.2568136477524	135.247476871105	138.80662808382	175.0882063418325	357.3817007066815
17x41	475.24347444231154	94.82489124697157	141.51028231192242	277.45370785051705	452.52045257645545
17x43	521.4883507807247	63.841209261730185	130.9492268018412	273.4104972381269	542.9170286517086
17x45	592.5296279512105	158.6031525537876	208.58274137617437	148.40336923399013	641.8033655256102
17x47	678.0052285934086	169.87610190959754	190.59561904723822	32.31547616854797	743.3831380923299
17x49	777.2397442231068	144.9524749702469	146.22728883488213	92.48578269117947	768.782426958369
18x32	578.3491765361129	232.48649423138534	48.08918797401347	333.51337304521985	203.1456866389241
18x34	493.552226213194	104.38773874358992	104.3081971850726	232.26967085695892	153.5662723386875
18x36	430.96914042655044	0.4472135954995512	32.00624938976802	168.24089871371953	187.98829750811623
18x38	397.7450062540069	99.77820403274471	131.3677662137861	185.96045278499412	273.49605115979296
18x40	403.57011782340874	174.08974696977404	67.04655099257533	267.86720590621036	375.3668072699025
18x42	443.1311882501613	112.70958255623184	153.17326790272512	310.6107692917293	461.5507014402642
18x44	511.50934497817326	152.76128436223632	218.28469941798497	210.10856717421106	563.1039069301507
18x46	600.1190881816708	181.0334775669957	189.44899049612258	110.56093342587158	674.6156831856194
18x48	698.4498550361367	115.12949231191787	122.04671236866635	91.23595782365656	697.4998207885076
18x50	807.0101176565262	108.80225181493252	164.9221937763381	182.92328993323983	739.8465584160001
19x31	589.2128477893193	301.6073274971944	5.308483775994965	364.3182400045321	210.08707718467565
19x33	490.99019338475557	179.89877709423124	106.31730809233312	317.1431380307635	118.16755053736168
19x35	409.7865053903067	65.66109959481318	86.18224875228069	245.5674652717659	104.42882743763819
19x37	354.57265828035855	71.47146283657568	118.80559751122853	223.13038789013038	190.12724686377805
19x39	340.2048941446903	183.73396528677014	45.64832965180638	267.4048802845604	291.68642409272326
19x41	366.154735050634	183.81700138996942	74.04924037422666	345.41697989531434	376.70557468665095
19x43	427.37315077107957	176.62335632639315	199.21548634581595	226.69320677955918	478.53841016160857
19x45	512.0887911290387	205.3000974183887	219.76471509321027	125.13484726486044	589.5417966522817
19x47	613.6028438656393	93.26869785731948	101.8177293009422	102.98373658010281	627.8909539083996
19x49	722.7155733758614	45.347546791419504	79.21237277092503	173.4877517290488	661.8579908107175
20x30	611.9722624433235	377.552181823917	86.41903725453099	320.1578516919427	245.18941657420703
20x32	505.81318685854734	259.40196606810804	81.14296026150411	308.06522036737607	127.85843734380587
