	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
17x31	0.22326998	0.12177973	2.1755826e-10	0.003993176	0.019645762	2.1853977e-10	2.1729948e-10	0.0488782	0.13714883	0.02713452	2.1779574e-10	2.1789837e-10	0.3987741	0.01937572
17x33	0.21782225	2.134041e-10	2.1328e-10	2.1349572e-10	0.024287514	2.1359794e-10	2.137887e-10	2.1388291e-10	0.2038177	0.090257086	2.134896e-10	2.1341551e-10	0.46381548	2.1284922e-10
18x28	0.37192667	0.041200478	0.019927554	0.018381365	2.0730803e-10	0.003163371	0.045784865	2.0809279e-10	0.06444821	2.0801899e-10	0.42843488	2.0853264e-10	2.0838792e-10	0.006732548
18x30	0.07811584	0.089548744	2.1972626e-10	2.2009748e-10	0.0056499913	2.1961608e-10	0.046717215	2.1956623e-10	0.20732358	0.029980881	2.1967891e-10	2.1963326e-10	0.5426637	2.1919257e-10
18x32	0.36420754	2.1838753e-10	2.1726118e-10	2.1739882e-10	0.021544147	2.1824595e-10	2.177179e-10	2.1845793e-10	0.12728067	2.1793728e-10	2.1695269e-10	2.1794602e-10	0.48696765	2.1681246e-10
18x34	1.9370952e-10	0.1304366	1.9252015e-10	1.9367292e-10	1.9327144e-10	1.928432e-10	0.02649255	0.10888882	0.15386611	1.9367959e-10	0.5803159	1.9365373e-10	1.9353004e-10	1.9390173e-10
19x27	0.14561568	0.045612715	2.0514855e-10	2.0604539e-10	2.0549318e-10	2.0565394e-10	0.09539688	2.0509261e-10	0.124702275	2.0592908e-10	0.24459836	2.0598409e-10	0.28675845	0.05731553
19x29	0.1976663	0.20516121	0.02352654	0.065838106	0.06384526	2.128955e-10	2.1207726e-10	2.1293002e-10	0.03330513	0.02166952	2.127932e-10	0.04973417	0.3392537	2.131702e-10
19x31	0.42643124	0.05927602	2.1259577e-10	2.1328299e-10	2.1216841e-10	2.1298946e-10	2.1352842e-10	2.1185259e-10	0.08293241	0.03698416	2.1274099e-10	2.1245795e-10	0.3860419	0.008334231
19x33	1.6645921e-10	1.6675984e-10	1.6676173e-10	0.08105041	1.6622222e-10	1.6650747e-10	0.07062858	1.6648811e-10	1.6604224e-10	0.109298475	0.73902255	1.6676716e-10	1.6579729e-10	1.6668703e-10
19x35	1.9235202e-10	0.061321713	1.9135815e-10	0.0038584212	0.019078352	1.9127787e-10	0.077601515	0.04897522	1.9224787e-10	0.048584227	0.74058056	1.915579e-10	1.915791e-10	1.9222805e-10
20x26	0.31588057	0.13323729	2.345811e-10	0.021602616	2.354148e-10	0.05215817	0.21902838	0.012546154	0.0048091006	0.050071638	2.339979e-10	2.3510024e-10	0.19066599	2.3535687e-10
20x28	0.020871487	0.011742887	2.1112946e-10	0.012277434	2.1098455e-10	2.1192426e-10	2.118592e-10	0.028875157	0.27161714	0.025365535	0.6292504	2.1185233e-10	2.1127125e-10	2.119825e-10
20x30	0.4263268	0.09612329	0.021860909	0.03448442	2.1133723e-10	2.1087619e-10	2.114219e-10	2.10803e-10	0.01790043	2.1180127e-10	2.1037641e-10	2.1158003e-10	0.40330416	2.1171849e-10
20x32	1.8607763e-10	1.8634223e-10	1.860975e-10	0.11838405	1.859889e-10	0.029774312	1.8654885e-10	1.8554352e-10	0.08406052	0.008193337	0.7497977	0.009790073	1.8573261e-10	1.8594636e-10
20x34	0.021380274	2.0534544e-10	2.0500222e-10	0.09319173	2.0424934e-10	2.0407645e-10	2.0419715e-10	2.0469161e-10	0.15024737	0.091574594	0.31763026	2.052722e-10	0.28576225	0.040213525
20x36	2.0679247e-10	0.03299273	2.05591e-10	2.0718452e-10	2.0635472e-10	0.058582712	0.0042968835	2.0592812e-10	0.05021152	2.066395e-10	0.8539161	2.065138e-10	2.0632089e-10	2.0676368e-10
20x38	0.015865676	1.9540962e-10	1.9550543e-10	1.9431949e-10	1.9488702e-10	1.9489262e-10	1.9538876e-10	0.1605629	0.18196686	0.066028856	0.41579205	1.9494392e-10	0.11560128	0.044182386
20x42	0.2893845	0.049310382	0.0068048113	2.1239684e-10	2.1276256e-10	2.1253746e-10	0.029402204	0.052977964	0.13831596	0.13584335	2.121446e-10	0.013221914	0.28473893	2.130513e-10
21x23	0.38817683	2.3188261e-10	2.3086759e-10	2.3121793e-10	0.046114635	0.03026362	0.05083103	2.3176987e-10	0.15044434	0.06764249	2.3055778e-10	2.316514e-10	0.26652703	2.3046369e-10
21x25	2.0359062e-10	0.26739642	0.10113004	2.0374057e-10	0.10851619	2.0248807e-10	0.12457784	0.1321774	2.0367064e-10	0.17528768	2.0344078e-10	0.014665876	2.0344078e-10	0.07624858
21x27	2.1032082e-10	0.15037136	2.1070548e-10	0.0782412	2.1080519e-10	0.034145474	0.0851345	2.106669e-10	0.20958708	0.01275823	0.4297621	2.1096044e-10	2.107891e-10	2.1047251e-10
21x29	0.19969228	2.242432e-10	0.019346641	2.2529353e-10	2.2425517e-10	0.09831124	2.2411961e-10	2.2505645e-10	0.055355415	2.2548656e-10	2.2424661e-10	2.2535457e-10	0.6272945	2.2536616e-10
21x31	2.2476562e-10	2.2426631e-10	2.236559e-10	0.040186636	2.2443321e-10	2.2422056e-10	2.2398718e-10	2.2326505e-10	0.27556843	0.019608267	0.6013356	2.2358039e-10	2.2453125e-10	0.06330106
21x33	0.18995562	2.1983886e-10	2.1956145e-10	2.1947895e-10	0.00846262	0.050861187	0.05400679	2.1962006e-10	0.049567964	2.1963308e-10	0.60298795	0.044157896	2.1901812e-10	2.1902732e-10
21x35	2.2094822e-10	2.2215042e-10	0.09186335	0.030847754	0.012484978	2.2157957e-10	2.2064922e-10	0.018665692	2.2143212e-10	0.8461382	2.2192428e-10	2.2134007e-10	2.2190398e-10	2.2160028e-10
21x37	0.2011363	0.15068263	2.1220756e-10	0.0016603861	2.1244731e-10	2.1133711e-10	2.1238372e-10	2.1264474e-10	0.071573876	0.14540331	2.1179712e-10	0.028524796	0.40101874	2.1244002e-10
21x39	0.12089705	0.055083342	2.1743417e-10	0.0045586023	0.03597071	2.1770472e-10	0.08502229	0.1279851	0.2534148	2.179116e-10	2.1764535e-10	2.1745904e-10	0.31706807	2.174582e-10
21x41	0.32008508	0.015549379	2.2085189e-10	2.2068009e-10	2.2089613e-10	2.2086158e-10	2.2134657e-10	0.023173092	0.14582734	0.10737761	0.24475898	2.2110269e-10	0.14322858	2.2116259e-10
21x43	0.57418597	0.03014563	2.5856964e-10	0.013444765	2.5833843e-10	2.5922542e-10	2.581409e-10	2.5907412e-10	0.24432236	2.5895755e-10	2.580971e-10	2.5923183e-10	0.13790123	2.5862093e-10
22x22	0.66188914	2.8768835e-10	2.8683908e-10	2.8787062e-10	0.040754322	0.10795301	0.043565188	2.8692282e-10	0.06728065	2.8652414e-10	2.8604252e-10	2.8722014e-10	2.8698083e-10	0.078557685
22x24	0.2611859	0.16333964	2.1958653e-10	2.2097009e-10	2.2119652e-10	0.038054567	0.14587878	0.0018673802	0.10439269	2.2123914e-10	2.1990006e-10	0.014284131	0.2709968	2.2118303e-10
22x26	2.283117e-10	0.04850059	2.290493e-10	0.06412808	2.2851517e-10	0.11295033	0.19536164	2.292757e-10	0.08254965	0.12473397	0.31974775	2.2822898e-10	2.2886193e-10	0.052028023
22x28	2.2197909e-10	0.1020005	2.2192408e-10	0.07772637	0.035378434	0.025402842	0.10365122	2.2207099e-10	0.17204757	2.2241395e-10	2.2243768e-10	0.028318323	0.23415835	0.22131631
22x30	2.0080501e-10	0.10828313	2.0138188e-10	0.051924158	2.0096363e-10	2.0102382e-10	0.09861838	2.009694e-10	0.11085848	0.20466408	2.0005916e-10	2.0066374e-10	0.24698997	0.17866182
22x32	1.8804559e-10	1.882656e-10	1.8839168e-10	0.0051419293	1.8770875e-10	0.07382437	1.8888928e-10	1.8813745e-10	1.8885722e-10	0.07044971	0.837446	0.013138052	1.8828175e-10	1.8815287e-10
22x34	0.3243658	0.15944307	2.1979994e-10	0.0040158206	2.1929242e-10	0.0025826208	0.00029448725	2.1909591e-10	0.16362828	2.1964781e-10	2.1962393e-10	2.19315e-10	0.34566993	2.201255e-10
