"x_cord"	"y_cord"	"cluster"
"24x14"	"24"	"14"	"5"
"24x16"	"24"	"16"	"5"
"24x18"	"24"	"18"	"0"
"24x20"	"24"	"20"	"2"
"25x13"	"25"	"13"	"6"
"25x15"	"25"	"15"	"0"
"25x17"	"25"	"17"	"0"
"25x19"	"25"	"19"	"2"
"25x21"	"25"	"21"	"2"
"25x23"	"25"	"23"	"2"
"25x29"	"25"	"29"	"3"
"26x12"	"26"	"12"	"8"
"26x14"	"26"	"14"	"1"
"26x16"	"26"	"16"	"1"
"26x18"	"26"	"18"	"0"
"26x20"	"26"	"20"	"0"
"26x22"	"26"	"22"	"3"
"26x24"	"26"	"24"	"2"
"26x26"	"26"	"26"	"1"
"26x28"	"26"	"28"	"2"
"26x30"	"26"	"30"	"3"
"26x32"	"26"	"32"	"2"
"27x13"	"27"	"13"	"1"
"27x15"	"27"	"15"	"1"
"27x17"	"27"	"17"	"1"
"27x19"	"27"	"19"	"0"
"27x21"	"27"	"21"	"8"
"27x23"	"27"	"23"	"0"
"27x25"	"27"	"25"	"1"
"27x27"	"27"	"27"	"3"
"27x29"	"27"	"29"	"0"
"27x31"	"27"	"31"	"3"
"27x33"	"27"	"33"	"0"
"27x35"	"27"	"35"	"0"
"27x37"	"27"	"37"	"2"
"28x12"	"28"	"12"	"0"
"28x14"	"28"	"14"	"0"
"28x16"	"28"	"16"	"3"
"28x18"	"28"	"18"	"1"
"28x20"	"28"	"20"	"0"
"28x22"	"28"	"22"	"0"
"28x24"	"28"	"24"	"8"
"28x26"	"28"	"26"	"8"
"28x28"	"28"	"28"	"2"
"28x30"	"28"	"30"	"2"
"28x32"	"28"	"32"	"0"
"28x34"	"28"	"34"	"7"
"28x36"	"28"	"36"	"0"
"28x38"	"28"	"38"	"2"
"29x11"	"29"	"11"	"5"
"29x13"	"29"	"13"	"0"
"29x15"	"29"	"15"	"0"
"29x17"	"29"	"17"	"0"
"29x19"	"29"	"19"	"3"
"29x21"	"29"	"21"	"8"
"29x23"	"29"	"23"	"3"
"29x25"	"29"	"25"	"1"
"29x27"	"29"	"27"	"2"
"29x29"	"29"	"29"	"8"
"29x31"	"29"	"31"	"0"
"29x33"	"29"	"33"	"3"
"29x35"	"29"	"35"	"2"
"29x37"	"29"	"37"	"2"
"29x39"	"29"	"39"	"2"
"29x41"	"29"	"41"	"2"
"29x43"	"29"	"43"	"1"
"30x12"	"30"	"12"	"1"
"30x14"	"30"	"14"	"1"
"30x16"	"30"	"16"	"0"
"30x18"	"30"	"18"	"0"
"30x20"	"30"	"20"	"0"
"30x22"	"30"	"22"	"3"
"30x24"	"30"	"24"	"0"
"30x26"	"30"	"26"	"3"
"30x28"	"30"	"28"	"8"
"30x30"	"30"	"30"	"6"
"30x32"	"30"	"32"	"8"
"30x34"	"30"	"34"	"1"
"30x36"	"30"	"36"	"2"
"30x38"	"30"	"38"	"2"
"30x40"	"30"	"40"	"0"
"30x42"	"30"	"42"	"2"
"30x44"	"30"	"44"	"5"
"30x46"	"30"	"46"	"5"
"31x11"	"31"	"11"	"0"
"31x13"	"31"	"13"	"3"
"31x15"	"31"	"15"	"3"
"31x17"	"31"	"17"	"0"
"31x19"	"31"	"19"	"1"
"31x21"	"31"	"21"	"8"
"31x23"	"31"	"23"	"8"
"31x25"	"31"	"25"	"6"
"31x27"	"31"	"27"	"8"
"31x29"	"31"	"29"	"2"
"31x31"	"31"	"31"	"6"
"31x33"	"31"	"33"	"8"
"31x35"	"31"	"35"	"2"
"31x37"	"31"	"37"	"2"
"31x39"	"31"	"39"	"0"
"31x41"	"31"	"41"	"2"
"31x43"	"31"	"43"	"2"
"31x45"	"31"	"45"	"1"
"31x47"	"31"	"47"	"5"
"32x12"	"32"	"12"	"1"
"32x14"	"32"	"14"	"3"
"32x16"	"32"	"16"	"1"
"32x18"	"32"	"18"	"3"
"32x20"	"32"	"20"	"8"
"32x22"	"32"	"22"	"8"
"32x24"	"32"	"24"	"8"
"32x26"	"32"	"26"	"0"
"32x28"	"32"	"28"	"0"
"32x30"	"32"	"30"	"3"
"32x32"	"32"	"32"	"1"
"32x34"	"32"	"34"	"3"
"32x36"	"32"	"36"	"2"
"32x38"	"32"	"38"	"2"
"32x40"	"32"	"40"	"2"
"32x42"	"32"	"42"	"8"
"32x44"	"32"	"44"	"1"
"32x46"	"32"	"46"	"1"
"32x48"	"32"	"48"	"6"
"32x50"	"32"	"50"	"1"
"32x52"	"32"	"52"	"5"
"32x54"	"32"	"54"	"5"
"33x11"	"33"	"11"	"0"
"33x13"	"33"	"13"	"0"
"33x15"	"33"	"15"	"0"
"33x17"	"33"	"17"	"1"
"33x19"	"33"	"19"	"0"
"33x21"	"33"	"21"	"3"
"33x23"	"33"	"23"	"8"
"33x25"	"33"	"25"	"9"
"33x27"	"33"	"27"	"2"
"33x29"	"33"	"29"	"8"
"33x31"	"33"	"31"	"0"
"33x33"	"33"	"33"	"9"
"33x35"	"33"	"35"	"2"
"33x37"	"33"	"37"	"10"
"33x39"	"33"	"39"	"2"
"33x41"	"33"	"41"	"2"
"33x43"	"33"	"43"	"2"
"33x45"	"33"	"45"	"5"
"33x47"	"33"	"47"	"6"
"33x49"	"33"	"49"	"1"
"33x51"	"33"	"51"	"4"
"33x53"	"33"	"53"	"1"
"34x10"	"34"	"10"	"1"
"34x12"	"34"	"12"	"0"
"34x14"	"34"	"14"	"0"
"34x16"	"34"	"16"	"0"
"34x18"	"34"	"18"	"0"
"34x20"	"34"	"20"	"7"
"34x22"	"34"	"22"	"1"
"34x24"	"34"	"24"	"8"
"34x26"	"34"	"26"	"8"
"34x28"	"34"	"28"	"7"
"34x30"	"34"	"30"	"0"
"34x32"	"34"	"32"	"0"
"34x34"	"34"	"34"	"3"
"34x36"	"34"	"36"	"4"
"34x38"	"34"	"38"	"0"
"34x40"	"34"	"40"	"2"
"34x42"	"34"	"42"	"0"
"34x44"	"34"	"44"	"3"
"34x46"	"34"	"46"	"6"
"34x48"	"34"	"48"	"3"
"34x50"	"34"	"50"	"1"
"34x52"	"34"	"52"	"3"
"34x54"	"34"	"54"	"3"
"35x11"	"35"	"11"	"4"
"35x13"	"35"	"13"	"4"
"35x15"	"35"	"15"	"1"
"35x17"	"35"	"17"	"3"
"35x19"	"35"	"19"	"0"
"35x21"	"35"	"21"	"8"
"35x23"	"35"	"23"	"0"
"35x25"	"35"	"25"	"8"
"35x27"	"35"	"27"	"8"
"35x29"	"35"	"29"	"8"
"35x31"	"35"	"31"	"8"
"35x33"	"35"	"33"	"8"
"35x35"	"35"	"35"	"7"
"35x37"	"35"	"37"	"0"
"35x39"	"35"	"39"	"2"
"35x41"	"35"	"41"	"4"
"35x43"	"35"	"43"	"1"
"35x45"	"35"	"45"	"7"
"35x47"	"35"	"47"	"0"
"35x49"	"35"	"49"	"1"
"35x51"	"35"	"51"	"3"
"35x53"	"35"	"53"	"3"
"35x55"	"35"	"55"	"6"
"36x10"	"36"	"10"	"1"
"36x12"	"36"	"12"	"3"
"36x14"	"36"	"14"	"4"
"36x16"	"36"	"16"	"4"
"36x18"	"36"	"18"	"4"
"36x20"	"36"	"20"	"3"
"36x22"	"36"	"22"	"2"
"36x24"	"36"	"24"	"3"
"36x26"	"36"	"26"	"2"
"36x28"	"36"	"28"	"3"
"36x30"	"36"	"30"	"6"
"36x32"	"36"	"32"	"3"
"36x34"	"36"	"34"	"3"
"36x36"	"36"	"36"	"6"
"36x38"	"36"	"38"	"2"
"36x40"	"36"	"40"	"3"
"36x42"	"36"	"42"	"8"
"36x44"	"36"	"44"	"4"
"36x46"	"36"	"46"	"4"
"36x48"	"36"	"48"	"4"
"36x50"	"36"	"50"	"5"
"36x52"	"36"	"52"	"0"
"36x54"	"36"	"54"	"5"
"37x11"	"37"	"11"	"2"
"37x13"	"37"	"13"	"3"
"37x15"	"37"	"15"	"1"
"37x17"	"37"	"17"	"0"
"37x19"	"37"	"19"	"1"
"37x21"	"37"	"21"	"8"
"37x23"	"37"	"23"	"8"
"37x25"	"37"	"25"	"3"
"37x27"	"37"	"27"	"1"
"37x29"	"37"	"29"	"0"
"37x31"	"37"	"31"	"8"
"37x33"	"37"	"33"	"6"
"37x35"	"37"	"35"	"8"
"37x37"	"37"	"37"	"3"
"37x39"	"37"	"39"	"2"
"37x41"	"37"	"41"	"1"
"37x43"	"37"	"43"	"3"
"37x45"	"37"	"45"	"8"
"37x47"	"37"	"47"	"1"
"37x49"	"37"	"49"	"1"
"37x51"	"37"	"51"	"5"
"37x53"	"37"	"53"	"7"
"37x55"	"37"	"55"	"6"
"38x10"	"38"	"10"	"5"
"38x12"	"38"	"12"	"6"
"38x14"	"38"	"14"	"3"
"38x16"	"38"	"16"	"4"
"38x18"	"38"	"18"	"0"
"38x20"	"38"	"20"	"0"
"38x22"	"38"	"22"	"2"
"38x24"	"38"	"24"	"10"
"38x26"	"38"	"26"	"3"
"38x28"	"38"	"28"	"1"
"38x30"	"38"	"30"	"8"
"38x32"	"38"	"32"	"2"
"38x34"	"38"	"34"	"2"
"38x36"	"38"	"36"	"1"
"38x38"	"38"	"38"	"3"
"38x40"	"38"	"40"	"1"
"38x42"	"38"	"42"	"8"
"38x44"	"38"	"44"	"1"
"38x46"	"38"	"46"	"3"
"38x48"	"38"	"48"	"1"
"38x50"	"38"	"50"	"0"
"38x52"	"38"	"52"	"0"
"38x54"	"38"	"54"	"0"
