"x_cord"	"y_cord"	"cluster"
"17x33"	"17"	"33"	"1"
"17x35"	"17"	"35"	"1"
"18x34"	"18"	"34"	"1"
"18x36"	"18"	"36"	"4"
"19x33"	"19"	"33"	"1"
"19x35"	"19"	"35"	"3"
"19x37"	"19"	"37"	"0"
"19x39"	"19"	"39"	"5"
"20x32"	"20"	"32"	"4"
"20x34"	"20"	"34"	"3"
"20x36"	"20"	"36"	"0"
"20x38"	"20"	"38"	"4"
"20x40"	"20"	"40"	"0"
"20x42"	"20"	"42"	"0"
"21x31"	"21"	"31"	"5"
"21x33"	"21"	"33"	"0"
"21x35"	"21"	"35"	"0"
"21x37"	"21"	"37"	"2"
"21x39"	"21"	"39"	"6"
"21x41"	"21"	"41"	"2"
"21x43"	"21"	"43"	"0"
"22x30"	"22"	"30"	"5"
"22x32"	"22"	"32"	"0"
"22x34"	"22"	"34"	"1"
"22x36"	"22"	"36"	"0"
"22x38"	"22"	"38"	"0"
"22x40"	"22"	"40"	"0"
"22x42"	"22"	"42"	"1"
"22x44"	"22"	"44"	"0"
"23x31"	"23"	"31"	"7"
"23x33"	"23"	"33"	"1"
"23x35"	"23"	"35"	"3"
"23x37"	"23"	"37"	"1"
"23x39"	"23"	"39"	"4"
"23x41"	"23"	"41"	"1"
"23x43"	"23"	"43"	"3"
"23x45"	"23"	"45"	"7"
"23x47"	"23"	"47"	"5"
"24x30"	"24"	"30"	"1"
"24x32"	"24"	"32"	"0"
"24x34"	"24"	"34"	"1"
"24x36"	"24"	"36"	"7"
"24x38"	"24"	"38"	"0"
"24x40"	"24"	"40"	"3"
"24x42"	"24"	"42"	"2"
"24x44"	"24"	"44"	"2"
"24x46"	"24"	"46"	"0"
"24x48"	"24"	"48"	"0"
"25x29"	"25"	"29"	"0"
"25x31"	"25"	"31"	"1"
"25x33"	"25"	"33"	"0"
"25x35"	"25"	"35"	"1"
"25x37"	"25"	"37"	"2"
"25x39"	"25"	"39"	"3"
"25x41"	"25"	"41"	"1"
"25x43"	"25"	"43"	"1"
"25x45"	"25"	"45"	"1"
"25x47"	"25"	"47"	"5"
"25x49"	"25"	"49"	"5"
"26x16"	"26"	"16"	"5"
"26x18"	"26"	"18"	"0"
"26x20"	"26"	"20"	"0"
"26x22"	"26"	"22"	"4"
"26x26"	"26"	"26"	"7"
"26x28"	"26"	"28"	"0"
"26x30"	"26"	"30"	"2"
"26x32"	"26"	"32"	"1"
"26x34"	"26"	"34"	"2"
"26x36"	"26"	"36"	"2"
"26x38"	"26"	"38"	"4"
"26x40"	"26"	"40"	"1"
"26x42"	"26"	"42"	"3"
"26x44"	"26"	"44"	"1"
"26x46"	"26"	"46"	"1"
"26x48"	"26"	"48"	"0"
"26x50"	"26"	"50"	"0"
"27x17"	"27"	"17"	"5"
"27x19"	"27"	"19"	"0"
"27x21"	"27"	"21"	"0"
"27x23"	"27"	"23"	"0"
"27x25"	"27"	"25"	"0"
"27x27"	"27"	"27"	"0"
"27x29"	"27"	"29"	"4"
"27x31"	"27"	"31"	"1"
"27x33"	"27"	"33"	"2"
"27x35"	"27"	"35"	"5"
"27x37"	"27"	"37"	"6"
"27x39"	"27"	"39"	"0"
"27x41"	"27"	"41"	"2"
"27x43"	"27"	"43"	"1"
"27x45"	"27"	"45"	"3"
"27x47"	"27"	"47"	"3"
"27x49"	"27"	"49"	"7"
"27x51"	"27"	"51"	"0"
"28x16"	"28"	"16"	"5"
"28x18"	"28"	"18"	"1"
"28x20"	"28"	"20"	"0"
"28x22"	"28"	"22"	"0"
"28x24"	"28"	"24"	"3"
"28x26"	"28"	"26"	"3"
"28x28"	"28"	"28"	"0"
"28x30"	"28"	"30"	"1"
"28x32"	"28"	"32"	"3"
"28x34"	"28"	"34"	"2"
"28x36"	"28"	"36"	"2"
"28x38"	"28"	"38"	"2"
"28x40"	"28"	"40"	"6"
"28x42"	"28"	"42"	"1"
"28x44"	"28"	"44"	"1"
"28x46"	"28"	"46"	"0"
"28x48"	"28"	"48"	"0"
"28x50"	"28"	"50"	"0"
"28x52"	"28"	"52"	"0"
"29x15"	"29"	"15"	"2"
"29x17"	"29"	"17"	"4"
"29x19"	"29"	"19"	"3"
"29x21"	"29"	"21"	"4"
"29x23"	"29"	"23"	"0"
"29x25"	"29"	"25"	"0"
"29x27"	"29"	"27"	"0"
"29x29"	"29"	"29"	"7"
"29x31"	"29"	"31"	"2"
"29x33"	"29"	"33"	"2"
"29x35"	"29"	"35"	"2"
"29x37"	"29"	"37"	"2"
"29x39"	"29"	"39"	"4"
"29x41"	"29"	"41"	"6"
"29x43"	"29"	"43"	"1"
"29x45"	"29"	"45"	"0"
"29x47"	"29"	"47"	"0"
"29x49"	"29"	"49"	"1"
"29x51"	"29"	"51"	"0"
"30x14"	"30"	"14"	"3"
"30x16"	"30"	"16"	"0"
"30x18"	"30"	"18"	"1"
"30x20"	"30"	"20"	"3"
"30x22"	"30"	"22"	"6"
"30x24"	"30"	"24"	"0"
"30x26"	"30"	"26"	"0"
"30x28"	"30"	"28"	"3"
"30x30"	"30"	"30"	"3"
"30x32"	"30"	"32"	"4"
"30x34"	"30"	"34"	"6"
"30x36"	"30"	"36"	"2"
"30x38"	"30"	"38"	"3"
"30x40"	"30"	"40"	"0"
"30x42"	"30"	"42"	"0"
"30x44"	"30"	"44"	"1"
"30x46"	"30"	"46"	"6"
"30x48"	"30"	"48"	"1"
"30x50"	"30"	"50"	"3"
"30x52"	"30"	"52"	"0"
"31x13"	"31"	"13"	"1"
"31x15"	"31"	"15"	"5"
"31x17"	"31"	"17"	"6"
"31x19"	"31"	"19"	"0"
"31x21"	"31"	"21"	"3"
"31x23"	"31"	"23"	"0"
"31x25"	"31"	"25"	"6"
"31x27"	"31"	"27"	"1"
"31x29"	"31"	"29"	"9"
"31x31"	"31"	"31"	"2"
"31x33"	"31"	"33"	"6"
"31x35"	"31"	"35"	"0"
"31x37"	"31"	"37"	"2"
"31x39"	"31"	"39"	"1"
"31x41"	"31"	"41"	"2"
"31x43"	"31"	"43"	"1"
"31x45"	"31"	"45"	"2"
"31x47"	"31"	"47"	"4"
"31x49"	"31"	"49"	"1"
"31x51"	"31"	"51"	"0"
"32x12"	"32"	"12"	"6"
"32x14"	"32"	"14"	"3"
"32x16"	"32"	"16"	"0"
"32x18"	"32"	"18"	"6"
"32x20"	"32"	"20"	"4"
"32x22"	"32"	"22"	"2"
"32x24"	"32"	"24"	"0"
"32x26"	"32"	"26"	"6"
"32x28"	"32"	"28"	"1"
"32x30"	"32"	"30"	"1"
"32x32"	"32"	"32"	"4"
"32x34"	"32"	"34"	"1"
"32x36"	"32"	"36"	"0"
"32x38"	"32"	"38"	"3"
"32x40"	"32"	"40"	"6"
"32x42"	"32"	"42"	"2"
"32x44"	"32"	"44"	"1"
"32x46"	"32"	"46"	"0"
"32x48"	"32"	"48"	"2"
"32x50"	"32"	"50"	"5"
"32x52"	"32"	"52"	"5"
"33x13"	"33"	"13"	"0"
"33x15"	"33"	"15"	"3"
"33x17"	"33"	"17"	"4"
"33x19"	"33"	"19"	"6"
"33x21"	"33"	"21"	"3"
"33x23"	"33"	"23"	"4"
"33x25"	"33"	"25"	"0"
"33x27"	"33"	"27"	"2"
"33x29"	"33"	"29"	"2"
"33x31"	"33"	"31"	"3"
"33x33"	"33"	"33"	"4"
"33x35"	"33"	"35"	"1"
"33x37"	"33"	"37"	"1"
"33x39"	"33"	"39"	"0"
"33x41"	"33"	"41"	"9"
"33x43"	"33"	"43"	"0"
"33x45"	"33"	"45"	"4"
"33x47"	"33"	"47"	"6"
"33x49"	"33"	"49"	"5"
"33x51"	"33"	"51"	"7"
"34x12"	"34"	"12"	"0"
"34x14"	"34"	"14"	"4"
"34x16"	"34"	"16"	"3"
"34x18"	"34"	"18"	"0"
"34x20"	"34"	"20"	"4"
"34x22"	"34"	"22"	"3"
"34x24"	"34"	"24"	"2"
"34x26"	"34"	"26"	"6"
"34x28"	"34"	"28"	"0"
"34x30"	"34"	"30"	"1"
"34x32"	"34"	"32"	"1"
"34x34"	"34"	"34"	"3"
"34x36"	"34"	"36"	"1"
"34x38"	"34"	"38"	"4"
"34x40"	"34"	"40"	"1"
"34x42"	"34"	"42"	"2"
"34x44"	"34"	"44"	"0"
"34x46"	"34"	"46"	"0"
"34x48"	"34"	"48"	"0"
"34x50"	"34"	"50"	"1"
"34x52"	"34"	"52"	"7"
"35x11"	"35"	"11"	"5"
"35x13"	"35"	"13"	"0"
"35x15"	"35"	"15"	"1"
"35x17"	"35"	"17"	"0"
"35x19"	"35"	"19"	"1"
"35x21"	"35"	"21"	"3"
"35x23"	"35"	"23"	"0"
"35x25"	"35"	"25"	"1"
"35x27"	"35"	"27"	"0"
"35x29"	"35"	"29"	"4"
"35x31"	"35"	"31"	"1"
"35x33"	"35"	"33"	"4"
"35x35"	"35"	"35"	"3"
"35x37"	"35"	"37"	"2"
"35x39"	"35"	"39"	"6"
"35x41"	"35"	"41"	"3"
"35x43"	"35"	"43"	"0"
"35x45"	"35"	"45"	"0"
"35x47"	"35"	"47"	"0"
"35x49"	"35"	"49"	"3"
"35x51"	"35"	"51"	"4"
"35x53"	"35"	"53"	"7"
"36x12"	"36"	"12"	"0"
"36x14"	"36"	"14"	"0"
"36x16"	"36"	"16"	"0"
"36x18"	"36"	"18"	"1"
"36x20"	"36"	"20"	"1"
"36x22"	"36"	"22"	"0"
"36x24"	"36"	"24"	"1"
"36x26"	"36"	"26"	"4"
"36x28"	"36"	"28"	"0"
"36x30"	"36"	"30"	"3"
"36x32"	"36"	"32"	"1"
"36x34"	"36"	"34"	"1"
"36x36"	"36"	"36"	"0"
"36x38"	"36"	"38"	"1"
"36x40"	"36"	"40"	"0"
