"x_cord"	"y_cord"	"cluster"
"9x49"	"9"	"49"	"1"
"9x51"	"9"	"51"	"9"
"10x44"	"10"	"44"	"5"
"10x46"	"10"	"46"	"0"
"10x48"	"10"	"48"	"1"
"10x50"	"10"	"50"	"0"
"10x52"	"10"	"52"	"1"
"11x41"	"11"	"41"	"5"
"11x43"	"11"	"43"	"3"
"11x45"	"11"	"45"	"1"
"11x47"	"11"	"47"	"2"
"11x49"	"11"	"49"	"2"
"11x51"	"11"	"51"	"2"
"12x40"	"12"	"40"	"2"
"12x42"	"12"	"42"	"0"
"12x44"	"12"	"44"	"3"
"12x46"	"12"	"46"	"1"
"12x48"	"12"	"48"	"2"
"12x50"	"12"	"50"	"2"
"13x37"	"13"	"37"	"1"
"13x39"	"13"	"39"	"9"
"13x41"	"13"	"41"	"2"
"13x43"	"13"	"43"	"4"
"13x45"	"13"	"45"	"1"
"13x47"	"13"	"47"	"1"
"13x49"	"13"	"49"	"6"
"13x51"	"13"	"51"	"5"
"14x36"	"14"	"36"	"7"
"14x38"	"14"	"38"	"3"
"14x40"	"14"	"40"	"0"
"14x42"	"14"	"42"	"0"
"14x44"	"14"	"44"	"3"
"14x46"	"14"	"46"	"1"
"14x48"	"14"	"48"	"0"
"14x50"	"14"	"50"	"6"
"15x33"	"15"	"33"	"2"
"15x35"	"15"	"35"	"1"
"15x37"	"15"	"37"	"2"
"15x39"	"15"	"39"	"0"
"15x41"	"15"	"41"	"2"
"15x43"	"15"	"43"	"0"
"15x45"	"15"	"45"	"2"
"15x47"	"15"	"47"	"0"
"15x49"	"15"	"49"	"0"
"16x32"	"16"	"32"	"5"
"16x34"	"16"	"34"	"2"
"16x36"	"16"	"36"	"0"
"16x38"	"16"	"38"	"0"
"16x40"	"16"	"40"	"7"
"16x42"	"16"	"42"	"6"
"16x44"	"16"	"44"	"2"
"16x46"	"16"	"46"	"0"
"16x48"	"16"	"48"	"0"
"16x50"	"16"	"50"	"3"
"17x33"	"17"	"33"	"0"
"17x35"	"17"	"35"	"0"
"17x37"	"17"	"37"	"6"
"17x39"	"17"	"39"	"0"
"17x41"	"17"	"41"	"0"
"17x43"	"17"	"43"	"2"
"17x45"	"17"	"45"	"2"
"17x47"	"17"	"47"	"2"
"17x49"	"17"	"49"	"0"
