"x_cord"	"y_cord"	"cluster"
"14x48"	"14"	"48"	"5"
"14x50"	"14"	"50"	"5"
"15x47"	"15"	"47"	"5"
"15x49"	"15"	"49"	"8"
"15x51"	"15"	"51"	"5"
"15x53"	"15"	"53"	"5"
"16x18"	"16"	"18"	"5"
"16x20"	"16"	"20"	"8"
"16x42"	"16"	"42"	"1"
"16x44"	"16"	"44"	"1"
"16x46"	"16"	"46"	"1"
"16x48"	"16"	"48"	"5"
"16x50"	"16"	"50"	"0"
"16x54"	"16"	"54"	"5"
"17x19"	"17"	"19"	"5"
"17x21"	"17"	"21"	"5"
"17x39"	"17"	"39"	"5"
"17x41"	"17"	"41"	"4"
"17x43"	"17"	"43"	"4"
"17x45"	"17"	"45"	"1"
"17x47"	"17"	"47"	"1"
"17x49"	"17"	"49"	"0"
"17x51"	"17"	"51"	"0"
"17x53"	"17"	"53"	"0"
"18x18"	"18"	"18"	"2"
"18x20"	"18"	"20"	"5"
"18x22"	"18"	"22"	"5"
"18x28"	"18"	"28"	"4"
"18x40"	"18"	"40"	"0"
"18x42"	"18"	"42"	"0"
"18x44"	"18"	"44"	"1"
"18x46"	"18"	"46"	"1"
"18x48"	"18"	"48"	"4"
"18x50"	"18"	"50"	"1"
"18x52"	"18"	"52"	"7"
"19x19"	"19"	"19"	"5"
"19x21"	"19"	"21"	"8"
"19x27"	"19"	"27"	"4"
"19x29"	"19"	"29"	"1"
"19x31"	"19"	"31"	"1"
"19x39"	"19"	"39"	"0"
"19x41"	"19"	"41"	"8"
"19x43"	"19"	"43"	"0"
"19x45"	"19"	"45"	"3"
"19x47"	"19"	"47"	"0"
"19x49"	"19"	"49"	"1"
"19x51"	"19"	"51"	"3"
"19x53"	"19"	"53"	"0"
"20x18"	"20"	"18"	"1"
"20x20"	"20"	"20"	"1"
"20x22"	"20"	"22"	"4"
"20x28"	"20"	"28"	"0"
"20x30"	"20"	"30"	"4"
"20x32"	"20"	"32"	"0"
"20x34"	"20"	"34"	"1"
"20x38"	"20"	"38"	"5"
"20x40"	"20"	"40"	"0"
"20x42"	"20"	"42"	"1"
"20x44"	"20"	"44"	"0"
"20x46"	"20"	"46"	"1"
"20x48"	"20"	"48"	"0"
"20x50"	"20"	"50"	"3"
"20x52"	"20"	"52"	"1"
"20x54"	"20"	"54"	"0"
"21x19"	"21"	"19"	"1"
"21x21"	"21"	"21"	"3"
"21x27"	"21"	"27"	"4"
"21x29"	"21"	"29"	"0"
"21x31"	"21"	"31"	"0"
"21x33"	"21"	"33"	"0"
"21x35"	"21"	"35"	"0"
"21x39"	"21"	"39"	"0"
"21x41"	"21"	"41"	"3"
"21x43"	"21"	"43"	"0"
"21x45"	"21"	"45"	"4"
"21x47"	"21"	"47"	"0"
"21x49"	"21"	"49"	"0"
"21x51"	"21"	"51"	"1"
"21x53"	"21"	"53"	"1"
"21x55"	"21"	"55"	"1"
"22x18"	"22"	"18"	"0"
"22x20"	"22"	"20"	"1"
"22x22"	"22"	"22"	"5"
"22x26"	"22"	"26"	"6"
"22x28"	"22"	"28"	"0"
"22x30"	"22"	"30"	"4"
"22x32"	"22"	"32"	"8"
"22x34"	"22"	"34"	"1"
"22x36"	"22"	"36"	"0"
"22x38"	"22"	"38"	"1"
"22x40"	"22"	"40"	"0"
"22x42"	"22"	"42"	"1"
"22x44"	"22"	"44"	"0"
"22x46"	"22"	"46"	"4"
"22x48"	"22"	"48"	"0"
"22x50"	"22"	"50"	"8"
"22x52"	"22"	"52"	"3"
"22x54"	"22"	"54"	"1"
"23x19"	"23"	"19"	"0"
"23x21"	"23"	"21"	"5"
"23x27"	"23"	"27"	"0"
"23x29"	"23"	"29"	"1"
"23x31"	"23"	"31"	"1"
"23x33"	"23"	"33"	"3"
"23x35"	"23"	"35"	"0"
"23x37"	"23"	"37"	"1"
"23x39"	"23"	"39"	"4"
"23x41"	"23"	"41"	"0"
"23x43"	"23"	"43"	"6"
"23x45"	"23"	"45"	"4"
"23x47"	"23"	"47"	"1"
"23x49"	"23"	"49"	"0"
"23x51"	"23"	"51"	"3"
"23x53"	"23"	"53"	"8"
"23x55"	"23"	"55"	"4"
