"x_cord"	"y_cord"	"cluster"
"9x17"	"9"	"17"	"1"
"9x19"	"9"	"19"	"2"
"9x21"	"9"	"21"	"10"
"9x23"	"9"	"23"	"2"
"9x25"	"9"	"25"	"2"
"10x16"	"10"	"16"	"2"
"10x18"	"10"	"18"	"7"
"10x20"	"10"	"20"	"0"
"10x22"	"10"	"22"	"2"
"10x24"	"10"	"24"	"0"
"10x26"	"10"	"26"	"1"
"10x28"	"10"	"28"	"2"
"11x15"	"11"	"15"	"2"
"11x17"	"11"	"17"	"2"
"11x19"	"11"	"19"	"6"
"11x21"	"11"	"21"	"2"
"11x23"	"11"	"23"	"0"
"11x25"	"11"	"25"	"2"
"11x27"	"11"	"27"	"2"
"11x29"	"11"	"29"	"2"
"11x31"	"11"	"31"	"1"
"12x14"	"12"	"14"	"2"
"12x16"	"12"	"16"	"2"
"12x18"	"12"	"18"	"0"
"12x20"	"12"	"20"	"6"
"12x22"	"12"	"22"	"2"
"12x24"	"12"	"24"	"0"
"12x26"	"12"	"26"	"2"
"12x28"	"12"	"28"	"2"
"12x30"	"12"	"30"	"2"
"12x32"	"12"	"32"	"1"
"13x13"	"13"	"13"	"0"
"13x15"	"13"	"15"	"2"
"13x17"	"13"	"17"	"0"
"13x19"	"13"	"19"	"7"
"13x21"	"13"	"21"	"6"
"13x23"	"13"	"23"	"0"
"13x25"	"13"	"25"	"0"
"13x27"	"13"	"27"	"2"
"13x29"	"13"	"29"	"7"
"13x31"	"13"	"31"	"10"
"13x33"	"13"	"33"	"2"
"14x12"	"14"	"12"	"2"
"14x14"	"14"	"14"	"2"
"14x16"	"14"	"16"	"2"
"14x18"	"14"	"18"	"0"
"14x20"	"14"	"20"	"7"
"14x22"	"14"	"22"	"6"
"14x24"	"14"	"24"	"2"
"14x26"	"14"	"26"	"7"
"14x28"	"14"	"28"	"2"
"14x30"	"14"	"30"	"7"
"14x32"	"14"	"32"	"0"
"15x11"	"15"	"11"	"1"
"15x13"	"15"	"13"	"2"
"15x15"	"15"	"15"	"2"
"15x17"	"15"	"17"	"0"
"15x19"	"15"	"19"	"0"
"15x21"	"15"	"21"	"6"
"15x23"	"15"	"23"	"2"
"15x25"	"15"	"25"	"7"
"15x27"	"15"	"27"	"2"
"15x29"	"15"	"29"	"0"
"15x31"	"15"	"31"	"7"
"15x33"	"15"	"33"	"0"
"16x12"	"16"	"12"	"0"
"16x14"	"16"	"14"	"0"
"16x16"	"16"	"16"	"2"
"16x18"	"16"	"18"	"2"
"16x20"	"16"	"20"	"2"
"16x22"	"16"	"22"	"6"
"16x24"	"16"	"24"	"2"
"16x26"	"16"	"26"	"9"
"16x28"	"16"	"28"	"2"
"16x30"	"16"	"30"	"2"
"16x32"	"16"	"32"	"6"
"16x34"	"16"	"34"	"2"
"17x11"	"17"	"11"	"2"
"17x13"	"17"	"13"	"2"
"17x15"	"17"	"15"	"2"
"17x17"	"17"	"17"	"0"
"17x19"	"17"	"19"	"2"
"17x21"	"17"	"21"	"0"
"17x23"	"17"	"23"	"2"
"17x25"	"17"	"25"	"2"
"17x27"	"17"	"27"	"2"
"17x29"	"17"	"29"	"3"
"17x31"	"17"	"31"	"2"
"17x33"	"17"	"33"	"2"
"17x35"	"17"	"35"	"2"
"18x10"	"18"	"10"	"2"
"18x12"	"18"	"12"	"0"
"18x14"	"18"	"14"	"2"
"18x16"	"18"	"16"	"2"
"18x18"	"18"	"18"	"2"
"18x20"	"18"	"20"	"0"
"18x22"	"18"	"22"	"0"
"18x24"	"18"	"24"	"2"
"18x26"	"18"	"26"	"2"
"18x28"	"18"	"28"	"3"
"18x30"	"18"	"30"	"2"
"18x32"	"18"	"32"	"2"
"18x34"	"18"	"34"	"2"
"19x9"	"19"	"9"	"2"
"19x11"	"19"	"11"	"2"
"19x13"	"19"	"13"	"6"
"19x15"	"19"	"15"	"2"
"19x17"	"19"	"17"	"2"
"19x19"	"19"	"19"	"2"
"19x21"	"19"	"21"	"0"
"19x23"	"19"	"23"	"0"
"19x25"	"19"	"25"	"2"
"19x27"	"19"	"27"	"2"
"19x29"	"19"	"29"	"9"
"19x31"	"19"	"31"	"9"
"19x33"	"19"	"33"	"2"
"19x35"	"19"	"35"	"3"
"20x10"	"20"	"10"	"0"
"20x12"	"20"	"12"	"0"
"20x14"	"20"	"14"	"6"
"20x16"	"20"	"16"	"0"
"20x18"	"20"	"18"	"3"
"20x20"	"20"	"20"	"0"
"20x22"	"20"	"22"	"0"
"20x24"	"20"	"24"	"0"
"20x26"	"20"	"26"	"0"
"20x28"	"20"	"28"	"2"
"20x30"	"20"	"30"	"2"
"20x32"	"20"	"32"	"9"
"20x34"	"20"	"34"	"2"
"20x36"	"20"	"36"	"2"
"21x11"	"21"	"11"	"2"
"21x13"	"21"	"13"	"0"
"21x15"	"21"	"15"	"0"
"21x17"	"21"	"17"	"2"
"21x19"	"21"	"19"	"2"
"21x21"	"21"	"21"	"0"
"21x23"	"21"	"23"	"0"
"21x25"	"21"	"25"	"2"
"21x27"	"21"	"27"	"2"
"21x31"	"21"	"31"	"9"
"21x33"	"21"	"33"	"2"
"21x35"	"21"	"35"	"9"
"21x37"	"21"	"37"	"2"
"22x12"	"22"	"12"	"2"
"22x14"	"22"	"14"	"2"
"22x16"	"22"	"16"	"2"
"22x18"	"22"	"18"	"2"
"22x20"	"22"	"20"	"2"
"22x22"	"22"	"22"	"0"
"22x24"	"22"	"24"	"2"
"22x26"	"22"	"26"	"2"
"22x28"	"22"	"28"	"2"
"22x30"	"22"	"30"	"6"
"22x32"	"22"	"32"	"0"
"22x34"	"22"	"34"	"9"
"22x36"	"22"	"36"	"7"
"23x13"	"23"	"13"	"2"
"23x15"	"23"	"15"	"2"
"23x17"	"23"	"17"	"0"
"23x19"	"23"	"19"	"0"
"23x21"	"23"	"21"	"0"
"23x23"	"23"	"23"	"0"
"23x25"	"23"	"25"	"2"
"23x27"	"23"	"27"	"2"
"23x29"	"23"	"29"	"2"
"23x31"	"23"	"31"	"0"
"23x33"	"23"	"33"	"2"
"23x35"	"23"	"35"	"6"
"23x37"	"23"	"37"	"0"
"24x12"	"24"	"12"	"2"
"24x14"	"24"	"14"	"2"
"24x16"	"24"	"16"	"2"
"24x18"	"24"	"18"	"0"
"24x20"	"24"	"20"	"0"
"24x22"	"24"	"22"	"0"
"24x24"	"24"	"24"	"0"
"24x26"	"24"	"26"	"2"
"24x28"	"24"	"28"	"0"
"24x30"	"24"	"30"	"0"
"24x32"	"24"	"32"	"0"
"24x34"	"24"	"34"	"6"
"24x36"	"24"	"36"	"0"
"24x38"	"24"	"38"	"0"
"25x11"	"25"	"11"	"2"
"25x13"	"25"	"13"	"2"
"25x15"	"25"	"15"	"2"
"25x17"	"25"	"17"	"2"
"25x19"	"25"	"19"	"2"
"25x21"	"25"	"21"	"0"
"25x23"	"25"	"23"	"0"
"25x25"	"25"	"25"	"2"
"25x27"	"25"	"27"	"0"
"25x29"	"25"	"29"	"0"
"25x31"	"25"	"31"	"0"
"25x33"	"25"	"33"	"6"
"25x35"	"25"	"35"	"2"
"25x37"	"25"	"37"	"0"
"25x39"	"25"	"39"	"7"
"26x12"	"26"	"12"	"2"
"26x14"	"26"	"14"	"2"
"26x16"	"26"	"16"	"0"
"26x18"	"26"	"18"	"3"
"26x20"	"26"	"20"	"2"
"26x22"	"26"	"22"	"0"
"26x24"	"26"	"24"	"2"
"26x26"	"26"	"26"	"0"
"26x28"	"26"	"28"	"0"
"26x30"	"26"	"30"	"2"
"26x32"	"26"	"32"	"6"
"26x34"	"26"	"34"	"2"
"26x36"	"26"	"36"	"3"
"26x38"	"26"	"38"	"2"
"26x40"	"26"	"40"	"4"
"27x13"	"27"	"13"	"3"
"27x15"	"27"	"15"	"2"
"27x17"	"27"	"17"	"3"
"27x19"	"27"	"19"	"2"
"27x21"	"27"	"21"	"0"
"27x23"	"27"	"23"	"2"
"27x25"	"27"	"25"	"0"
"27x27"	"27"	"27"	"0"
"27x29"	"27"	"29"	"2"
"27x31"	"27"	"31"	"2"
"27x33"	"27"	"33"	"0"
"27x35"	"27"	"35"	"2"
"27x37"	"27"	"37"	"0"
"27x39"	"27"	"39"	"2"
"27x41"	"27"	"41"	"1"
"28x12"	"28"	"12"	"2"
"28x14"	"28"	"14"	"3"
"28x16"	"28"	"16"	"9"
"28x18"	"28"	"18"	"2"
"28x20"	"28"	"20"	"0"
"28x22"	"28"	"22"	"2"
"28x24"	"28"	"24"	"2"
"28x26"	"28"	"26"	"2"
"28x28"	"28"	"28"	"3"
"28x30"	"28"	"30"	"2"
"28x32"	"28"	"32"	"2"
"28x34"	"28"	"34"	"0"
"28x36"	"28"	"36"	"2"
"28x38"	"28"	"38"	"0"
"28x40"	"28"	"40"	"3"
"29x11"	"29"	"11"	"2"
"29x13"	"29"	"13"	"2"
"29x15"	"29"	"15"	"2"
"29x17"	"29"	"17"	"2"
"29x19"	"29"	"19"	"2"
"29x21"	"29"	"21"	"2"
"29x23"	"29"	"23"	"2"
"29x25"	"29"	"25"	"3"
"29x27"	"29"	"27"	"1"
"29x29"	"29"	"29"	"2"
"29x31"	"29"	"31"	"2"
"29x33"	"29"	"33"	"6"
"29x35"	"29"	"35"	"2"
"29x37"	"29"	"37"	"2"
"29x39"	"29"	"39"	"2"
"29x41"	"29"	"41"	"9"
"30x12"	"30"	"12"	"2"
"30x14"	"30"	"14"	"2"
"30x16"	"30"	"16"	"0"
"30x18"	"30"	"18"	"2"
"30x20"	"30"	"20"	"2"
"30x22"	"30"	"22"	"2"
"30x24"	"30"	"24"	"3"
"30x26"	"30"	"26"	"3"
"30x28"	"30"	"28"	"2"
"30x30"	"30"	"30"	"7"
"30x32"	"30"	"32"	"0"
"30x34"	"30"	"34"	"0"
"30x36"	"30"	"36"	"0"
"30x38"	"30"	"38"	"0"
"30x40"	"30"	"40"	"0"
"30x42"	"30"	"42"	"9"
"31x11"	"31"	"11"	"2"
"31x13"	"31"	"13"	"1"
"31x15"	"31"	"15"	"0"
"31x17"	"31"	"17"	"0"
"31x19"	"31"	"19"	"2"
"31x21"	"31"	"21"	"2"
"31x23"	"31"	"23"	"2"
"31x25"	"31"	"25"	"0"
"31x27"	"31"	"27"	"2"
"31x29"	"31"	"29"	"0"
"31x31"	"31"	"31"	"0"
"31x33"	"31"	"33"	"6"
"31x35"	"31"	"35"	"0"
"31x37"	"31"	"37"	"2"
"31x39"	"31"	"39"	"2"
"31x41"	"31"	"41"	"9"
"31x43"	"31"	"43"	"9"
"32x12"	"32"	"12"	"2"
"32x14"	"32"	"14"	"2"
"32x16"	"32"	"16"	"2"
"32x18"	"32"	"18"	"6"
"32x20"	"32"	"20"	"2"
"32x22"	"32"	"22"	"2"
"32x24"	"32"	"24"	"2"
"32x26"	"32"	"26"	"0"
"32x28"	"32"	"28"	"0"
"32x30"	"32"	"30"	"0"
"32x32"	"32"	"32"	"6"
"32x34"	"32"	"34"	"6"
"32x36"	"32"	"36"	"0"
"32x38"	"32"	"38"	"2"
"32x40"	"32"	"40"	"2"
"32x42"	"32"	"42"	"9"
"32x44"	"32"	"44"	"9"
"33x11"	"33"	"11"	"2"
"33x13"	"33"	"13"	"2"
"33x15"	"33"	"15"	"10"
"33x17"	"33"	"17"	"6"
"33x19"	"33"	"19"	"9"
"33x21"	"33"	"21"	"9"
"33x23"	"33"	"23"	"2"
"33x25"	"33"	"25"	"2"
"33x27"	"33"	"27"	"0"
"33x29"	"33"	"29"	"6"
"33x31"	"33"	"31"	"2"
"33x33"	"33"	"33"	"6"
"33x35"	"33"	"35"	"2"
"33x37"	"33"	"37"	"3"
"33x39"	"33"	"39"	"2"
"33x41"	"33"	"41"	"2"
"33x43"	"33"	"43"	"2"
"34x12"	"34"	"12"	"0"
"34x14"	"34"	"14"	"2"
"34x16"	"34"	"16"	"0"
"34x18"	"34"	"18"	"6"
"34x20"	"34"	"20"	"2"
"34x22"	"34"	"22"	"0"
"34x24"	"34"	"24"	"2"
"34x26"	"34"	"26"	"2"
"34x28"	"34"	"28"	"0"
"34x30"	"34"	"30"	"2"
"34x32"	"34"	"32"	"2"
"34x34"	"34"	"34"	"6"
"34x36"	"34"	"36"	"3"
"34x38"	"34"	"38"	"2"
"34x40"	"34"	"40"	"0"
"34x42"	"34"	"42"	"2"
"34x44"	"34"	"44"	"2"
"35x13"	"35"	"13"	"2"
"35x15"	"35"	"15"	"2"
"35x17"	"35"	"17"	"0"
"35x19"	"35"	"19"	"2"
"35x21"	"35"	"21"	"6"
"35x23"	"35"	"23"	"0"
"35x25"	"35"	"25"	"2"
"35x27"	"35"	"27"	"0"
"35x29"	"35"	"29"	"2"
"35x31"	"35"	"31"	"2"
"35x33"	"35"	"33"	"6"
"35x35"	"35"	"35"	"2"
"35x37"	"35"	"37"	"3"
"35x39"	"35"	"39"	"6"
"35x41"	"35"	"41"	"2"
"35x43"	"35"	"43"	"3"
"35x45"	"35"	"45"	"2"
"36x12"	"36"	"12"	"2"
"36x14"	"36"	"14"	"2"
"36x16"	"36"	"16"	"0"
"36x18"	"36"	"18"	"0"
"36x20"	"36"	"20"	"2"
"36x22"	"36"	"22"	"0"
"36x24"	"36"	"24"	"2"
"36x26"	"36"	"26"	"0"
"36x28"	"36"	"28"	"0"
"36x30"	"36"	"30"	"2"
"36x32"	"36"	"32"	"0"
"36x34"	"36"	"34"	"6"
"36x36"	"36"	"36"	"0"
"36x38"	"36"	"38"	"6"
"36x40"	"36"	"40"	"2"
"36x42"	"36"	"42"	"2"
"36x44"	"36"	"44"	"3"
"36x46"	"36"	"46"	"2"
"37x13"	"37"	"13"	"2"
"37x15"	"37"	"15"	"0"
"37x17"	"37"	"17"	"0"
"37x19"	"37"	"19"	"2"
"37x21"	"37"	"21"	"9"
"37x23"	"37"	"23"	"9"
"37x25"	"37"	"25"	"0"
"37x27"	"37"	"27"	"6"
"37x29"	"37"	"29"	"2"
"37x31"	"37"	"31"	"0"
"37x33"	"37"	"33"	"6"
"37x35"	"37"	"35"	"6"
"37x37"	"37"	"37"	"6"
"37x39"	"37"	"39"	"0"
"37x41"	"37"	"41"	"2"
"37x43"	"37"	"43"	"2"
"37x45"	"37"	"45"	"2"
"38x14"	"38"	"14"	"2"
"38x16"	"38"	"16"	"6"
"38x18"	"38"	"18"	"2"
"38x20"	"38"	"20"	"3"
"38x22"	"38"	"22"	"9"
"38x24"	"38"	"24"	"2"
"38x26"	"38"	"26"	"6"
"38x28"	"38"	"28"	"2"
"38x30"	"38"	"30"	"2"
"38x32"	"38"	"32"	"6"
"38x34"	"38"	"34"	"0"
"38x36"	"38"	"36"	"0"
"38x38"	"38"	"38"	"0"
"38x40"	"38"	"40"	"2"
"38x42"	"38"	"42"	"2"
"38x44"	"38"	"44"	"0"
"38x46"	"38"	"46"	"0"
"39x13"	"39"	"13"	"2"
"39x15"	"39"	"15"	"0"
"39x17"	"39"	"17"	"6"
"39x19"	"39"	"19"	"2"
"39x21"	"39"	"21"	"3"
"39x23"	"39"	"23"	"2"
"39x25"	"39"	"25"	"0"
"39x27"	"39"	"27"	"0"
"39x29"	"39"	"29"	"2"
"39x31"	"39"	"31"	"6"
"39x33"	"39"	"33"	"0"
"39x35"	"39"	"35"	"0"
"39x37"	"39"	"37"	"0"
"39x39"	"39"	"39"	"0"
"39x41"	"39"	"41"	"0"
"39x43"	"39"	"43"	"0"
"39x45"	"39"	"45"	"0"
"39x47"	"39"	"47"	"2"
"40x14"	"40"	"14"	"0"
"40x16"	"40"	"16"	"0"
"40x18"	"40"	"18"	"2"
"40x20"	"40"	"20"	"3"
"40x22"	"40"	"22"	"2"
"40x24"	"40"	"24"	"2"
"40x26"	"40"	"26"	"2"
"40x28"	"40"	"28"	"0"
"40x30"	"40"	"30"	"0"
"40x32"	"40"	"32"	"0"
"40x34"	"40"	"34"	"0"
"40x36"	"40"	"36"	"0"
"40x38"	"40"	"38"	"6"
"40x40"	"40"	"40"	"2"
"40x42"	"40"	"42"	"0"
"40x44"	"40"	"44"	"0"
"40x46"	"40"	"46"	"2"
"41x13"	"41"	"13"	"0"
"41x15"	"41"	"15"	"2"
"41x17"	"41"	"17"	"2"
"41x19"	"41"	"19"	"2"
"41x21"	"41"	"21"	"2"
"41x23"	"41"	"23"	"2"
"41x25"	"41"	"25"	"2"
"41x27"	"41"	"27"	"2"
