"x_cord"	"y_cord"	"cluster"
"16x32"	"16"	"32"	"5"
"16x34"	"16"	"34"	"1"
"16x36"	"16"	"36"	"5"
"16x38"	"16"	"38"	"1"
"16x40"	"16"	"40"	"1"
"16x42"	"16"	"42"	"8"
"16x44"	"16"	"44"	"8"
"17x27"	"17"	"27"	"8"
"17x29"	"17"	"29"	"1"
"17x31"	"17"	"31"	"5"
"17x33"	"17"	"33"	"8"
"17x35"	"17"	"35"	"1"
"17x37"	"17"	"37"	"5"
"17x39"	"17"	"39"	"1"
"17x41"	"17"	"41"	"3"
"17x43"	"17"	"43"	"8"
"17x45"	"17"	"45"	"1"
"17x47"	"17"	"47"	"8"
"18x26"	"18"	"26"	"5"
"18x28"	"18"	"28"	"0"
"18x30"	"18"	"30"	"1"
"18x32"	"18"	"32"	"6"
"18x34"	"18"	"34"	"4"
"18x36"	"18"	"36"	"6"
"18x38"	"18"	"38"	"1"
"18x40"	"18"	"40"	"1"
"18x42"	"18"	"42"	"3"
"18x44"	"18"	"44"	"1"
"18x46"	"18"	"46"	"5"
"18x48"	"18"	"48"	"1"
"19x25"	"19"	"25"	"8"
"19x27"	"19"	"27"	"0"
"19x29"	"19"	"29"	"1"
"19x31"	"19"	"31"	"1"
"19x33"	"19"	"33"	"6"
"19x35"	"19"	"35"	"6"
"19x37"	"19"	"37"	"1"
"19x39"	"19"	"39"	"3"
"19x41"	"19"	"41"	"2"
"19x43"	"19"	"43"	"5"
"19x45"	"19"	"45"	"1"
"19x47"	"19"	"47"	"1"
"19x49"	"19"	"49"	"0"
"20x24"	"20"	"24"	"4"
"20x26"	"20"	"26"	"1"
"20x28"	"20"	"28"	"4"
"20x30"	"20"	"30"	"3"
"20x32"	"20"	"32"	"0"
"20x34"	"20"	"34"	"6"
"20x36"	"20"	"36"	"0"
"20x38"	"20"	"38"	"3"
"20x40"	"20"	"40"	"0"
"20x42"	"20"	"42"	"3"
"20x44"	"20"	"44"	"1"
"20x46"	"20"	"46"	"1"
"20x48"	"20"	"48"	"1"
"21x23"	"21"	"23"	"5"
"21x25"	"21"	"25"	"1"
"21x27"	"21"	"27"	"3"
"21x29"	"21"	"29"	"8"
"21x31"	"21"	"31"	"3"
"21x33"	"21"	"33"	"4"
"21x35"	"21"	"35"	"6"
"21x37"	"21"	"37"	"3"
"21x39"	"21"	"39"	"1"
"21x41"	"21"	"41"	"0"
"21x43"	"21"	"43"	"1"
"21x45"	"21"	"45"	"1"
"21x47"	"21"	"47"	"1"
"21x49"	"21"	"49"	"1"
"22x22"	"22"	"22"	"1"
"22x24"	"22"	"24"	"4"
"22x26"	"22"	"26"	"3"
"22x28"	"22"	"28"	"4"
"22x30"	"22"	"30"	"4"
"22x32"	"22"	"32"	"1"
"22x34"	"22"	"34"	"4"
"22x36"	"22"	"36"	"1"
"22x38"	"22"	"38"	"3"
"22x40"	"22"	"40"	"0"
"22x42"	"22"	"42"	"1"
"22x44"	"22"	"44"	"3"
"22x46"	"22"	"46"	"4"
"22x48"	"22"	"48"	"1"
"23x21"	"23"	"21"	"3"
"23x23"	"23"	"23"	"1"
"23x25"	"23"	"25"	"1"
"23x27"	"23"	"27"	"0"
"23x29"	"23"	"29"	"3"
"23x31"	"23"	"31"	"3"
"23x33"	"23"	"33"	"3"
"23x35"	"23"	"35"	"0"
"23x37"	"23"	"37"	"1"
"23x39"	"23"	"39"	"4"
"23x41"	"23"	"41"	"0"
"23x43"	"23"	"43"	"1"
"23x45"	"23"	"45"	"1"
"23x47"	"23"	"47"	"0"
"23x49"	"23"	"49"	"1"
"24x20"	"24"	"20"	"0"
"24x22"	"24"	"22"	"3"
"24x24"	"24"	"24"	"0"
"24x26"	"24"	"26"	"1"
"24x28"	"24"	"28"	"4"
"24x30"	"24"	"30"	"1"
"24x32"	"24"	"32"	"1"
"24x34"	"24"	"34"	"1"
"24x36"	"24"	"36"	"1"
"24x38"	"24"	"38"	"0"
"24x40"	"24"	"40"	"0"
"24x42"	"24"	"42"	"0"
"24x44"	"24"	"44"	"3"
"24x46"	"24"	"46"	"0"
"24x48"	"24"	"48"	"0"
"25x17"	"25"	"17"	"5"
"25x19"	"25"	"19"	"1"
"25x21"	"25"	"21"	"4"
"25x23"	"25"	"23"	"3"
"25x25"	"25"	"25"	"4"
"25x27"	"25"	"27"	"4"
"25x29"	"25"	"29"	"1"
"25x31"	"25"	"31"	"0"
"25x33"	"25"	"33"	"1"
"25x35"	"25"	"35"	"3"
"25x37"	"25"	"37"	"1"
"25x39"	"25"	"39"	"0"
"25x41"	"25"	"41"	"3"
"25x43"	"25"	"43"	"0"
"25x45"	"25"	"45"	"1"
"25x47"	"25"	"47"	"0"
"26x16"	"26"	"16"	"8"
"26x18"	"26"	"18"	"1"
"26x20"	"26"	"20"	"1"
"26x22"	"26"	"22"	"6"
"26x24"	"26"	"24"	"1"
"26x26"	"26"	"26"	"1"
"26x28"	"26"	"28"	"1"
"26x30"	"26"	"30"	"1"
"26x32"	"26"	"32"	"3"
"26x34"	"26"	"34"	"4"
"26x36"	"26"	"36"	"1"
"26x38"	"26"	"38"	"0"
"26x40"	"26"	"40"	"4"
"26x42"	"26"	"42"	"3"
"26x44"	"26"	"44"	"0"
"26x46"	"26"	"46"	"1"
"26x48"	"26"	"48"	"0"
"27x15"	"27"	"15"	"5"
"27x17"	"27"	"17"	"8"
"27x19"	"27"	"19"	"1"
"27x21"	"27"	"21"	"4"
"27x23"	"27"	"23"	"5"
"27x25"	"27"	"25"	"4"
"27x27"	"27"	"27"	"1"
"27x29"	"27"	"29"	"3"
"27x31"	"27"	"31"	"1"
"27x33"	"27"	"33"	"1"
"27x35"	"27"	"35"	"0"
"27x37"	"27"	"37"	"1"
"27x39"	"27"	"39"	"0"
"27x41"	"27"	"41"	"1"
"27x43"	"27"	"43"	"1"
"27x45"	"27"	"45"	"1"
"27x47"	"27"	"47"	"4"
"28x16"	"28"	"16"	"5"
"28x18"	"28"	"18"	"1"
"28x20"	"28"	"20"	"0"
"28x22"	"28"	"22"	"0"
"28x24"	"28"	"24"	"4"
"28x26"	"28"	"26"	"4"
"28x28"	"28"	"28"	"1"
"28x30"	"28"	"30"	"1"
"28x32"	"28"	"32"	"4"
"28x34"	"28"	"34"	"0"
"28x36"	"28"	"36"	"1"
"28x38"	"28"	"38"	"4"
"28x40"	"28"	"40"	"0"
"28x42"	"28"	"42"	"1"
"28x44"	"28"	"44"	"0"
"28x46"	"28"	"46"	"1"
"28x48"	"28"	"48"	"1"
"29x17"	"29"	"17"	"1"
"29x19"	"29"	"19"	"1"
"29x21"	"29"	"21"	"1"
"29x23"	"29"	"23"	"1"
"29x25"	"29"	"25"	"1"
"29x27"	"29"	"27"	"1"
"29x29"	"29"	"29"	"6"
"29x31"	"29"	"31"	"1"
"29x33"	"29"	"33"	"0"
"29x35"	"29"	"35"	"6"
"29x37"	"29"	"37"	"1"
"29x39"	"29"	"39"	"0"
"29x41"	"29"	"41"	"4"
"29x43"	"29"	"43"	"0"
"29x45"	"29"	"45"	"3"
"29x47"	"29"	"47"	"1"
"30x16"	"30"	"16"	"8"
"30x18"	"30"	"18"	"3"
"30x20"	"30"	"20"	"3"
"30x22"	"30"	"22"	"3"
"30x24"	"30"	"24"	"3"
"30x26"	"30"	"26"	"1"
"30x28"	"30"	"28"	"0"
"30x30"	"30"	"30"	"0"
"30x32"	"30"	"32"	"0"
"30x34"	"30"	"34"	"0"
"30x36"	"30"	"36"	"0"
"30x38"	"30"	"38"	"0"
"30x40"	"30"	"40"	"1"
"30x42"	"30"	"42"	"0"
"30x44"	"30"	"44"	"1"
"30x46"	"30"	"46"	"1"
"30x48"	"30"	"48"	"2"
"31x17"	"31"	"17"	"1"
"31x19"	"31"	"19"	"1"
"31x21"	"31"	"21"	"4"
"31x23"	"31"	"23"	"1"
"31x25"	"31"	"25"	"4"
"31x27"	"31"	"27"	"3"
"31x29"	"31"	"29"	"4"
"31x31"	"31"	"31"	"1"
"31x33"	"31"	"33"	"4"
"31x35"	"31"	"35"	"0"
"31x37"	"31"	"37"	"0"
"31x39"	"31"	"39"	"4"
"31x41"	"31"	"41"	"1"
"31x43"	"31"	"43"	"1"
"31x45"	"31"	"45"	"1"
"31x47"	"31"	"47"	"0"
"32x16"	"32"	"16"	"0"
"32x18"	"32"	"18"	"0"
"32x20"	"32"	"20"	"1"
"32x22"	"32"	"22"	"0"
"32x24"	"32"	"24"	"3"
"32x26"	"32"	"26"	"8"
"32x28"	"32"	"28"	"1"
"32x30"	"32"	"30"	"0"
"32x32"	"32"	"32"	"0"
"32x34"	"32"	"34"	"1"
"32x36"	"32"	"36"	"1"
"32x38"	"32"	"38"	"1"
"32x40"	"32"	"40"	"1"
"32x42"	"32"	"42"	"1"
"32x44"	"32"	"44"	"3"
"32x46"	"32"	"46"	"4"
"33x15"	"33"	"15"	"5"
"33x17"	"33"	"17"	"0"
"33x19"	"33"	"19"	"1"
"33x21"	"33"	"21"	"3"
"33x23"	"33"	"23"	"0"
"33x25"	"33"	"25"	"3"
"33x27"	"33"	"27"	"1"
"33x29"	"33"	"29"	"0"
"33x31"	"33"	"31"	"0"
"33x33"	"33"	"33"	"0"
"33x35"	"33"	"35"	"3"
"33x37"	"33"	"37"	"1"
"33x39"	"33"	"39"	"1"
"33x41"	"33"	"41"	"3"
"33x43"	"33"	"43"	"1"
"33x45"	"33"	"45"	"3"
"33x47"	"33"	"47"	"0"
"34x16"	"34"	"16"	"1"
"34x18"	"34"	"18"	"1"
"34x20"	"34"	"20"	"4"
"34x22"	"34"	"22"	"1"
"34x24"	"34"	"24"	"4"
"34x26"	"34"	"26"	"1"
"34x28"	"34"	"28"	"4"
"34x30"	"34"	"30"	"0"
"34x32"	"34"	"32"	"6"
"34x34"	"34"	"34"	"0"
"34x36"	"34"	"36"	"3"
"34x38"	"34"	"38"	"3"
"34x40"	"34"	"40"	"1"
"34x42"	"34"	"42"	"1"
"34x44"	"34"	"44"	"3"
"34x46"	"34"	"46"	"1"
"35x17"	"35"	"17"	"1"
"35x19"	"35"	"19"	"1"
"35x21"	"35"	"21"	"4"
"35x23"	"35"	"23"	"3"
"35x25"	"35"	"25"	"3"
"35x27"	"35"	"27"	"1"
"35x29"	"35"	"29"	"1"
"35x31"	"35"	"31"	"0"
"35x33"	"35"	"33"	"0"
"35x35"	"35"	"35"	"4"
"35x37"	"35"	"37"	"3"
"35x39"	"35"	"39"	"1"
"35x41"	"35"	"41"	"0"
"35x43"	"35"	"43"	"3"
"35x45"	"35"	"45"	"1"
"35x47"	"35"	"47"	"8"
"36x18"	"36"	"18"	"1"
"36x20"	"36"	"20"	"4"
"36x22"	"36"	"22"	"1"
"36x24"	"36"	"24"	"3"
"36x26"	"36"	"26"	"1"
"36x28"	"36"	"28"	"4"
"36x30"	"36"	"30"	"1"
"36x32"	"36"	"32"	"0"
"36x34"	"36"	"34"	"0"
"36x36"	"36"	"36"	"3"
"36x38"	"36"	"38"	"4"
"36x40"	"36"	"40"	"0"
"36x42"	"36"	"42"	"0"
"36x44"	"36"	"44"	"1"
"36x46"	"36"	"46"	"4"
"37x17"	"37"	"17"	"1"
"37x19"	"37"	"19"	"1"
"37x21"	"37"	"21"	"4"
"37x23"	"37"	"23"	"5"
"37x25"	"37"	"25"	"1"
"37x27"	"37"	"27"	"1"
"37x29"	"37"	"29"	"0"
"37x31"	"37"	"31"	"4"
"37x33"	"37"	"33"	"1"
"37x35"	"37"	"35"	"1"
"37x37"	"37"	"37"	"1"
"37x39"	"37"	"39"	"4"
"37x41"	"37"	"41"	"1"
"37x43"	"37"	"43"	"0"
"37x45"	"37"	"45"	"1"
"37x47"	"37"	"47"	"2"
"38x18"	"38"	"18"	"5"
"38x20"	"38"	"20"	"1"
"38x22"	"38"	"22"	"1"
"38x24"	"38"	"24"	"4"
"38x26"	"38"	"26"	"1"
"38x28"	"38"	"28"	"0"
"38x30"	"38"	"30"	"0"
"38x32"	"38"	"32"	"4"
"38x34"	"38"	"34"	"0"
"38x36"	"38"	"36"	"0"
"38x38"	"38"	"38"	"6"
"38x40"	"38"	"40"	"0"
"38x42"	"38"	"42"	"0"
"38x44"	"38"	"44"	"1"
"38x46"	"38"	"46"	"8"
"39x17"	"39"	"17"	"8"
"39x19"	"39"	"19"	"5"
"39x21"	"39"	"21"	"1"
"39x23"	"39"	"23"	"0"
"39x25"	"39"	"25"	"4"
"39x27"	"39"	"27"	"4"
"39x29"	"39"	"29"	"1"
"39x31"	"39"	"31"	"1"
"39x33"	"39"	"33"	"0"
"39x35"	"39"	"35"	"0"
"39x37"	"39"	"37"	"0"
"39x39"	"39"	"39"	"1"
"39x41"	"39"	"41"	"1"
"39x43"	"39"	"43"	"0"
"39x45"	"39"	"45"	"1"
"40x18"	"40"	"18"	"8"
"40x20"	"40"	"20"	"5"
"40x22"	"40"	"22"	"4"
"40x24"	"40"	"24"	"4"
"40x26"	"40"	"26"	"0"
"40x28"	"40"	"28"	"4"
"40x30"	"40"	"30"	"1"
"40x32"	"40"	"32"	"4"
"40x34"	"40"	"34"	"1"
"40x36"	"40"	"36"	"1"
"40x38"	"40"	"38"	"1"
"40x40"	"40"	"40"	"3"
"40x42"	"40"	"42"	"1"
"40x44"	"40"	"44"	"0"
"40x46"	"40"	"46"	"1"
"41x17"	"41"	"17"	"8"
"41x19"	"41"	"19"	"1"
"41x21"	"41"	"21"	"1"
"41x23"	"41"	"23"	"5"
"41x25"	"41"	"25"	"1"
"41x27"	"41"	"27"	"0"
"41x29"	"41"	"29"	"4"
"41x31"	"41"	"31"	"4"
"41x33"	"41"	"33"	"1"
"41x35"	"41"	"35"	"4"
"41x37"	"41"	"37"	"3"
"41x39"	"41"	"39"	"1"
"41x41"	"41"	"41"	"1"
"41x43"	"41"	"43"	"1"
"41x45"	"41"	"45"	"1"
"41x47"	"41"	"47"	"1"
