"x_cord"	"y_cord"	"cluster"
"6x44"	"6"	"44"	"4"
"6x46"	"6"	"46"	"5"
"6x48"	"6"	"48"	"5"
"6x50"	"6"	"50"	"5"
"7x39"	"7"	"39"	"1"
"7x41"	"7"	"41"	"1"
"7x43"	"7"	"43"	"0"
"7x45"	"7"	"45"	"2"
"7x47"	"7"	"47"	"0"
"7x49"	"7"	"49"	"0"
"8x38"	"8"	"38"	"3"
"8x40"	"8"	"40"	"3"
"8x42"	"8"	"42"	"2"
"8x44"	"8"	"44"	"0"
"8x46"	"8"	"46"	"7"
"8x48"	"8"	"48"	"2"
"8x50"	"8"	"50"	"2"
"9x37"	"9"	"37"	"1"
"9x39"	"9"	"39"	"3"
"9x41"	"9"	"41"	"1"
"9x43"	"9"	"43"	"0"
"9x45"	"9"	"45"	"1"
"9x47"	"9"	"47"	"9"
"9x49"	"9"	"49"	"2"
"9x51"	"9"	"51"	"0"
"10x36"	"10"	"36"	"4"
"10x38"	"10"	"38"	"1"
"10x40"	"10"	"40"	"3"
"10x42"	"10"	"42"	"0"
"10x44"	"10"	"44"	"0"
"10x46"	"10"	"46"	"1"
"10x48"	"10"	"48"	"2"
"10x50"	"10"	"50"	"2"
"10x52"	"10"	"52"	"2"
"11x37"	"11"	"37"	"0"
"11x39"	"11"	"39"	"2"
"11x41"	"11"	"41"	"1"
"11x43"	"11"	"43"	"7"
"11x45"	"11"	"45"	"3"
"11x47"	"11"	"47"	"2"
"11x49"	"11"	"49"	"2"
"11x51"	"11"	"51"	"2"
"11x53"	"11"	"53"	"3"
"12x36"	"12"	"36"	"0"
"12x38"	"12"	"38"	"6"
"12x40"	"12"	"40"	"3"
"12x42"	"12"	"42"	"0"
"12x44"	"12"	"44"	"2"
"12x46"	"12"	"46"	"1"
"12x48"	"12"	"48"	"0"
"12x50"	"12"	"50"	"9"
"12x52"	"12"	"52"	"1"
"13x35"	"13"	"35"	"1"
"13x37"	"13"	"37"	"0"
"13x39"	"13"	"39"	"1"
"13x41"	"13"	"41"	"2"
"13x43"	"13"	"43"	"0"
"13x45"	"13"	"45"	"3"
"13x47"	"13"	"47"	"0"
"13x49"	"13"	"49"	"0"
"13x51"	"13"	"51"	"2"
"13x53"	"13"	"53"	"2"
"14x34"	"14"	"34"	"1"
"14x36"	"14"	"36"	"1"
"14x38"	"14"	"38"	"1"
"14x40"	"14"	"40"	"3"
"14x42"	"14"	"42"	"2"
"14x44"	"14"	"44"	"2"
"14x46"	"14"	"46"	"2"
"14x48"	"14"	"48"	"6"
"14x50"	"14"	"50"	"2"
"14x52"	"14"	"52"	"3"
"15x33"	"15"	"33"	"0"
"15x35"	"15"	"35"	"2"
"15x37"	"15"	"37"	"0"
"15x39"	"15"	"39"	"2"
"15x41"	"15"	"41"	"3"
"15x43"	"15"	"43"	"9"
"15x45"	"15"	"45"	"2"
"15x47"	"15"	"47"	"0"
"15x49"	"15"	"49"	"0"
"15x51"	"15"	"51"	"2"
"15x53"	"15"	"53"	"2"
"16x32"	"16"	"32"	"0"
"16x34"	"16"	"34"	"3"
"16x36"	"16"	"36"	"0"
"16x38"	"16"	"38"	"2"
"16x40"	"16"	"40"	"2"
"16x42"	"16"	"42"	"2"
"16x44"	"16"	"44"	"2"
"16x46"	"16"	"46"	"6"
"16x48"	"16"	"48"	"6"
"16x50"	"16"	"50"	"2"
"16x52"	"16"	"52"	"2"
"16x54"	"16"	"54"	"2"
"17x31"	"17"	"31"	"1"
"17x33"	"17"	"33"	"0"
"17x35"	"17"	"35"	"2"
"17x37"	"17"	"37"	"2"
"17x39"	"17"	"39"	"3"
"17x41"	"17"	"41"	"2"
"17x43"	"17"	"43"	"2"
"17x45"	"17"	"45"	"6"
"17x47"	"17"	"47"	"2"
"17x49"	"17"	"49"	"0"
"17x51"	"17"	"51"	"2"
"17x53"	"17"	"53"	"9"
"17x55"	"17"	"55"	"2"
"18x30"	"18"	"30"	"0"
"18x32"	"18"	"32"	"0"
"18x34"	"18"	"34"	"6"
"18x36"	"18"	"36"	"6"
"18x38"	"18"	"38"	"1"
"18x40"	"18"	"40"	"2"
"18x42"	"18"	"42"	"2"
"18x44"	"18"	"44"	"2"
"18x46"	"18"	"46"	"2"
"18x48"	"18"	"48"	"3"
"18x50"	"18"	"50"	"2"
"18x52"	"18"	"52"	"3"
"18x54"	"18"	"54"	"2"
"19x29"	"19"	"29"	"2"
"19x31"	"19"	"31"	"0"
"19x33"	"19"	"33"	"6"
"19x35"	"19"	"35"	"0"
"19x37"	"19"	"37"	"0"
"19x39"	"19"	"39"	"2"
"19x41"	"19"	"41"	"2"
"19x43"	"19"	"43"	"2"
"19x45"	"19"	"45"	"0"
"19x47"	"19"	"47"	"3"
"19x49"	"19"	"49"	"2"
"19x51"	"19"	"51"	"2"
"19x53"	"19"	"53"	"1"
"19x55"	"19"	"55"	"2"
"20x28"	"20"	"28"	"4"
"20x30"	"20"	"30"	"2"
"20x32"	"20"	"32"	"0"
"20x34"	"20"	"34"	"6"
"20x36"	"20"	"36"	"6"
"20x38"	"20"	"38"	"2"
"20x40"	"20"	"40"	"0"
"20x42"	"20"	"42"	"2"
"20x44"	"20"	"44"	"2"
"20x46"	"20"	"46"	"2"
"20x48"	"20"	"48"	"3"
"20x50"	"20"	"50"	"2"
"20x52"	"20"	"52"	"0"
"20x54"	"20"	"54"	"2"
"21x27"	"21"	"27"	"5"
"21x29"	"21"	"29"	"4"
"21x31"	"21"	"31"	"0"
"21x33"	"21"	"33"	"6"
"21x35"	"21"	"35"	"6"
"21x37"	"21"	"37"	"6"
"21x39"	"21"	"39"	"6"
"21x41"	"21"	"41"	"2"
"21x43"	"21"	"43"	"9"
"21x45"	"21"	"45"	"2"
"21x47"	"21"	"47"	"1"
"21x49"	"21"	"49"	"2"
"21x51"	"21"	"51"	"2"
"21x53"	"21"	"53"	"0"
"21x55"	"21"	"55"	"2"
"22x28"	"22"	"28"	"0"
"22x30"	"22"	"30"	"1"
"22x32"	"22"	"32"	"1"
"22x34"	"22"	"34"	"6"
"22x36"	"22"	"36"	"6"
"22x38"	"22"	"38"	"6"
"22x40"	"22"	"40"	"0"
"22x42"	"22"	"42"	"2"
"22x44"	"22"	"44"	"2"
"22x46"	"22"	"46"	"3"
"22x48"	"22"	"48"	"2"
"22x50"	"22"	"50"	"3"
"22x52"	"22"	"52"	"8"
"22x54"	"22"	"54"	"0"
"23x27"	"23"	"27"	"0"
"23x29"	"23"	"29"	"3"
"23x31"	"23"	"31"	"3"
"23x33"	"23"	"33"	"6"
"23x35"	"23"	"35"	"0"
"23x37"	"23"	"37"	"0"
"23x39"	"23"	"39"	"9"
"23x41"	"23"	"41"	"2"
"23x43"	"23"	"43"	"2"
"23x45"	"23"	"45"	"3"
"23x47"	"23"	"47"	"2"
"23x49"	"23"	"49"	"2"
"23x51"	"23"	"51"	"8"
"23x53"	"23"	"53"	"8"
"23x55"	"23"	"55"	"1"
"24x26"	"24"	"26"	"0"
"24x28"	"24"	"28"	"3"
"24x30"	"24"	"30"	"3"
"24x32"	"24"	"32"	"1"
"24x34"	"24"	"34"	"3"
"24x36"	"24"	"36"	"4"
"24x38"	"24"	"38"	"2"
"24x40"	"24"	"40"	"2"
"24x42"	"24"	"42"	"0"
"24x44"	"24"	"44"	"3"
"24x46"	"24"	"46"	"2"
"24x48"	"24"	"48"	"2"
"24x50"	"24"	"50"	"9"
"24x52"	"24"	"52"	"8"
"24x54"	"24"	"54"	"1"
"24x56"	"24"	"56"	"2"
"25x27"	"25"	"27"	"6"
"25x29"	"25"	"29"	"3"
"25x31"	"25"	"31"	"1"
"25x33"	"25"	"33"	"1"
"25x35"	"25"	"35"	"3"
"25x37"	"25"	"37"	"2"
"25x39"	"25"	"39"	"1"
"25x41"	"25"	"41"	"3"
"25x43"	"25"	"43"	"2"
"25x45"	"25"	"45"	"9"
"25x47"	"25"	"47"	"2"
"25x49"	"25"	"49"	"3"
"25x51"	"25"	"51"	"8"
"25x53"	"25"	"53"	"2"
"25x55"	"25"	"55"	"0"
"25x57"	"25"	"57"	"2"
"26x28"	"26"	"28"	"5"
"26x30"	"26"	"30"	"3"
"26x32"	"26"	"32"	"1"
"26x34"	"26"	"34"	"3"
"26x36"	"26"	"36"	"3"
"26x38"	"26"	"38"	"2"
"26x40"	"26"	"40"	"1"
"26x42"	"26"	"42"	"1"
"26x44"	"26"	"44"	"3"
"26x46"	"26"	"46"	"6"
"26x48"	"26"	"48"	"2"
"26x50"	"26"	"50"	"2"
"26x52"	"26"	"52"	"1"
"26x54"	"26"	"54"	"0"
"26x56"	"26"	"56"	"7"
"26x58"	"26"	"58"	"2"
"27x27"	"27"	"27"	"0"
"27x29"	"27"	"29"	"0"
"27x31"	"27"	"31"	"1"
"27x33"	"27"	"33"	"3"
"27x35"	"27"	"35"	"1"
"27x37"	"27"	"37"	"1"
"27x39"	"27"	"39"	"2"
"27x41"	"27"	"41"	"3"
"27x43"	"27"	"43"	"3"
"27x45"	"27"	"45"	"0"
"27x47"	"27"	"47"	"6"
"27x49"	"27"	"49"	"3"
"27x51"	"27"	"51"	"2"
"27x53"	"27"	"53"	"1"
"27x55"	"27"	"55"	"0"
"27x57"	"27"	"57"	"2"
"28x28"	"28"	"28"	"6"
"28x30"	"28"	"30"	"1"
"28x32"	"28"	"32"	"3"
"28x34"	"28"	"34"	"0"
"28x36"	"28"	"36"	"2"
"28x38"	"28"	"38"	"2"
"28x40"	"28"	"40"	"1"
"28x42"	"28"	"42"	"3"
"28x44"	"28"	"44"	"1"
"28x46"	"28"	"46"	"2"
"28x48"	"28"	"48"	"2"
"28x50"	"28"	"50"	"2"
"28x52"	"28"	"52"	"3"
"28x54"	"28"	"54"	"1"
"28x56"	"28"	"56"	"1"
"28x58"	"28"	"58"	"2"
"29x29"	"29"	"29"	"4"
"29x31"	"29"	"31"	"1"
"29x33"	"29"	"33"	"2"
"29x35"	"29"	"35"	"0"
"29x37"	"29"	"37"	"2"
"29x39"	"29"	"39"	"3"
"29x41"	"29"	"41"	"3"
"29x43"	"29"	"43"	"9"
"29x45"	"29"	"45"	"2"
"29x47"	"29"	"47"	"0"
"29x49"	"29"	"49"	"2"
"29x51"	"29"	"51"	"3"
"29x53"	"29"	"53"	"3"
"29x55"	"29"	"55"	"3"
"29x57"	"29"	"57"	"3"
"30x30"	"30"	"30"	"5"
"30x32"	"30"	"32"	"2"
"30x34"	"30"	"34"	"2"
"30x36"	"30"	"36"	"2"
"30x38"	"30"	"38"	"2"
"30x42"	"30"	"42"	"1"
"30x44"	"30"	"44"	"9"
"30x46"	"30"	"46"	"2"
"30x48"	"30"	"48"	"2"
"30x50"	"30"	"50"	"2"
"30x52"	"30"	"52"	"9"
"30x54"	"30"	"54"	"2"
"30x56"	"30"	"56"	"1"
"30x58"	"30"	"58"	"5"
"31x33"	"31"	"33"	"0"
"31x35"	"31"	"35"	"2"
"31x37"	"31"	"37"	"2"
"31x39"	"31"	"39"	"3"
"31x43"	"31"	"43"	"2"
"31x45"	"31"	"45"	"3"
"31x47"	"31"	"47"	"2"
"31x49"	"31"	"49"	"2"
"31x51"	"31"	"51"	"1"
"31x53"	"31"	"53"	"9"
"31x55"	"31"	"55"	"0"
"31x57"	"31"	"57"	"2"
"32x34"	"32"	"34"	"0"
"32x36"	"32"	"36"	"1"
"32x38"	"32"	"38"	"2"
"32x42"	"32"	"42"	"7"
"32x44"	"32"	"44"	"9"
"32x46"	"32"	"46"	"3"
"32x48"	"32"	"48"	"2"
"32x50"	"32"	"50"	"4"
"32x52"	"32"	"52"	"2"
"32x54"	"32"	"54"	"8"
"32x56"	"32"	"56"	"2"
"32x58"	"32"	"58"	"9"
"33x33"	"33"	"33"	"2"
"33x35"	"33"	"35"	"2"
"33x37"	"33"	"37"	"2"
"33x39"	"33"	"39"	"3"
"33x43"	"33"	"43"	"1"
"33x45"	"33"	"45"	"2"
"33x47"	"33"	"47"	"2"
"33x49"	"33"	"49"	"0"
"33x51"	"33"	"51"	"2"
"33x53"	"33"	"53"	"2"
"33x55"	"33"	"55"	"1"
"33x57"	"33"	"57"	"8"
"34x32"	"34"	"32"	"2"
"34x34"	"34"	"34"	"1"
"34x36"	"34"	"36"	"2"
"34x38"	"34"	"38"	"2"
"34x40"	"34"	"40"	"7"
"34x44"	"34"	"44"	"2"
"34x46"	"34"	"46"	"2"
"34x48"	"34"	"48"	"2"
"34x50"	"34"	"50"	"2"
"34x52"	"34"	"52"	"1"
"34x54"	"34"	"54"	"1"
"34x56"	"34"	"56"	"2"
"34x58"	"34"	"58"	"2"
"35x23"	"35"	"23"	"5"
