"x_cord"	"y_cord"	"cluster"
"16x46"	"16"	"46"	"2"
"17x43"	"17"	"43"	"7"
"17x45"	"17"	"45"	"3"
"17x47"	"17"	"47"	"2"
"17x49"	"17"	"49"	"2"
"17x55"	"17"	"55"	"2"
"18x42"	"18"	"42"	"1"
"18x44"	"18"	"44"	"0"
"18x46"	"18"	"46"	"2"
"18x48"	"18"	"48"	"2"
"18x50"	"18"	"50"	"2"
"18x52"	"18"	"52"	"0"
"18x54"	"18"	"54"	"1"
"18x56"	"18"	"56"	"0"
"19x41"	"19"	"41"	"0"
"19x43"	"19"	"43"	"9"
"19x45"	"19"	"45"	"2"
"19x47"	"19"	"47"	"2"
"19x49"	"19"	"49"	"1"
"19x51"	"19"	"51"	"1"
"19x53"	"19"	"53"	"2"
"19x55"	"19"	"55"	"1"
"20x40"	"20"	"40"	"2"
"20x42"	"20"	"42"	"2"
"20x44"	"20"	"44"	"9"
"20x46"	"20"	"46"	"2"
"20x48"	"20"	"48"	"1"
"20x50"	"20"	"50"	"9"
"20x52"	"20"	"52"	"0"
"20x54"	"20"	"54"	"2"
"20x56"	"20"	"56"	"1"
"21x39"	"21"	"39"	"2"
"21x41"	"21"	"41"	"2"
"21x43"	"21"	"43"	"0"
"21x45"	"21"	"45"	"3"
"21x47"	"21"	"47"	"0"
"21x49"	"21"	"49"	"1"
"21x51"	"21"	"51"	"0"
"21x53"	"21"	"53"	"6"
"21x55"	"21"	"55"	"1"
"22x38"	"22"	"38"	"0"
"22x40"	"22"	"40"	"2"
"22x42"	"22"	"42"	"2"
"22x44"	"22"	"44"	"2"
"22x46"	"22"	"46"	"6"
"22x48"	"22"	"48"	"2"
"22x50"	"22"	"50"	"8"
"22x52"	"22"	"52"	"8"
"22x54"	"22"	"54"	"0"
"22x56"	"22"	"56"	"1"
"23x37"	"23"	"37"	"2"
"23x39"	"23"	"39"	"0"
"23x41"	"23"	"41"	"3"
"23x43"	"23"	"43"	"7"
"23x45"	"23"	"45"	"6"
"23x47"	"23"	"47"	"0"
"23x49"	"23"	"49"	"2"
"23x51"	"23"	"51"	"8"
"23x53"	"23"	"53"	"8"
"23x55"	"23"	"55"	"2"
"24x36"	"24"	"36"	"1"
"24x38"	"24"	"38"	"2"
"24x40"	"24"	"40"	"1"
"24x42"	"24"	"42"	"2"
"24x44"	"24"	"44"	"6"
"24x46"	"24"	"46"	"2"
"24x48"	"24"	"48"	"2"
"24x50"	"24"	"50"	"8"
"24x52"	"24"	"52"	"8"
"24x54"	"24"	"54"	"3"
"24x56"	"24"	"56"	"7"
"25x35"	"25"	"35"	"1"
"25x37"	"25"	"37"	"3"
"25x39"	"25"	"39"	"0"
"25x41"	"25"	"41"	"3"
"25x43"	"25"	"43"	"0"
"25x45"	"25"	"45"	"2"
"25x47"	"25"	"47"	"1"
"25x49"	"25"	"49"	"3"
"25x51"	"25"	"51"	"8"
"25x53"	"25"	"53"	"1"
"25x55"	"25"	"55"	"2"
"25x57"	"25"	"57"	"2"
"26x34"	"26"	"34"	"2"
"26x36"	"26"	"36"	"2"
"26x38"	"26"	"38"	"2"
"26x40"	"26"	"40"	"1"
"26x42"	"26"	"42"	"2"
"26x44"	"26"	"44"	"0"
"26x46"	"26"	"46"	"1"
"26x48"	"26"	"48"	"1"
"26x50"	"26"	"50"	"3"
"26x52"	"26"	"52"	"2"
"26x54"	"26"	"54"	"3"
"26x56"	"26"	"56"	"2"
"27x33"	"27"	"33"	"2"
"27x35"	"27"	"35"	"2"
"27x37"	"27"	"37"	"3"
"27x39"	"27"	"39"	"2"
"27x41"	"27"	"41"	"1"
"27x43"	"27"	"43"	"0"
"27x45"	"27"	"45"	"2"
"27x47"	"27"	"47"	"2"
"27x49"	"27"	"49"	"3"
"27x51"	"27"	"51"	"3"
"27x53"	"27"	"53"	"1"
"27x55"	"27"	"55"	"3"
"27x57"	"27"	"57"	"2"
"28x32"	"28"	"32"	"2"
"28x34"	"28"	"34"	"2"
"28x36"	"28"	"36"	"2"
"28x38"	"28"	"38"	"2"
"28x40"	"28"	"40"	"0"
"28x42"	"28"	"42"	"0"
"28x44"	"28"	"44"	"2"
"28x46"	"28"	"46"	"1"
"28x48"	"28"	"48"	"2"
"28x50"	"28"	"50"	"2"
"28x52"	"28"	"52"	"3"
"28x54"	"28"	"54"	"1"
"28x56"	"28"	"56"	"1"
"29x31"	"29"	"31"	"3"
"29x33"	"29"	"33"	"1"
"29x35"	"29"	"35"	"2"
"29x37"	"29"	"37"	"2"
"29x39"	"29"	"39"	"2"
"29x41"	"29"	"41"	"6"
"29x43"	"29"	"43"	"1"
"29x45"	"29"	"45"	"3"
"29x47"	"29"	"47"	"2"
"29x49"	"29"	"49"	"1"
"29x51"	"29"	"51"	"2"
"29x53"	"29"	"53"	"1"
"29x55"	"29"	"55"	"0"
"29x57"	"29"	"57"	"5"
"30x28"	"30"	"28"	"2"
"30x30"	"30"	"30"	"2"
"30x32"	"30"	"32"	"3"
"30x34"	"30"	"34"	"9"
"30x36"	"30"	"36"	"7"
"30x38"	"30"	"38"	"2"
"30x40"	"30"	"40"	"0"
"30x42"	"30"	"42"	"2"
"30x44"	"30"	"44"	"1"
"30x46"	"30"	"46"	"2"
"30x48"	"30"	"48"	"9"
"30x50"	"30"	"50"	"0"
"30x52"	"30"	"52"	"0"
"30x54"	"30"	"54"	"2"
"30x56"	"30"	"56"	"0"
"31x27"	"31"	"27"	"1"
