"x_cord"	"y_cord"	"cluster"
"10x44"	"10"	"44"	"1"
"10x46"	"10"	"46"	"5"
"10x48"	"10"	"48"	"0"
"11x43"	"11"	"43"	"0"
"11x45"	"11"	"45"	"1"
"11x47"	"11"	"47"	"6"
"11x49"	"11"	"49"	"8"
"11x51"	"11"	"51"	"7"
"12x42"	"12"	"42"	"0"
"12x44"	"12"	"44"	"1"
"12x46"	"12"	"46"	"1"
"12x48"	"12"	"48"	"6"
"12x50"	"12"	"50"	"0"
"12x52"	"12"	"52"	"6"
"13x15"	"13"	"15"	"3"
"13x17"	"13"	"17"	"1"
"13x19"	"13"	"19"	"5"
"13x41"	"13"	"41"	"4"
"13x43"	"13"	"43"	"0"
"13x45"	"13"	"45"	"3"
"13x47"	"13"	"47"	"4"
"13x49"	"13"	"49"	"0"
"13x51"	"13"	"51"	"0"
"13x53"	"13"	"53"	"9"
"13x55"	"13"	"55"	"3"
"14x16"	"14"	"16"	"3"
"14x18"	"14"	"18"	"1"
"14x20"	"14"	"20"	"3"
"14x38"	"14"	"38"	"5"
"14x40"	"14"	"40"	"0"
"14x42"	"14"	"42"	"0"
"14x44"	"14"	"44"	"1"
"14x46"	"14"	"46"	"1"
"14x48"	"14"	"48"	"0"
"14x50"	"14"	"50"	"5"
"14x52"	"14"	"52"	"0"
"14x54"	"14"	"54"	"1"
"15x15"	"15"	"15"	"1"
"15x17"	"15"	"17"	"1"
"15x19"	"15"	"19"	"1"
"15x21"	"15"	"21"	"2"
"15x23"	"15"	"23"	"5"
"15x37"	"15"	"37"	"5"
"15x39"	"15"	"39"	"4"
"15x41"	"15"	"41"	"3"
"15x43"	"15"	"43"	"6"
"15x45"	"15"	"45"	"1"
"15x47"	"15"	"47"	"1"
"15x49"	"15"	"49"	"0"
"15x51"	"15"	"51"	"8"
"15x53"	"15"	"53"	"0"
"15x55"	"15"	"55"	"0"
"16x14"	"16"	"14"	"5"
"16x16"	"16"	"16"	"1"
"16x18"	"16"	"18"	"1"
"16x20"	"16"	"20"	"0"
"16x22"	"16"	"22"	"1"
"16x38"	"16"	"38"	"0"
"16x40"	"16"	"40"	"1"
"16x42"	"16"	"42"	"1"
"16x44"	"16"	"44"	"0"
"16x46"	"16"	"46"	"1"
"16x48"	"16"	"48"	"4"
"16x50"	"16"	"50"	"4"
"16x52"	"16"	"52"	"0"
"16x54"	"16"	"54"	"0"
"17x13"	"17"	"13"	"5"
"17x15"	"17"	"15"	"0"
"17x17"	"17"	"17"	"7"
"17x19"	"17"	"19"	"0"
"17x21"	"17"	"21"	"1"
"17x23"	"17"	"23"	"4"
"17x37"	"17"	"37"	"0"
"17x39"	"17"	"39"	"0"
"17x41"	"17"	"41"	"3"
"17x43"	"17"	"43"	"0"
"17x45"	"17"	"45"	"1"
"17x47"	"17"	"47"	"4"
"17x49"	"17"	"49"	"0"
"17x51"	"17"	"51"	"1"
"17x53"	"17"	"53"	"6"
"17x55"	"17"	"55"	"0"
"18x14"	"18"	"14"	"0"
"18x16"	"18"	"16"	"5"
"18x18"	"18"	"18"	"1"
"18x20"	"18"	"20"	"0"
"18x22"	"18"	"22"	"1"
"18x24"	"18"	"24"	"5"
"18x26"	"18"	"26"	"0"
"18x36"	"18"	"36"	"0"
"18x38"	"18"	"38"	"0"
"18x40"	"18"	"40"	"0"
"18x42"	"18"	"42"	"2"
"18x44"	"18"	"44"	"0"
"18x46"	"18"	"46"	"1"
"18x48"	"18"	"48"	"1"
"18x50"	"18"	"50"	"0"
"18x52"	"18"	"52"	"0"
"18x54"	"18"	"54"	"0"
"18x56"	"18"	"56"	"0"
"19x13"	"19"	"13"	"5"
"19x15"	"19"	"15"	"5"
"19x17"	"19"	"17"	"1"
"19x19"	"19"	"19"	"1"
"19x21"	"19"	"21"	"0"
"19x23"	"19"	"23"	"0"
"19x25"	"19"	"25"	"4"
"19x27"	"19"	"27"	"4"
"19x29"	"19"	"29"	"1"
"19x35"	"19"	"35"	"0"
"19x37"	"19"	"37"	"0"
"19x39"	"19"	"39"	"6"
"19x41"	"19"	"41"	"1"
"19x43"	"19"	"43"	"4"
"19x45"	"19"	"45"	"0"
"19x47"	"19"	"47"	"1"
"19x49"	"19"	"49"	"0"
"19x51"	"19"	"51"	"1"
"19x53"	"19"	"53"	"0"
"19x55"	"19"	"55"	"0"
"20x14"	"20"	"14"	"1"
"20x16"	"20"	"16"	"5"
"20x18"	"20"	"18"	"0"
"20x20"	"20"	"20"	"6"
"20x22"	"20"	"22"	"0"
"20x24"	"20"	"24"	"0"
"20x26"	"20"	"26"	"1"
"20x28"	"20"	"28"	"1"
"20x30"	"20"	"30"	"9"
"20x32"	"20"	"32"	"5"
"20x34"	"20"	"34"	"4"
"20x36"	"20"	"36"	"4"
"20x38"	"20"	"38"	"6"
"20x40"	"20"	"40"	"0"
"20x42"	"20"	"42"	"1"
"20x44"	"20"	"44"	"4"
"20x46"	"20"	"46"	"0"
"20x48"	"20"	"48"	"4"
"20x50"	"20"	"50"	"0"
"20x52"	"20"	"52"	"0"
"20x54"	"20"	"54"	"4"
"20x56"	"20"	"56"	"0"
"21x15"	"21"	"15"	"5"
"21x17"	"21"	"17"	"0"
"21x19"	"21"	"19"	"4"
"21x21"	"21"	"21"	"0"
"21x23"	"21"	"23"	"4"
"21x25"	"21"	"25"	"0"
"21x27"	"21"	"27"	"1"
"21x29"	"21"	"29"	"8"
"21x31"	"21"	"31"	"4"
"21x33"	"21"	"33"	"1"
"21x35"	"21"	"35"	"1"
"21x37"	"21"	"37"	"3"
"21x39"	"21"	"39"	"6"
"21x41"	"21"	"41"	"4"
"21x43"	"21"	"43"	"4"
"21x45"	"21"	"45"	"4"
"21x47"	"21"	"47"	"1"
"21x49"	"21"	"49"	"4"
"21x51"	"21"	"51"	"3"
"21x53"	"21"	"53"	"1"
"21x55"	"21"	"55"	"0"
"21x57"	"21"	"57"	"5"
"22x18"	"22"	"18"	"3"
"22x20"	"22"	"20"	"0"
"22x22"	"22"	"22"	"5"
"22x24"	"22"	"24"	"4"
"22x26"	"22"	"26"	"6"
"22x28"	"22"	"28"	"1"
"22x30"	"22"	"30"	"1"
"22x32"	"22"	"32"	"0"
"22x34"	"22"	"34"	"1"
"22x36"	"22"	"36"	"1"
"22x38"	"22"	"38"	"1"
"22x40"	"22"	"40"	"0"
"22x42"	"22"	"42"	"0"
"22x44"	"22"	"44"	"0"
"22x46"	"22"	"46"	"3"
"22x48"	"22"	"48"	"1"
"22x50"	"22"	"50"	"3"
"22x52"	"22"	"52"	"3"
"22x54"	"22"	"54"	"1"
"22x56"	"22"	"56"	"0"
"23x17"	"23"	"17"	"5"
"23x19"	"23"	"19"	"1"
"23x21"	"23"	"21"	"1"
"23x23"	"23"	"23"	"4"
"23x25"	"23"	"25"	"1"
"23x27"	"23"	"27"	"0"
"23x29"	"23"	"29"	"1"
"23x31"	"23"	"31"	"0"
"23x33"	"23"	"33"	"1"
"23x35"	"23"	"35"	"4"
"23x37"	"23"	"37"	"0"
"23x39"	"23"	"39"	"6"
"23x41"	"23"	"41"	"6"
"23x43"	"23"	"43"	"0"
"23x45"	"23"	"45"	"0"
"23x47"	"23"	"47"	"1"
"23x49"	"23"	"49"	"3"
"23x51"	"23"	"51"	"1"
"23x53"	"23"	"53"	"8"
"23x55"	"23"	"55"	"6"
"23x57"	"23"	"57"	"4"
"24x16"	"24"	"16"	"4"
"24x18"	"24"	"18"	"1"
"24x20"	"24"	"20"	"0"
"24x22"	"24"	"22"	"3"
"24x24"	"24"	"24"	"0"
"24x26"	"24"	"26"	"1"
"24x28"	"24"	"28"	"1"
"24x30"	"24"	"30"	"3"
"24x32"	"24"	"32"	"0"
"24x34"	"24"	"34"	"1"
"24x36"	"24"	"36"	"0"
"24x38"	"24"	"38"	"0"
"24x40"	"24"	"40"	"6"
"24x42"	"24"	"42"	"0"
"24x44"	"24"	"44"	"0"
"24x46"	"24"	"46"	"0"
"24x48"	"24"	"48"	"1"
"24x50"	"24"	"50"	"8"
"24x52"	"24"	"52"	"8"
"24x54"	"24"	"54"	"0"
"24x56"	"24"	"56"	"0"
"25x15"	"25"	"15"	"0"
"25x17"	"25"	"17"	"5"
"25x19"	"25"	"19"	"2"
"25x21"	"25"	"21"	"4"
"25x23"	"25"	"23"	"4"
"25x25"	"25"	"25"	"0"
"25x27"	"25"	"27"	"10"
"25x29"	"25"	"29"	"0"
"25x31"	"25"	"31"	"1"
"25x33"	"25"	"33"	"0"
"25x35"	"25"	"35"	"2"
"25x37"	"25"	"37"	"0"
"25x39"	"25"	"39"	"6"
"25x41"	"25"	"41"	"6"
"25x43"	"25"	"43"	"0"
"25x45"	"25"	"45"	"0"
"25x47"	"25"	"47"	"0"
"25x49"	"25"	"49"	"5"
"25x51"	"25"	"51"	"8"
"25x53"	"25"	"53"	"0"
"25x55"	"25"	"55"	"5"
"26x14"	"26"	"14"	"5"
"26x16"	"26"	"16"	"1"
"26x18"	"26"	"18"	"0"
"26x20"	"26"	"20"	"0"
"26x22"	"26"	"22"	"10"
"26x24"	"26"	"24"	"1"
"26x26"	"26"	"26"	"3"
"26x28"	"26"	"28"	"0"
