"x_cord"	"y_cord"	"cluster"
"21x33"	"21"	"33"	"0"
"21x35"	"21"	"35"	"6"
"21x37"	"21"	"37"	"1"
"21x39"	"21"	"39"	"3"
"21x41"	"21"	"41"	"3"
"21x43"	"21"	"43"	"0"
"21x45"	"21"	"45"	"6"
"22x16"	"22"	"16"	"7"
"22x18"	"22"	"18"	"1"
"22x20"	"22"	"20"	"1"
"22x22"	"22"	"22"	"1"
"22x24"	"22"	"24"	"0"
"22x26"	"22"	"26"	"6"
"22x28"	"22"	"28"	"6"
"22x30"	"22"	"30"	"6"
"22x32"	"22"	"32"	"0"
"22x34"	"22"	"34"	"0"
"22x36"	"22"	"36"	"1"
"22x38"	"22"	"38"	"3"
"22x40"	"22"	"40"	"1"
"22x42"	"22"	"42"	"0"
"22x44"	"22"	"44"	"0"
"22x46"	"22"	"46"	"0"
"23x15"	"23"	"15"	"4"
"23x17"	"23"	"17"	"7"
"23x19"	"23"	"19"	"1"
"23x21"	"23"	"21"	"3"
"23x23"	"23"	"23"	"1"
"23x25"	"23"	"25"	"0"
"23x27"	"23"	"27"	"6"
"23x29"	"23"	"29"	"6"
"23x31"	"23"	"31"	"0"
"23x33"	"23"	"33"	"1"
"23x35"	"23"	"35"	"4"
"23x37"	"23"	"37"	"10"
"23x39"	"23"	"39"	"1"
"23x41"	"23"	"41"	"0"
"23x43"	"23"	"43"	"0"
"23x45"	"23"	"45"	"0"
"23x47"	"23"	"47"	"0"
"24x16"	"24"	"16"	"1"
"24x18"	"24"	"18"	"3"
"24x20"	"24"	"20"	"0"
"24x22"	"24"	"22"	"1"
"24x24"	"24"	"24"	"4"
"24x26"	"24"	"26"	"6"
"24x28"	"24"	"28"	"6"
"24x30"	"24"	"30"	"0"
"24x32"	"24"	"32"	"1"
"24x34"	"24"	"34"	"3"
"24x36"	"24"	"36"	"1"
"24x38"	"24"	"38"	"0"
"24x40"	"24"	"40"	"0"
"24x42"	"24"	"42"	"0"
"24x44"	"24"	"44"	"3"
"24x46"	"24"	"46"	"1"
"25x15"	"25"	"15"	"0"
"25x17"	"25"	"17"	"3"
"25x19"	"25"	"19"	"4"
"25x21"	"25"	"21"	"0"
"25x23"	"25"	"23"	"0"
"25x25"	"25"	"25"	"7"
"25x27"	"25"	"27"	"6"
"25x29"	"25"	"29"	"0"
"25x31"	"25"	"31"	"1"
"25x33"	"25"	"33"	"11"
"25x35"	"25"	"35"	"0"
"25x37"	"25"	"37"	"6"
"25x39"	"25"	"39"	"0"
"25x41"	"25"	"41"	"0"
"25x43"	"25"	"43"	"3"
"25x45"	"25"	"45"	"3"
"25x47"	"25"	"47"	"1"
"26x14"	"26"	"14"	"4"
"26x16"	"26"	"16"	"4"
"26x18"	"26"	"18"	"1"
"26x20"	"26"	"20"	"1"
"26x22"	"26"	"22"	"6"
"26x24"	"26"	"24"	"6"
"26x26"	"26"	"26"	"0"
"26x28"	"26"	"28"	"0"
"26x30"	"26"	"30"	"11"
"26x32"	"26"	"32"	"3"
"26x34"	"26"	"34"	"0"
"26x36"	"26"	"36"	"6"
"26x38"	"26"	"38"	"0"
"26x40"	"26"	"40"	"1"
"26x42"	"26"	"42"	"1"
"26x44"	"26"	"44"	"1"
"26x46"	"26"	"46"	"1"
"27x15"	"27"	"15"	"0"
"27x17"	"27"	"17"	"4"
"27x19"	"27"	"19"	"1"
"27x21"	"27"	"21"	"0"
"27x23"	"27"	"23"	"7"
"27x25"	"27"	"25"	"0"
"27x27"	"27"	"27"	"0"
"27x29"	"27"	"29"	"9"
"27x31"	"27"	"31"	"1"
"27x33"	"27"	"33"	"6"
"27x35"	"27"	"35"	"6"
"27x37"	"27"	"37"	"0"
"27x39"	"27"	"39"	"1"
"27x41"	"27"	"41"	"1"
"27x43"	"27"	"43"	"0"
"27x45"	"27"	"45"	"0"
"27x47"	"27"	"47"	"0"
"28x14"	"28"	"14"	"1"
"28x16"	"28"	"16"	"0"
"28x18"	"28"	"18"	"1"
"28x20"	"28"	"20"	"1"
"28x22"	"28"	"22"	"0"
"28x24"	"28"	"24"	"0"
"28x26"	"28"	"26"	"4"
"28x28"	"28"	"28"	"9"
"28x30"	"28"	"30"	"3"
"28x32"	"28"	"32"	"0"
"28x34"	"28"	"34"	"0"
"28x36"	"28"	"36"	"0"
"28x38"	"28"	"38"	"0"
"28x40"	"28"	"40"	"1"
"28x42"	"28"	"42"	"0"
"28x44"	"28"	"44"	"0"
"28x46"	"28"	"46"	"6"
"29x13"	"29"	"13"	"1"
"29x15"	"29"	"15"	"4"
"29x17"	"29"	"17"	"4"
"29x19"	"29"	"19"	"1"
"29x21"	"29"	"21"	"7"
"29x23"	"29"	"23"	"1"
"29x25"	"29"	"25"	"3"
"29x27"	"29"	"27"	"1"
"29x29"	"29"	"29"	"3"
"29x31"	"29"	"31"	"4"
"29x33"	"29"	"33"	"1"
"29x35"	"29"	"35"	"0"
"29x37"	"29"	"37"	"0"
"29x39"	"29"	"39"	"0"
"29x41"	"29"	"41"	"6"
"29x43"	"29"	"43"	"6"
"29x45"	"29"	"45"	"0"
"29x47"	"29"	"47"	"1"
"30x14"	"30"	"14"	"5"
"30x16"	"30"	"16"	"0"
"30x18"	"30"	"18"	"4"
"30x20"	"30"	"20"	"4"
"30x22"	"30"	"22"	"11"
"30x24"	"30"	"24"	"1"
"30x26"	"30"	"26"	"0"
"30x28"	"30"	"28"	"3"
"30x30"	"30"	"30"	"3"
"30x32"	"30"	"32"	"0"
"30x34"	"30"	"34"	"0"
"30x36"	"30"	"36"	"6"
"30x38"	"30"	"38"	"6"
"30x40"	"30"	"40"	"0"
"30x42"	"30"	"42"	"6"
"30x44"	"30"	"44"	"0"
"30x46"	"30"	"46"	"4"
"31x13"	"31"	"13"	"1"
"31x15"	"31"	"15"	"0"
"31x17"	"31"	"17"	"7"
"31x19"	"31"	"19"	"11"
"31x21"	"31"	"21"	"0"
"31x23"	"31"	"23"	"1"
"31x25"	"31"	"25"	"6"
"31x27"	"31"	"27"	"10"
"31x29"	"31"	"29"	"3"
"31x31"	"31"	"31"	"0"
"31x33"	"31"	"33"	"0"
"31x35"	"31"	"35"	"6"
"31x37"	"31"	"37"	"0"
"31x39"	"31"	"39"	"0"
"31x41"	"31"	"41"	"4"
"31x43"	"31"	"43"	"0"
"31x45"	"31"	"45"	"1"
"31x47"	"31"	"47"	"8"
"32x12"	"32"	"12"	"1"
"32x14"	"32"	"14"	"5"
"32x16"	"32"	"16"	"0"
"32x18"	"32"	"18"	"0"
"32x20"	"32"	"20"	"0"
"32x22"	"32"	"22"	"0"
"32x24"	"32"	"24"	"6"
"32x26"	"32"	"26"	"6"
"32x28"	"32"	"28"	"0"
"32x30"	"32"	"30"	"3"
"32x32"	"32"	"32"	"2"
"32x34"	"32"	"34"	"0"
"32x36"	"32"	"36"	"0"
"32x38"	"32"	"38"	"4"
"32x40"	"32"	"40"	"4"
"32x42"	"32"	"42"	"3"
"32x44"	"32"	"44"	"0"
"32x46"	"32"	"46"	"1"
"33x13"	"33"	"13"	"1"
"33x15"	"33"	"15"	"4"
"33x17"	"33"	"17"	"1"
"33x19"	"33"	"19"	"0"
"33x21"	"33"	"21"	"0"
"33x23"	"33"	"23"	"6"
"33x25"	"33"	"25"	"0"
"33x27"	"33"	"27"	"6"
"33x29"	"33"	"29"	"6"
"33x31"	"33"	"31"	"1"
"33x33"	"33"	"33"	"4"
"33x35"	"33"	"35"	"0"
"33x37"	"33"	"37"	"1"
"33x39"	"33"	"39"	"1"
"33x41"	"33"	"41"	"1"
"33x43"	"33"	"43"	"0"
"33x45"	"33"	"45"	"4"
"34x12"	"34"	"12"	"4"
"34x14"	"34"	"14"	"1"
"34x16"	"34"	"16"	"1"
"34x18"	"34"	"18"	"4"
"34x20"	"34"	"20"	"0"
"34x22"	"34"	"22"	"6"
"34x24"	"34"	"24"	"1"
"34x26"	"34"	"26"	"6"
"34x28"	"34"	"28"	"0"
"34x30"	"34"	"30"	"0"
"34x32"	"34"	"32"	"0"
"34x34"	"34"	"34"	"4"
"34x36"	"34"	"36"	"0"
"34x38"	"34"	"38"	"1"
