	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
37x43	1.1782851e-10	1.1780805e-10	0.0506877	0.056399643	0.010191383	1.1794386e-10	0.014461971	1.1797018e-10	0.114998594	1.1790156e-10	0.73195183	1.1770676e-10	0.021308871	1.1730647e-10
37x45	1.1722741e-10	0.031657685	0.017868849	0.047541615	0.04586311	1.1693754e-10	0.09221273	0.04270309	0.027043648	0.004265768	0.45915136	1.172757e-10	0.1496614	0.08203077
37x47	0.036891937	0.030700535	0.039842658	0.043063752	0.07840597	1.2372511e-10	0.024070246	0.03728255	0.17062135	1.2412836e-10	1.2322841e-10	1.240931e-10	0.5302143	0.00890674
37x49	1.2385638e-10	0.022599455	1.237409e-10	0.052182015	1.230999e-10	1.2288595e-10	0.09701922	1.2340716e-10	0.16611579	1.2318775e-10	1.2312526e-10	0.079859	0.58222455	1.2349924e-10
37x51	1.2900704e-10	1.2869224e-10	1.2790963e-10	0.05514441	0.023065146	1.2876614e-10	1.2852469e-10	0.02844549	0.245198	1.2838797e-10	0.384694	1.2851611e-10	0.26345292	1.2795867e-10
37x53	0.026873752	1.260925e-10	1.2564427e-10	0.08391348	0.043300867	1.259848e-10	0.059340153	0.04286798	0.17839384	1.2610717e-10	1.255147e-10	1.2609178e-10	0.54977894	0.015531064
37x55	0.03977423	0.049761064	0.03270832	0.014496782	0.09893742	0.031411286	0.029787377	0.03778132	0.087845266	1.2383851e-10	1.2390679e-10	0.028466603	0.54903024	1.233889e-10
37x57	0.10304823	1.4039628e-10	1.3981666e-10	0.038859315	1.4085548e-10	0.025342098	1.3992017e-10	1.4023945e-10	0.21951698	1.3979132e-10	0.33434424	1.4058439e-10	0.27888912	1.4066916e-10
38x12	1.3138733e-10	0.042538222	0.002091923	1.3075832e-10	0.005714448	1.3121501e-10	1.3074884e-10	0.014030685	0.18843526	1.3096174e-10	0.44346845	1.3079224e-10	0.30372104	1.3091953e-10
38x14	1.3250573e-10	1.3253253e-10	1.3166454e-10	0.0664728	0.052516025	1.3241833e-10	1.316575e-10	1.3247263e-10	0.21473521	1.3188597e-10	0.17923829	1.3209947e-10	0.46027568	0.026762003
